Language_ID,Feature_ID,Value
keor1235,1pl,eleman.1pl.0001
keor1235,1pl,eleman.1pl.0001
opao1240,1pl,eleman.1pl.0001
orok1267,1pl,eleman.1pl.0001
orok1267,1pl,eleman.1pl.0001
orok1267,1pl,eleman.1pl.0001
tair1256,1pl,eleman.1pl.0001
tair1256,1pl,eleman.1pl.0002
tair1256,1pl,eleman.1pl.0002
tair1256,1pl,eleman.1pl.0002
tair1256,1pl,eleman.1pl.0002
tair1256,1pl,eleman.1pl.0002
tair1256,1pl,eleman.1pl.0002
tair1256,1pl,eleman.1pl.0002
toar1246,1pl,eleman.1pl.0002
toar1246,1pl,eleman.1pl.0003
keor1235,1sg,eleman.1sg.0004
keor1235,1sg,eleman.1sg.0004
opao1240,1sg,eleman.1sg.0004
orok1267,1sg,eleman.1sg.0004
orok1267,1sg,eleman.1sg.0004
orok1267,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
tair1256,1sg,eleman.1sg.0004
toar1246,1sg,eleman.1sg.0004
toar1246,1sg,eleman.1sg.0004
keor1235,2sg,eleman.2sg.0005
keor1235,2sg,eleman.2sg.0006
opao1240,2sg,eleman.2sg.0005
orok1267,2sg,eleman.2sg.0005
orok1267,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0005
tair1256,2sg,eleman.2sg.0007
toar1246,2sg,eleman.2sg.0008
toar1246,2sg,eleman.2sg.0009
toar1246,2sg,eleman.2sg.0009
keor1235,blood,eleman.blood.0010
keor1235,blood,eleman.blood.0010
opao1240,blood,eleman.blood.0010
orok1267,blood,eleman.blood.0010
orok1267,blood,eleman.blood.0010
orok1267,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
tair1256,blood,eleman.blood.0010
toar1246,blood,eleman.blood.0010
toar1246,blood,eleman.blood.0010
keor1235,bone,eleman.bone.0011
keor1235,bone,eleman.bone.0011
opao1240,bone,eleman.bone.0011
