Language_ID,Feature_ID,Value
aleu1260,1pl,eskimoaleut.1pl.0001
cent2127,1pl,?
cent2128,1pl,eskimoaleut.1pl.0002
cent2128,1pl,eskimoaleut.1pl.0002
cent2128,1pl,eskimoaleut.1pl.0004
east2534,1pl,eskimoaleut.1pl.0003
kala1399,1pl,eskimoaleut.1pl.0003
kala1399,1pl,eskimoaleut.1pl.0003
kala1399,1pl,eskimoaleut.1pl.0003
nort2943,1pl,eskimoaleut.1pl.0003
nort2945,1pl,eskimoaleut.1pl.0003
sire1246,1pl,eskimoaleut.1pl.0003
west2618,1pl,eskimoaleut.1pl.0003
aleu1260,1sg,eskimoaleut.1sg.0005
cent2127,1sg,eskimoaleut.1sg.0006
cent2128,1sg,eskimoaleut.1sg.0007
cent2128,1sg,eskimoaleut.1sg.0007
east2534,1sg,eskimoaleut.1sg.0007
kala1399,1sg,eskimoaleut.1sg.0007
kala1399,1sg,eskimoaleut.1sg.0007
kala1399,1sg,eskimoaleut.1sg.0007
nort2943,1sg,eskimoaleut.1sg.0007
nort2945,1sg,eskimoaleut.1sg.0007
sire1246,1sg,eskimoaleut.1sg.0007
west2618,1sg,eskimoaleut.1sg.0007
aleu1260,2sg,eskimoaleut.2sg.0008
cent2127,2sg,eskimoaleut.2sg.0009
cent2128,2sg,eskimoaleut.2sg.0010
cent2128,2sg,eskimoaleut.2sg.0012
cent2128,2sg,eskimoaleut.2sg.0012
east2534,2sg,eskimoaleut.2sg.0011
kala1399,2sg,eskimoaleut.2sg.0011
kala1399,2sg,eskimoaleut.2sg.0011
kala1399,2sg,eskimoaleut.2sg.0011
nort2943,2sg,eskimoaleut.2sg.0011
nort2945,2sg,eskimoaleut.2sg.0011
sire1246,2sg,eskimoaleut.2sg.0013
west2618,2sg,eskimoaleut.2sg.0011
aleu1260,blood,eskimoaleut.blood.0014
cent2127,blood,eskimoaleut.blood.0015
cent2128,blood,eskimoaleut.blood.0015
cent2128,blood,eskimoaleut.blood.0016
cent2128,blood,eskimoaleut.blood.0017
east2534,blood,eskimoaleut.blood.0015
kala1399,blood,eskimoaleut.blood.0015
kala1399,blood,eskimoaleut.blood.0015
kala1399,blood,eskimoaleut.blood.0015
nort2943,blood,eskimoaleut.blood.0015
nort2945,blood,eskimoaleut.blood.0015
sire1246,blood,eskimoaleut.blood.0015
sire1246,blood,eskimoaleut.blood.0018
west2618,blood,eskimoaleut.blood.0015
aleu1260,bone,eskimoaleut.bone.0019
cent2127,bone,eskimoaleut.bone.0020
cent2128,bone,eskimoaleut.bone.0022
cent2128,bone,eskimoaleut.bone.0022
east2534,bone,eskimoaleut.bone.0020
east2534,bone,eskimoaleut.bone.0022
kala1399,bone,eskimoaleut.bone.0020
kala1399,bone,eskimoaleut.bone.0020
kala1399,bone,eskimoaleut.bone.0021
nort2943,bone,eskimoaleut.bone.0020
nort2945,bone,eskimoaleut.bone.0020
sire1246,bone,eskimoaleut.bone.0023
west2618,bone,eskimoaleut.bone.0020
aleu1260,breast,eskimoaleut.breast.0024
cent2127,breast,eskimoaleut.breast.0025
cent2128,breast,eskimoaleut.breast.0024
cent2128,breast,eskimoaleut.breast.0027
cent2128,breast,eskimoaleut.breast.0030
east2534,breast,eskimoaleut.breast.0027
