Language_ID,Feature_ID,Value
fuln1247,1pl,fulnio.1pl.0363
fuln1247,1sg,fulnio.1sg.0130
fuln1247,1sg,fulnio.1sg.0218
fuln1247,2sg,fulnio.2sg.0219
fuln1247,2sg,fulnio.2sg.0273
fuln1247,blood,fulnio.blood.0022
fuln1247,come,fulnio.come.0001
fuln1247,die,fulnio.die.0001
fuln1247,dog,fulnio.dog.0108
fuln1247,drink,fulnio.drink.0420
fuln1247,ear,fulnio.ear.0229
fuln1247,eye,fulnio.eye.0336
fuln1247,fire,fulnio.fire.0003
fuln1247,fish,fulnio.fish.0073
fuln1247,hand,fulnio.hand.0296
fuln1247,hear,fulnio.hear.0454
fuln1247,leaf,fulnio.leaf.0001
fuln1247,liver,fulnio.liver.0386
fuln1247,night,fulnio.night.0325
fuln1247,nose,fulnio.nose.0377
fuln1247,one,fulnio.one.0129
fuln1247,path,fulnio.path.0377
fuln1247,see,fulnio.see.0299
fuln1247,skin,fulnio.skin.0109
fuln1247,star,fulnio.star.0390
fuln1247,stone,fulnio.stone.0484
fuln1247,sun,fulnio.sun.0020
fuln1247,tongue,fulnio.tongue.0314
fuln1247,tooth,fulnio.tooth.0357
fuln1247,tree,fulnio.tree.0333
fuln1247,two,fulnio.two.0272
fuln1247,water,fulnio.water.0054
