Language_ID,Feature_ID,Value
fuyu1242,1sg,goilalan.1sg.0002
fuyu1242,blood,goilalan.blood.0005
fuyu1242,bone,goilalan.bone.0008
fuyu1242,breast,goilalan.breast.0009
fuyu1242,come,goilalan.come.0012
fuyu1242,die,goilalan.die.0015
fuyu1242,dog,goilalan.dog.0018
fuyu1242,drink,goilalan.drink.0021
fuyu1242,ear,goilalan.ear.0023
fuyu1242,eye,goilalan.eye.0025
fuyu1242,fire,goilalan.fire.0027
fuyu1242,fish,goilalan.fish.0030
fuyu1242,full,goilalan.full.0033
fuyu1242,hand,goilalan.hand.0035
fuyu1242,hear,goilalan.hear.0038
fuyu1242,horn,goilalan.horn.0039
fuyu1242,knee,goilalan.knee.0040
fuyu1242,leaf,goilalan.leaf.0042
fuyu1242,liver,goilalan.liver.0045
fuyu1242,louse,goilalan.louse.0046
fuyu1242,mountain,goilalan.mountain.0049
fuyu1242,name,goilalan.name.0052
fuyu1242,new,goilalan.new.0054
fuyu1242,night,goilalan.night.0057
fuyu1242,nose,goilalan.nose.0059
fuyu1242,one,goilalan.one.0062
fuyu1242,path,goilalan.path.0065
fuyu1242,person,goilalan.person.0068
fuyu1242,see,goilalan.see.0071
fuyu1242,skin,goilalan.skin.0075
fuyu1242,star,goilalan.star.0078
fuyu1242,stone,goilalan.stone.0081
fuyu1242,sun,goilalan.sun.0084
fuyu1242,tongue,goilalan.tongue.0087
fuyu1242,tooth,goilalan.tooth.0090
fuyu1242,tree,goilalan.tree.0093
fuyu1242,two,goilalan.two.0096
fuyu1242,water,goilalan.water.0099
