Language_ID,Feature_ID,Value
guat1253,1pl,guato.1pl.0391
guat1253,1sg,guato.1sg.0229
guat1253,2sg,guato.2sg.0283
guat1253,blood,guato.blood.0322
guat1253,bone,guato.bone.0021
guat1253,breast,guato.breast.0368
guat1253,come,guato.come.0351
guat1253,die,guato.die.0417
guat1253,dog,guato.dog.0001
guat1253,drink,guato.drink.0453
guat1253,ear,guato.ear.0016
guat1253,eye,guato.eye.0365
guat1253,fire,guato.fire.0394
guat1253,fish,guato.fish.0374
guat1253,full,guato.full.0446
guat1253,hand,guato.hand.0308
guat1253,hear,guato.hear.0486
guat1253,horn,guato.horn.0292
guat1253,knee,guato.knee.0330
guat1253,leaf,guato.leaf.0326
guat1253,liver,guato.liver.0417
guat1253,louse,guato.louse.0355
guat1253,mountain,guato.mountain.0379
guat1253,new,guato.new.0351
guat1253,night,guato.night.0344
guat1253,nose,guato.nose.0400
guat1253,one,guato.one.0038
guat1253,path,guato.path.0392
guat1253,see,guato.see.0017
guat1253,skin,guato.skin.0421
guat1253,star,guato.star.0413
guat1253,stone,guato.stone.0532
guat1253,sun,guato.sun.0004
guat1253,tongue,guato.tongue.0014
guat1253,tooth,guato.tooth.0384
guat1253,tree,guato.tree.0358
guat1253,two,guato.two.0013
guat1253,water,guato.water.0303
