Language_ID,Feature_ID,Value
gumu1244,1pl,gumuz.1pl.0001
gumu1244,1pl,gumuz.1pl.0001
gumu1244,1pl,gumuz.1pl.0001
gumu1244,1sg,gumuz.1sg.0002
gumu1244,1sg,gumuz.1sg.0003
gumu1244,1sg,gumuz.1sg.0004
gumu1244,1sg,gumuz.1sg.0005
gumu1244,2sg,gumuz.2sg.0006
gumu1244,2sg,gumuz.2sg.0006
gumu1244,2sg,gumuz.2sg.0007
gumu1244,blood,gumuz.blood.0008
gumu1244,blood,gumuz.blood.0008
gumu1244,blood,gumuz.blood.0009
gumu1244,bone,gumuz.bone.0010
gumu1244,bone,gumuz.bone.0010
gumu1244,bone,gumuz.bone.0010
gumu1244,breast,gumuz.breast.0011
gumu1244,breast,gumuz.breast.0011
gumu1244,breast,gumuz.breast.0011
gumu1244,come,gumuz.come.0012
gumu1244,come,gumuz.come.0012
gumu1244,come,gumuz.come.0012
gumu1244,die,gumuz.die.0013
gumu1244,die,gumuz.die.0013
gumu1244,die,gumuz.die.0014
gumu1244,dog,gumuz.dog.0015
gumu1244,dog,gumuz.dog.0015
gumu1244,dog,gumuz.dog.0015
gumu1244,drink,gumuz.drink.0016
gumu1244,drink,gumuz.drink.0017
gumu1244,drink,gumuz.drink.0018
gumu1244,ear,gumuz.ear.0019
gumu1244,ear,gumuz.ear.0020
gumu1244,ear,gumuz.ear.0021
gumu1244,eye,gumuz.eye.0022
gumu1244,eye,gumuz.eye.0022
gumu1244,eye,gumuz.eye.0023
gumu1244,fire,gumuz.fire.0024
gumu1244,fire,gumuz.fire.0024
gumu1244,fire,gumuz.fire.0024
gumu1244,fish,gumuz.fish.0025
gumu1244,fish,gumuz.fish.0026
gumu1244,fish,gumuz.fish.0027
gumu1244,hand,gumuz.hand.0028
gumu1244,hand,gumuz.hand.0028
gumu1244,hand,gumuz.hand.0028
gumu1244,hear,gumuz.hear.0029
gumu1244,hear,gumuz.hear.0029
gumu1244,hear,gumuz.hear.0030
gumu1244,horn,gumuz.horn.0031
gumu1244,horn,gumuz.horn.0031
gumu1244,horn,gumuz.horn.0032
gumu1244,knee,gumuz.knee.0033
gumu1244,knee,gumuz.knee.0033
gumu1244,leaf,gumuz.leaf.0034
gumu1244,leaf,gumuz.leaf.0034
gumu1244,leaf,gumuz.leaf.0034
gumu1244,liver,gumuz.liver.0035
gumu1244,liver,gumuz.liver.0035
gumu1244,louse,gumuz.louse.0036
gumu1244,louse,gumuz.louse.0036
gumu1244,louse,gumuz.louse.0037
gumu1244,mountain,gumuz.mountain.0038
gumu1244,mountain,gumuz.mountain.0039
gumu1244,mountain,gumuz.mountain.0040
gumu1244,name,gumuz.name.0041
gumu1244,name,gumuz.name.0042
gumu1244,name,gumuz.name.0042
gumu1244,new,gumuz.new.0043
gumu1244,new,gumuz.new.0044
gumu1244,new,gumuz.new.0045
gumu1244,night,gumuz.night.0046
gumu1244,night,gumuz.night.0046
gumu1244,nose,gumuz.nose.0047
gumu1244,nose,gumuz.nose.0047
gumu1244,nose,gumuz.nose.0048
gumu1244,one,gumuz.one.0049
gumu1244,one,gumuz.one.0049
gumu1244,one,gumuz.one.0049
gumu1244,path,gumuz.path.0050
gumu1244,path,gumuz.path.0051
gumu1244,path,gumuz.path.0052
gumu1244,person,gumuz.person.0053
gumu1244,person,gumuz.person.0053
gumu1244,person,gumuz.person.0054
gumu1244,see,gumuz.see.0055
gumu1244,see,gumuz.see.0056
gumu1244,see,gumuz.see.0057
gumu1244,skin,gumuz.skin.0058
gumu1244,skin,gumuz.skin.0058
gumu1244,skin,gumuz.skin.0058
gumu1244,star,gumuz.star.0059
gumu1244,star,gumuz.star.0059
gumu1244,star,gumuz.star.0059
gumu1244,stone,gumuz.stone.0060
gumu1244,stone,gumuz.stone.0060
gumu1244,stone,gumuz.stone.0060
gumu1244,sun,gumuz.sun.0061
gumu1244,sun,gumuz.sun.0061
gumu1244,sun,gumuz.sun.0061
gumu1244,tongue,gumuz.tongue.0062
gumu1244,tongue,gumuz.tongue.0063
gumu1244,tooth,gumuz.tooth.0064
gumu1244,tooth,gumuz.tooth.0064
gumu1244,tree,gumuz.tree.0065
gumu1244,tree,gumuz.tree.0065
gumu1244,tree,gumuz.tree.0065
gumu1244,two,gumuz.two.0066
gumu1244,two,gumuz.two.0066
gumu1244,two,gumuz.two.0066
gumu1244,water,gumuz.water.0067
gumu1244,water,gumuz.water.0067
gumu1244,water,gumuz.water.0068
