Language_ID,Feature_ID,Value
yuwa1244,1pl,jodisaliban.1pl.0099
yuwa1244,1sg,jodisaliban.1sg.0085
yuwa1244,2sg,jodisaliban.2sg.0013
yuwa1244,blood,jodisaliban.blood.0558
yuwa1244,bone,jodisaliban.bone.0142
yuwa1244,breast,jodisaliban.breast.0002
yuwa1244,breast,jodisaliban.breast.0707
yuwa1244,come,jodisaliban.come.0721
yuwa1244,die,jodisaliban.die.0932
yuwa1244,dog,jodisaliban.dog.0506
yuwa1244,drink,jodisaliban.drink.0959
yuwa1244,ear,jodisaliban.ear.0062
yuwa1244,eye,jodisaliban.eye.0006
yuwa1244,fire,jodisaliban.fire.0177
yuwa1244,fish,jodisaliban.fish.0684
yuwa1244,full,jodisaliban.full.0016
yuwa1244,hand,jodisaliban.hand.0556
yuwa1244,hear,jodisaliban.hear.0633
yuwa1244,knee,jodisaliban.knee.0101
yuwa1244,leaf,jodisaliban.leaf.0065
yuwa1244,liver,jodisaliban.liver.0857
yuwa1244,louse,jodisaliban.louse.0723
yuwa1244,mountain,jodisaliban.mountain.0793
yuwa1244,name,jodisaliban.name.0018
yuwa1244,new,jodisaliban.new.0011
yuwa1244,night,jodisaliban.night.0667
yuwa1244,nose,jodisaliban.nose.0810
yuwa1244,one,jodisaliban.one.0024
yuwa1244,path,jodisaliban.path.0017
yuwa1244,path,jodisaliban.path.0089
yuwa1244,person,jodisaliban.person.1012
yuwa1244,see,jodisaliban.see.0058
yuwa1244,skin,jodisaliban.skin.0177
yuwa1244,star,jodisaliban.star.0808
yuwa1244,stone,jodisaliban.stone.1103
yuwa1244,sun,jodisaliban.sun.0004
yuwa1244,tongue,jodisaliban.tongue.0017
yuwa1244,tooth,jodisaliban.tooth.0749
yuwa1244,tree,jodisaliban.tree.0563
yuwa1244,two,jodisaliban.two.0588
yuwa1244,water,jodisaliban.water.0088
