Language_ID,Feature_ID,Value
iran1263,1sg,iranxe.1sg.0255
iran1263,2sg,iranxe.2sg.0307
iran1263,blood,iranxe.blood.0353
iran1263,breast,iranxe.breast.0392
iran1263,die,iranxe.die.0457
iran1263,dog,iranxe.dog.0033
iran1263,drink,iranxe.drink.0501
iran1263,drink,iranxe.drink.0502
iran1263,ear,iranxe.ear.0201
iran1263,eye,iranxe.eye.0400
iran1263,fire,iranxe.fire.0421
iran1263,fish,iranxe.fish.0403
iran1263,hand,iranxe.hand.0059
iran1263,hear,iranxe.hear.0525
iran1263,knee,iranxe.knee.0357
iran1263,leaf,iranxe.leaf.0015
iran1263,liver,iranxe.liver.0454
iran1263,louse,iranxe.louse.0053
iran1263,mountain,iranxe.mountain.0014
iran1263,name,iranxe.name.0319
iran1263,night,iranxe.night.0232
iran1263,nose,iranxe.nose.0437
iran1263,one,iranxe.one.0332
iran1263,path,iranxe.path.0431
iran1263,see,iranxe.see.0017
iran1263,skin,iranxe.skin.0006
iran1263,star,iranxe.star.0444
iran1263,stone,iranxe.stone.0579
iran1263,sun,iranxe.sun.0163
iran1263,tongue,iranxe.tongue.0355
iran1263,tooth,iranxe.tooth.0410
iran1263,tree,iranxe.tree.0385
iran1263,two,iranxe.two.0318
iran1263,water,iranxe.water.0015
