Language_ID,Feature_ID,Value
jara1245,1pl,jarawaonge.1pl.0001
onge1236,1pl,jarawaonge.1pl.0002
jara1245,1sg,jarawaonge.1sg.0003
onge1236,1sg,jarawaonge.1sg.0003
jara1245,2sg,jarawaonge.2sg.0004
onge1236,2sg,jarawaonge.2sg.0004
jara1245,blood,jarawaonge.blood.0005
jara1245,blood,jarawaonge.blood.0005
onge1236,blood,jarawaonge.blood.0005
onge1236,blood,jarawaonge.blood.0005
jara1245,bone,jarawaonge.bone.0006
onge1236,bone,?
jara1245,breast,jarawaonge.breast.0007
onge1236,breast,jarawaonge.breast.0007
jara1245,come,jarawaonge.come.0008
jara1245,come,jarawaonge.come.0010
onge1236,come,jarawaonge.come.0009
onge1236,come,jarawaonge.come.0011
jara1245,die,jarawaonge.die.0012
onge1236,die,jarawaonge.die.0012
onge1236,die,jarawaonge.die.0012
jara1245,dog,jarawaonge.dog.0013
jara1245,dog,jarawaonge.dog.0014
onge1236,dog,jarawaonge.dog.0014
jara1245,drink,jarawaonge.drink.0015
onge1236,drink,jarawaonge.drink.0015
onge1236,drink,jarawaonge.drink.0016
jara1245,ear,jarawaonge.ear.0017
jara1245,ear,jarawaonge.ear.0017
onge1236,ear,jarawaonge.ear.0017
jara1245,eye,jarawaonge.eye.0018
onge1236,eye,jarawaonge.eye.0018
onge1236,eye,jarawaonge.eye.0018
jara1245,fire,jarawaonge.fire.0019
onge1236,fire,jarawaonge.fire.0019
jara1245,fish,jarawaonge.fish.0020
onge1236,fish,jarawaonge.fish.0021
onge1236,fish,jarawaonge.fish.0021
jara1245,hand,jarawaonge.hand.0022
jara1245,hand,jarawaonge.hand.0022
onge1236,hand,jarawaonge.hand.0022
jara1245,horn,jarawaonge.horn.0023
onge1236,horn,?
jara1245,knee,jarawaonge.knee.0024
onge1236,knee,jarawaonge.knee.0025
jara1245,leaf,jarawaonge.leaf.0026
onge1236,leaf,jarawaonge.leaf.0026
jara1245,liver,?
onge1236,liver,jarawaonge.liver.0027
jara1245,louse,jarawaonge.louse.0028
jara1245,louse,jarawaonge.louse.0029
onge1236,louse,?
jara1245,name,jarawaonge.name.0030
onge1236,name,jarawaonge.name.0030
jara1245,night,jarawaonge.night.0031
onge1236,night,jarawaonge.night.0032
jara1245,nose,jarawaonge.nose.0033
onge1236,nose,jarawaonge.nose.0033
jara1245,one,jarawaonge.one.0034
onge1236,one,jarawaonge.one.0035
jara1245,person,jarawaonge.person.0036
jara1245,person,jarawaonge.person.0036
onge1236,person,jarawaonge.person.0037
onge1236,person,jarawaonge.person.0038
jara1245,see,jarawaonge.see.0039
jara1245,see,jarawaonge.see.0040
onge1236,see,jarawaonge.see.0039
jara1245,skin,jarawaonge.skin.0041
onge1236,skin,jarawaonge.skin.0041
jara1245,star,jarawaonge.star.0042
jara1245,star,jarawaonge.star.0042
onge1236,star,jarawaonge.star.0043
jara1245,stone,jarawaonge.stone.0044
onge1236,stone,jarawaonge.stone.0044
onge1236,stone,jarawaonge.stone.0045
jara1245,sun,jarawaonge.sun.0046
onge1236,sun,jarawaonge.sun.0046
onge1236,sun,jarawaonge.sun.0047
jara1245,tongue,jarawaonge.tongue.0048
jara1245,tongue,jarawaonge.tongue.0050
onge1236,tongue,jarawaonge.tongue.0049
jara1245,tooth,jarawaonge.tooth.0051
onge1236,tooth,jarawaonge.tooth.0052
onge1236,tooth,jarawaonge.tooth.0053
jara1245,tree,jarawaonge.tree.0054
onge1236,tree,jarawaonge.tree.0054
jara1245,two,jarawaonge.two.0055
onge1236,two,jarawaonge.two.0056
jara1245,water,jarawaonge.water.0057
onge1236,water,jarawaonge.water.0057
