Language_ID,Feature_ID,Value
kang1288,1pl,kaduglikrongo.1pl.0002
katc1249,1pl,kaduglikrongo.1pl.0002
katc1249,1pl,kaduglikrongo.1pl.0002
katc1249,1pl,kaduglikrongo.1pl.0002
keig1242,1pl,kaduglikrongo.1pl.0002
kron1241,1pl,kaduglikrongo.1pl.0001
kron1241,1pl,kaduglikrongo.1pl.0002
tuli1249,1pl,kaduglikrongo.1pl.0004
tumt1243,1pl,kaduglikrongo.1pl.0003
kang1288,1sg,kaduglikrongo.1sg.0005
kang1288,1sg,kaduglikrongo.1sg.0005
katc1249,1sg,kaduglikrongo.1sg.0005
katc1249,1sg,kaduglikrongo.1sg.0005
katc1249,1sg,kaduglikrongo.1sg.0005
keig1242,1sg,kaduglikrongo.1sg.0005
kron1241,1sg,kaduglikrongo.1sg.0005
kron1241,1sg,kaduglikrongo.1sg.0005
tuli1249,1sg,kaduglikrongo.1sg.0005
tumt1243,1sg,kaduglikrongo.1sg.0005
kang1288,2sg,kaduglikrongo.2sg.0006
kang1288,2sg,kaduglikrongo.2sg.0006
kang1288,2sg,kaduglikrongo.2sg.0007
katc1249,2sg,kaduglikrongo.2sg.0006
katc1249,2sg,kaduglikrongo.2sg.0006
katc1249,2sg,kaduglikrongo.2sg.0006
katc1249,2sg,kaduglikrongo.2sg.0007
katc1249,2sg,kaduglikrongo.2sg.0007
keig1242,2sg,kaduglikrongo.2sg.0006
keig1242,2sg,kaduglikrongo.2sg.0007
kron1241,2sg,kaduglikrongo.2sg.0006
kron1241,2sg,kaduglikrongo.2sg.0006
kron1241,2sg,kaduglikrongo.2sg.0007
tuli1249,2sg,kaduglikrongo.2sg.0007
tuli1249,2sg,kaduglikrongo.2sg.0008
tumt1243,2sg,kaduglikrongo.2sg.0006
tumt1243,2sg,kaduglikrongo.2sg.0007
kang1288,blood,kaduglikrongo.blood.0009
kang1288,blood,kaduglikrongo.blood.0009
kang1288,blood,kaduglikrongo.blood.0009
kang1288,blood,kaduglikrongo.blood.0009
katc1249,blood,kaduglikrongo.blood.0009
katc1249,blood,kaduglikrongo.blood.0009
katc1249,blood,kaduglikrongo.blood.0009
keig1242,blood,kaduglikrongo.blood.0009
kron1241,blood,kaduglikrongo.blood.0009
kron1241,blood,kaduglikrongo.blood.0009
tuli1249,blood,kaduglikrongo.blood.0009
tumt1243,blood,kaduglikrongo.blood.0010
kang1288,bone,kaduglikrongo.bone.0011
kang1288,bone,kaduglikrongo.bone.0011
katc1249,bone,kaduglikrongo.bone.0011
katc1249,bone,kaduglikrongo.bone.0012
katc1249,bone,kaduglikrongo.bone.0012
keig1242,bone,kaduglikrongo.bone.0012
kron1241,bone,kaduglikrongo.bone.0011
kron1241,bone,kaduglikrongo.bone.0011
tuli1249,bone,kaduglikrongo.bone.0011
tumt1243,bone,kaduglikrongo.bone.0011
kang1288,breast,kaduglikrongo.breast.0013
kang1288,breast,kaduglikrongo.breast.0013
katc1249,breast,kaduglikrongo.breast.0013
katc1249,breast,kaduglikrongo.breast.0013
katc1249,breast,kaduglikrongo.breast.0013
keig1242,breast,kaduglikrongo.breast.0013
kron1241,breast,kaduglikrongo.breast.0013
kron1241,breast,kaduglikrongo.breast.0013
tuli1249,breast,kaduglikrongo.breast.0013
tumt1243,breast,kaduglikrongo.breast.0013
kang1288,come,kaduglikrongo.come.0014
kang1288,come,kaduglikrongo.come.0014
kang1288,come,kaduglikrongo.come.0014
kang1288,come,kaduglikrongo.come.0015
katc1249,come,kaduglikrongo.come.0014
katc1249,come,kaduglikrongo.come.0015
katc1249,come,kaduglikrongo.come.0015
katc1249,come,kaduglikrongo.come.0015
katc1249,come,kaduglikrongo.come.0017
keig1242,come,kaduglikrongo.come.0016
kron1241,come,kaduglikrongo.come.0014
kron1241,come,kaduglikrongo.come.0016
kron1241,come,kaduglikrongo.come.0016
tuli1249,come,kaduglikrongo.come.0014
tumt1243,come,kaduglikrongo.come.0016
kang1288,die,?
katc1249,die,kaduglikrongo.die.0018
katc1249,die,kaduglikrongo.die.0019
keig1242,die,?
kron1241,die,kaduglikrongo.die.0018
kron1241,die,kaduglikrongo.die.0018
kron1241,die,kaduglikrongo.die.0021
tuli1249,die,kaduglikrongo.die.0018
tumt1243,die,kaduglikrongo.die.0020
kang1288,dog,kaduglikrongo.dog.0022
kang1288,dog,kaduglikrongo.dog.0022
kang1288,dog,kaduglikrongo.dog.0023
kang1288,dog,kaduglikrongo.dog.0023
katc1249,dog,kaduglikrongo.dog.0022
katc1249,dog,kaduglikrongo.dog.0022
katc1249,dog,kaduglikrongo.dog.0023
katc1249,dog,kaduglikrongo.dog.0023
katc1249,dog,kaduglikrongo.dog.0023
keig1242,dog,kaduglikrongo.dog.0022
keig1242,dog,kaduglikrongo.dog.0023
kron1241,dog,kaduglikrongo.dog.0022
kron1241,dog,kaduglikrongo.dog.0023
kron1241,dog,kaduglikrongo.dog.0023
tuli1249,dog,kaduglikrongo.dog.0023
tuli1249,dog,kaduglikrongo.dog.0024
tumt1243,dog,kaduglikrongo.dog.0023
kang1288,drink,kaduglikrongo.drink.0025
katc1249,drink,kaduglikrongo.drink.0025
katc1249,drink,kaduglikrongo.drink.0025
katc1249,drink,kaduglikrongo.drink.0025
keig1242,drink,kaduglikrongo.drink.0025
keig1242,drink,kaduglikrongo.drink.0027
kron1241,drink,kaduglikrongo.drink.0026
tuli1249,drink,kaduglikrongo.drink.0025
tumt1243,drink,kaduglikrongo.drink.0025
kang1288,ear,kaduglikrongo.ear.0028
kang1288,ear,kaduglikrongo.ear.0028
kang1288,ear,kaduglikrongo.ear.0028
katc1249,ear,kaduglikrongo.ear.0028
katc1249,ear,kaduglikrongo.ear.0028
katc1249,ear,kaduglikrongo.ear.0028
keig1242,ear,kaduglikrongo.ear.0028
kron1241,ear,kaduglikrongo.ear.0028
kron1241,ear,kaduglikrongo.ear.0028
tuli1249,ear,kaduglikrongo.ear.0028
tumt1243,ear,kaduglikrongo.ear.0028
kang1288,eye,kaduglikrongo.eye.0029
kang1288,eye,kaduglikrongo.eye.0029
kang1288,eye,kaduglikrongo.eye.0029
katc1249,eye,kaduglikrongo.eye.0029
katc1249,eye,kaduglikrongo.eye.0029
katc1249,eye,kaduglikrongo.eye.0029
keig1242,eye,kaduglikrongo.eye.0029
kron1241,eye,kaduglikrongo.eye.0029
kron1241,eye,kaduglikrongo.eye.0030
tuli1249,eye,kaduglikrongo.eye.0029
tumt1243,eye,kaduglikrongo.eye.0029
kang1288,fire,kaduglikrongo.fire.0031
kang1288,fire,kaduglikrongo.fire.0031
katc1249,fire,kaduglikrongo.fire.0031
katc1249,fire,kaduglikrongo.fire.0031
katc1249,fire,kaduglikrongo.fire.0031
keig1242,fire,kaduglikrongo.fire.0031
kron1241,fire,kaduglikrongo.fire.0031
kron1241,fire,kaduglikrongo.fire.0031
tuli1249,fire,kaduglikrongo.fire.0031
tumt1243,fire,kaduglikrongo.fire.0031
kang1288,fish,kaduglikrongo.fish.0032
kang1288,fish,kaduglikrongo.fish.0032
katc1249,fish,kaduglikrongo.fish.0032
katc1249,fish,kaduglikrongo.fish.0032
katc1249,fish,kaduglikrongo.fish.0032
katc1249,fish,kaduglikrongo.fish.0032
keig1242,fish,kaduglikrongo.fish.0033
kron1241,fish,kaduglikrongo.fish.0032
kron1241,fish,kaduglikrongo.fish.0032
tuli1249,fish,kaduglikrongo.fish.0032
tumt1243,fish,kaduglikrongo.fish.0034
kang1288,full,?
katc1249,full,kaduglikrongo.full.0035
keig1242,full,?
kron1241,full,?
tuli1249,full,?
tumt1243,full,?
kang1288,hand,kaduglikrongo.hand.0036
kang1288,hand,kaduglikrongo.hand.0036
katc1249,hand,kaduglikrongo.hand.0036
katc1249,hand,kaduglikrongo.hand.0036
katc1249,hand,kaduglikrongo.hand.0036
keig1242,hand,kaduglikrongo.hand.0036
kron1241,hand,kaduglikrongo.hand.0036
kron1241,hand,kaduglikrongo.hand.0036
tuli1249,hand,kaduglikrongo.hand.0036
tumt1243,hand,kaduglikrongo.hand.0036
kang1288,hear,kaduglikrongo.hear.0037
