Language_ID,Feature_ID,Value
kana1291,1pl,katukinan.1pl.0461
kana1291,1sg,katukinan.1sg.0280
kana1291,2sg,katukinan.2sg.0336
kana1291,blood,katukinan.blood.0079
kana1291,bone,katukinan.bone.0255
kana1291,die,katukinan.die.0498
kana1291,dog,katukinan.dog.0001
kana1291,ear,katukinan.ear.0270
kana1291,eye,katukinan.eye.0426
kana1291,fire,katukinan.fire.0233
kana1291,fish,katukinan.fish.0064
kana1291,fish,katukinan.fish.0429
kana1291,hand,katukinan.hand.0042
kana1291,hear,katukinan.hear.0570
kana1291,horn,katukinan.horn.0343
kana1291,knee,katukinan.knee.0312
kana1291,leaf,katukinan.leaf.0046
kana1291,liver,katukinan.liver.0217
kana1291,mountain,katukinan.mountain.0454
kana1291,new,katukinan.new.0011
kana1291,night,katukinan.night.0319
kana1291,nose,katukinan.nose.0460
kana1291,one,katukinan.one.0362
kana1291,path,katukinan.path.0087
kana1291,skin,katukinan.skin.0090
kana1291,star,katukinan.star.0475
kana1291,stone,katukinan.stone.0627
kana1291,sun,katukinan.sun.0004
kana1291,tongue,katukinan.tongue.0380
kana1291,tree,katukinan.tree.0405
kana1291,two,katukinan.two.0344
kana1291,water,katukinan.water.0346
