Language_ID,Feature_ID,Value
qawa1238,1pl,kawesqar.1pl.0719
qawa1238,1sg,kawesqar.1sg.0015
qawa1238,2sg,kawesqar.2sg.0481
qawa1238,blood,kawesqar.blood.0040
qawa1238,bone,kawesqar.bone.0039
qawa1238,breast,kawesqar.breast.0599
qawa1238,come,kawesqar.come.0601
qawa1238,die,kawesqar.die.0752
qawa1238,dog,kawesqar.dog.0200
qawa1238,drink,kawesqar.drink.0804
qawa1238,ear,kawesqar.ear.0002
qawa1238,eye,kawesqar.eye.0618
qawa1238,fire,kawesqar.fire.0023
qawa1238,fish,kawesqar.fish.0583
qawa1238,full,kawesqar.full.0530
qawa1238,hand,kawesqar.hand.0059
qawa1238,hear,kawesqar.hear.0868
qawa1238,horn,kawesqar.horn.0491
qawa1238,knee,kawesqar.knee.0078
qawa1238,leaf,kawesqar.leaf.0477
qawa1238,liver,kawesqar.liver.0010
qawa1238,louse,kawesqar.louse.0617
qawa1238,mountain,kawesqar.mountain.0670
qawa1238,name,kawesqar.name.0054
qawa1238,new,kawesqar.new.0600
qawa1238,night,kawesqar.night.0006
qawa1238,nose,kawesqar.nose.0666
qawa1238,nose,kawesqar.nose.0667
qawa1238,one,kawesqar.one.0044
qawa1238,path,kawesqar.path.0017
qawa1238,person,kawesqar.person.0386
qawa1238,see,kawesqar.see.0531
qawa1238,skin,kawesqar.skin.0072
qawa1238,star,kawesqar.star.0685
qawa1238,stone,kawesqar.stone.0927
qawa1238,sun,kawesqar.sun.0526
qawa1238,tongue,kawesqar.tongue.0017
qawa1238,tooth,kawesqar.tooth.0627
qawa1238,tree,kawesqar.tree.0269
qawa1238,two,kawesqar.two.0013
qawa1238,water,kawesqar.water.0481
