Language_ID,Feature_ID,Value
kena1236,1sg,kenaboi.1sg.0289
kena1236,blood,kenaboi.blood.0020
kena1236,bone,kenaboi.bone.0001
kena1236,breast,kenaboi.breast.0002
kena1236,come,kenaboi.come.0413
kena1236,die,kenaboi.die.0527
kena1236,dog,kenaboi.dog.0021
kena1236,drink,kenaboi.drink.0559
kena1236,ear,kenaboi.ear.0020
kena1236,eye,kenaboi.eye.0447
kena1236,fire,kenaboi.fire.0468
kena1236,fish,kenaboi.fish.0099
kena1236,hand,kenaboi.hand.0360
kena1236,knee,kenaboi.knee.0029
kena1236,leaf,kenaboi.leaf.0001
kena1236,mountain,kenaboi.mountain.0472
kena1236,new,kenaboi.new.0284
kena1236,night,kenaboi.night.0037
kena1236,nose,kenaboi.nose.0480
kena1236,one,kenaboi.one.0006
kena1236,person,kenaboi.person.0591
kena1236,skin,kenaboi.skin.0221
kena1236,star,kenaboi.star.0498
kena1236,stone,kenaboi.stone.0015
kena1236,sun,kenaboi.sun.0007
kena1236,tongue,kenaboi.tongue.0017
kena1236,tooth,kenaboi.tooth.0457
kena1236,tree,kenaboi.tree.0416
kena1236,two,kenaboi.two.0364
kena1236,water,kenaboi.water.0007
