Language_ID,Feature_ID,Value
east1472,1pl,keresan.1pl.0001
east1472,1pl,keresan.1pl.0001
west2632,1pl,keresan.1pl.0001
east1472,2sg,keresan.2sg.0002
east1472,2sg,keresan.2sg.0002
west2632,2sg,keresan.2sg.0002
east1472,blood,keresan.blood.0003
east1472,blood,keresan.blood.0003
west2632,blood,keresan.blood.0003
east1472,bone,keresan.bone.0004
east1472,bone,keresan.bone.0004
west2632,bone,keresan.bone.0004
east1472,die,keresan.die.0005
east1472,die,keresan.die.0005
west2632,die,keresan.die.0005
east1472,dog,keresan.dog.0006
east1472,dog,keresan.dog.0006
west2632,dog,keresan.dog.0006
east1472,drink,keresan.drink.0007
east1472,drink,keresan.drink.0007
west2632,drink,keresan.drink.0007
east1472,ear,keresan.ear.0008
east1472,ear,keresan.ear.0008
west2632,ear,keresan.ear.0008
east1472,eye,keresan.eye.0009
east1472,eye,keresan.eye.0010
east1472,eye,keresan.eye.0010
west2632,eye,keresan.eye.0009
west2632,eye,keresan.eye.0010
east1472,fish,keresan.fish.0011
east1472,fish,keresan.fish.0011
west2632,fish,keresan.fish.0011
east1472,full,keresan.full.0012
east1472,full,keresan.full.0012
west2632,full,keresan.full.0012
east1472,hand,keresan.hand.0013
east1472,hand,keresan.hand.0013
west2632,hand,keresan.hand.0013
east1472,hear,keresan.hear.0014
east1472,hear,keresan.hear.0014
west2632,hear,keresan.hear.0014
east1472,horn,keresan.horn.0015
east1472,horn,keresan.horn.0015
west2632,horn,keresan.horn.0015
east1472,knee,keresan.knee.0016
east1472,knee,keresan.knee.0016
west2632,knee,keresan.knee.0016
east1472,leaf,keresan.leaf.0017
east1472,leaf,keresan.leaf.0017
west2632,leaf,keresan.leaf.0017
east1472,liver,keresan.liver.0018
east1472,liver,keresan.liver.0018
west2632,liver,keresan.liver.0018
east1472,louse,keresan.louse.0019
east1472,louse,keresan.louse.0019
west2632,louse,keresan.louse.0019
east1472,mountain,keresan.mountain.0020
east1472,mountain,keresan.mountain.0020
west2632,mountain,keresan.mountain.0020
east1472,name,keresan.name.0021
east1472,name,keresan.name.0021
west2632,name,keresan.name.0021
east1472,new,keresan.new.0022
east1472,new,keresan.new.0022
west2632,new,keresan.new.0022
east1472,night,keresan.night.0023
east1472,night,keresan.night.0023
west2632,night,keresan.night.0023
east1472,nose,keresan.nose.0024
east1472,nose,keresan.nose.0025
east1472,nose,keresan.nose.0025
west2632,nose,keresan.nose.0024
west2632,nose,keresan.nose.0026
east1472,one,keresan.one.0027
east1472,one,keresan.one.0027
west2632,one,keresan.one.0027
east1472,path,keresan.path.0028
east1472,path,keresan.path.0028
west2632,path,keresan.path.0028
east1472,person,keresan.person.0029
east1472,person,keresan.person.0029
west2632,person,keresan.person.0029
east1472,see,keresan.see.0030
east1472,see,keresan.see.0030
west2632,see,keresan.see.0030
east1472,skin,keresan.skin.0031
east1472,skin,keresan.skin.0031
west2632,skin,?
east1472,star,keresan.star.0032
east1472,star,keresan.star.0032
west2632,star,keresan.star.0032
east1472,stone,keresan.stone.0033
east1472,stone,keresan.stone.0033
west2632,stone,keresan.stone.0033
east1472,sun,keresan.sun.0034
east1472,sun,keresan.sun.0034
west2632,sun,keresan.sun.0034
east1472,tongue,keresan.tongue.0035
east1472,tongue,keresan.tongue.0035
west2632,tongue,keresan.tongue.0035
east1472,tooth,keresan.tooth.0036
east1472,tooth,keresan.tooth.0036
west2632,tooth,keresan.tooth.0036
east1472,two,keresan.two.0037
east1472,two,keresan.two.0037
west2632,two,keresan.two.0037
east1472,water,keresan.water.0038
east1472,water,keresan.water.0038
west2632,water,keresan.water.0038
