Language_ID,Feature_ID,Value
kibi1239,1pl,porome.1pl.0488
kibi1239,1sg,porome.1sg.0078
kibi1239,blood,porome.blood.0103
kibi1239,bone,porome.bone.0002
kibi1239,breast,porome.breast.0436
kibi1239,come,porome.come.0418
kibi1239,die,porome.die.0538
kibi1239,dog,porome.dog.0094
kibi1239,drink,porome.drink.0567
kibi1239,ear,porome.ear.0279
kibi1239,eye,porome.eye.0452
kibi1239,fire,porome.fire.0027
kibi1239,fish,porome.fish.0190
kibi1239,full,porome.full.0574
kibi1239,hear,porome.hear.0604
kibi1239,horn,porome.horn.0005
kibi1239,knee,porome.knee.0251
kibi1239,leaf,porome.leaf.0376
kibi1239,liver,porome.liver.0517
kibi1239,louse,porome.louse.0052
kibi1239,mountain,porome.mountain.0478
kibi1239,name,porome.name.0356
kibi1239,new,porome.new.0443
kibi1239,night,porome.night.0005
kibi1239,nose,porome.nose.0486
kibi1239,one,porome.one.0373
kibi1239,path,porome.path.0488
kibi1239,person,porome.person.0602
kibi1239,see,porome.see.0400
kibi1239,skin,porome.skin.0516
kibi1239,star,porome.star.0504
kibi1239,stone,porome.stone.0659
kibi1239,sun,porome.sun.0392
kibi1239,tongue,porome.tongue.0395
kibi1239,tooth,porome.tooth.0459
kibi1239,tree,porome.tree.0421
kibi1239,two,porome.two.0367
kibi1239,water,porome.water.0088
