Language_ID,Feature_ID,Value
klam1254,1pl,klamathmodoc.1pl.0312
klam1254,1sg,klamathmodoc.1sg.0007
klam1254,1sg,klamathmodoc.1sg.0023
klam1254,2sg,klamathmodoc.2sg.0026
klam1254,2sg,klamathmodoc.2sg.0124
klam1254,blood,klamathmodoc.blood.0142
klam1254,bone,klamathmodoc.bone.0079
klam1254,breast,klamathmodoc.breast.0441
klam1254,come,klamathmodoc.come.0425
klam1254,die,klamathmodoc.die.0029
klam1254,die,klamathmodoc.die.0224
klam1254,dog,klamathmodoc.dog.0079
klam1254,drink,klamathmodoc.drink.0577
klam1254,ear,klamathmodoc.ear.0012
klam1254,ear,klamathmodoc.ear.0235
klam1254,eye,klamathmodoc.eye.0458
klam1254,fire,klamathmodoc.fire.0134
klam1254,fish,klamathmodoc.fish.0450
klam1254,full,klamathmodoc.full.0580
klam1254,hand,klamathmodoc.hand.0366
klam1254,hear,klamathmodoc.hear.0202
klam1254,horn,klamathmodoc.horn.0357
klam1254,knee,klamathmodoc.knee.0175
klam1254,leaf,klamathmodoc.leaf.0380
klam1254,liver,klamathmodoc.liver.0118
klam1254,louse,klamathmodoc.louse.0451
klam1254,mountain,klamathmodoc.mountain.0063
klam1254,name,klamathmodoc.name.0052
klam1254,new,klamathmodoc.new.0065
klam1254,night,klamathmodoc.night.0005
klam1254,nose,klamathmodoc.nose.0097
klam1254,one,klamathmodoc.one.0238
klam1254,path,klamathmodoc.path.0017
klam1254,person,klamathmodoc.person.0453
klam1254,see,klamathmodoc.see.0106
klam1254,star,klamathmodoc.star.0511
klam1254,stone,klamathmodoc.stone.0668
klam1254,sun,klamathmodoc.sun.0049
klam1254,tongue,klamathmodoc.tongue.0399
klam1254,tooth,klamathmodoc.tooth.0467
klam1254,tree,klamathmodoc.tree.0063
klam1254,two,klamathmodoc.two.0002
klam1254,water,klamathmodoc.water.0001
klam1254,water,klamathmodoc.water.0370
