Language_ID,Feature_ID,Value
bakw1243,1pl,atlanticcongo.1pl.0154
dalo1238,1pl,atlanticcongo.1pl.0176
godi1239,1pl,atlanticcongo.1pl.0054
klao1243,1pl,atlanticcongo.1pl.0154
lako1244,1pl,atlanticcongo.1pl.0054
lako1244,1pl,atlanticcongo.1pl.0176
neyo1238,1pl,?
nucl1418,1pl,atlanticcongo.1pl.0176
nyab1255,1pl,?
pyek1235,1pl,?
sout2826,1pl,atlanticcongo.1pl.0388
tepo1239,1pl,atlanticcongo.1pl.0154
weno1238,1pl,atlanticcongo.1pl.0005
yoco1235,1pl,?
bakw1243,1sg,atlanticcongo.1sg.0008
dalo1238,1sg,?
godi1239,1sg,atlanticcongo.1sg.0008
klao1243,1sg,atlanticcongo.1sg.0008
lako1244,1sg,?
neyo1238,1sg,?
nucl1418,1sg,atlanticcongo.1sg.0008
nucl1418,1sg,atlanticcongo.1sg.0008
nucl1418,1sg,atlanticcongo.1sg.0008
nucl1418,1sg,atlanticcongo.1sg.0010
nucl1418,1sg,atlanticcongo.1sg.0019
nyab1255,1sg,?
pyek1235,1sg,?
sout2826,1sg,atlanticcongo.1sg.0035
tepo1239,1sg,atlanticcongo.1sg.0008
weno1238,1sg,atlanticcongo.1sg.0008
yoco1235,1sg,?
bakw1243,2sg,atlanticcongo.2sg.0120
dalo1238,2sg,?
godi1239,2sg,atlanticcongo.2sg.0035
klao1243,2sg,atlanticcongo.2sg.0120
lako1244,2sg,?
neyo1238,2sg,?
nucl1418,2sg,atlanticcongo.2sg.0011
nucl1418,2sg,atlanticcongo.2sg.0116
nucl1418,2sg,atlanticcongo.2sg.0120
nucl1418,2sg,atlanticcongo.2sg.0120
nucl1418,2sg,atlanticcongo.2sg.0140
nyab1255,2sg,?
pyek1235,2sg,?
sout2826,2sg,atlanticcongo.2sg.0008
tepo1239,2sg,atlanticcongo.2sg.0120
weno1238,2sg,atlanticcongo.2sg.0120
weno1238,2sg,atlanticcongo.2sg.0120
yoco1235,2sg,?
bakw1243,blood,atlanticcongo.blood.0148
bakw1243,blood,atlanticcongo.blood.0148
dalo1238,blood,atlanticcongo.blood.0148
godi1239,blood,atlanticcongo.blood.0148
klao1243,blood,atlanticcongo.blood.0007
lako1244,blood,atlanticcongo.blood.0148
neyo1238,blood,atlanticcongo.blood.0148
nucl1418,blood,atlanticcongo.blood.0169
nyab1255,blood,atlanticcongo.blood.0169
pyek1235,blood,atlanticcongo.blood.0175
sout2826,blood,atlanticcongo.blood.0007
sout2826,blood,atlanticcongo.blood.0087
tepo1239,blood,atlanticcongo.blood.0148
tepo1239,blood,atlanticcongo.blood.0148
weno1238,blood,atlanticcongo.blood.0169
weno1238,blood,atlanticcongo.blood.0169
yoco1235,blood,atlanticcongo.blood.0148
bakw1243,bone,atlanticcongo.bone.0001
dalo1238,bone,atlanticcongo.bone.0001
godi1239,bone,atlanticcongo.bone.0001
klao1243,bone,atlanticcongo.bone.0001
lako1244,bone,atlanticcongo.bone.0001
neyo1238,bone,atlanticcongo.bone.0001
nucl1418,bone,atlanticcongo.bone.0001
nyab1255,bone,atlanticcongo.bone.0001
pyek1235,bone,atlanticcongo.bone.0001
sout2826,bone,atlanticcongo.bone.0001
tepo1239,bone,atlanticcongo.bone.0001
tepo1239,bone,atlanticcongo.bone.0067
weno1238,bone,atlanticcongo.bone.0001
weno1238,bone,atlanticcongo.bone.0001
yoco1235,bone,atlanticcongo.bone.0001
bakw1243,breast,atlanticcongo.breast.0161
dalo1238,breast,atlanticcongo.breast.0002
godi1239,breast,?
klao1243,breast,atlanticcongo.breast.0161
lako1244,breast,atlanticcongo.breast.0002
neyo1238,breast,atlanticcongo.breast.0002
nucl1418,breast,atlanticcongo.breast.0187
nyab1255,breast,atlanticcongo.breast.0002
nyab1255,breast,atlanticcongo.breast.0161
pyek1235,breast,atlanticcongo.breast.0002
sout2826,breast,atlanticcongo.breast.0180
tepo1239,breast,atlanticcongo.breast.0002
tepo1239,breast,atlanticcongo.breast.0133
weno1238,breast,atlanticcongo.breast.0133
yoco1235,breast,atlanticcongo.breast.0180
bakw1243,come,atlanticcongo.come.0149
dalo1238,come,atlanticcongo.come.0149
godi1239,come,atlanticcongo.come.0149
klao1243,come,atlanticcongo.come.0149
lako1244,come,atlanticcongo.come.0149
neyo1238,come,atlanticcongo.come.0149
nucl1418,come,atlanticcongo.come.0149
nyab1255,come,atlanticcongo.come.0149
pyek1235,come,atlanticcongo.come.0149
sout2826,come,atlanticcongo.come.0149
tepo1239,come,atlanticcongo.come.0149
tepo1239,come,atlanticcongo.come.0149
weno1238,come,atlanticcongo.come.0001
weno1238,come,atlanticcongo.come.0149
yoco1235,come,atlanticcongo.come.0149
bakw1243,die,atlanticcongo.die.0032
dalo1238,die,atlanticcongo.die.0215
godi1239,die,atlanticcongo.die.0001
klao1243,die,atlanticcongo.die.0198
lako1244,die,atlanticcongo.die.0001
lako1244,die,atlanticcongo.die.0001
neyo1238,die,atlanticcongo.die.0001
nucl1418,die,atlanticcongo.die.0198
nyab1255,die,?
pyek1235,die,?
sout2826,die,atlanticcongo.die.0001
tepo1239,die,atlanticcongo.die.0001
tepo1239,die,atlanticcongo.die.0001
weno1238,die,atlanticcongo.die.0198
weno1238,die,atlanticcongo.die.0198
yoco1235,die,atlanticcongo.die.0001
bakw1243,dog,atlanticcongo.dog.0001
dalo1238,dog,atlanticcongo.dog.0001
godi1239,dog,atlanticcongo.dog.0001
klao1243,dog,atlanticcongo.dog.0001
lako1244,dog,atlanticcongo.dog.0146
neyo1238,dog,atlanticcongo.dog.0146
nucl1418,dog,atlanticcongo.dog.0001
nyab1255,dog,atlanticcongo.dog.0001
pyek1235,dog,atlanticcongo.dog.0001
sout2826,dog,atlanticcongo.dog.0001
tepo1239,dog,atlanticcongo.dog.0001
tepo1239,dog,atlanticcongo.dog.0001
weno1238,dog,atlanticcongo.dog.0001
weno1238,dog,atlanticcongo.dog.0001
yoco1235,dog,atlanticcongo.dog.0001
bakw1243,drink,atlanticcongo.drink.0001
bakw1243,drink,atlanticcongo.drink.0002
dalo1238,drink,atlanticcongo.drink.0001
godi1239,drink,atlanticcongo.drink.0001
klao1243,drink,atlanticcongo.drink.0001
lako1244,drink,atlanticcongo.drink.0001
neyo1238,drink,atlanticcongo.drink.0001
nucl1418,drink,atlanticcongo.drink.0001
nyab1255,drink,atlanticcongo.drink.0001
pyek1235,drink,atlanticcongo.drink.0001
sout2826,drink,atlanticcongo.drink.0001
tepo1239,drink,atlanticcongo.drink.0001
tepo1239,drink,atlanticcongo.drink.0001
weno1238,drink,atlanticcongo.drink.0001
