Language_ID,Feature_ID,Value
kunz1244,1pl,atacameno.1pl.0526
kunz1244,1sg,atacameno.1sg.0304
kunz1244,1sg,atacameno.1sg.0305
kunz1244,2sg,atacameno.2sg.0370
kunz1244,blood,atacameno.blood.0020
kunz1244,blood,atacameno.blood.0394
kunz1244,bone,atacameno.bone.0003
kunz1244,breast,atacameno.breast.0024
kunz1244,breast,atacameno.breast.0144
kunz1244,come,atacameno.come.0442
kunz1244,die,atacameno.die.0011
kunz1244,die,atacameno.die.0563
kunz1244,dog,atacameno.dog.0349
kunz1244,dog,atacameno.dog.0350
kunz1244,drink,atacameno.drink.0058
kunz1244,drink,atacameno.drink.0604
kunz1244,ear,atacameno.ear.0289
kunz1244,ear,atacameno.ear.0290
kunz1244,eye,atacameno.eye.0472
kunz1244,fire,atacameno.fire.0194
kunz1244,fire,atacameno.fire.0498
kunz1244,fish,atacameno.fish.0464
kunz1244,full,atacameno.full.0606
kunz1244,full,atacameno.full.0607
kunz1244,hand,atacameno.hand.0379
kunz1244,hear,atacameno.hear.0638
kunz1244,knee,atacameno.knee.0125
kunz1244,knee,atacameno.knee.0419
kunz1244,leaf,atacameno.leaf.0001
kunz1244,liver,atacameno.liver.0548
kunz1244,louse,atacameno.louse.0468
kunz1244,mountain,atacameno.mountain.0514
kunz1244,mountain,atacameno.mountain.0515
kunz1244,name,atacameno.name.0053
kunz1244,name,atacameno.name.0365
kunz1244,new,atacameno.new.0133
kunz1244,night,atacameno.night.0002
kunz1244,night,atacameno.night.0005
kunz1244,nose,atacameno.nose.0510
kunz1244,nose,atacameno.nose.0511
kunz1244,one,atacameno.one.0391
kunz1244,path,atacameno.path.0003
kunz1244,path,atacameno.path.0003
kunz1244,see,atacameno.see.0016
kunz1244,see,atacameno.see.0016
kunz1244,skin,atacameno.skin.0544
kunz1244,skin,atacameno.skin.0545
kunz1244,star,atacameno.star.0083
kunz1244,star,atacameno.star.0531
kunz1244,stone,atacameno.stone.0030
kunz1244,stone,atacameno.stone.0699
kunz1244,sun,atacameno.sun.0234
kunz1244,sun,atacameno.sun.0407
kunz1244,tongue,atacameno.tongue.0001
kunz1244,tongue,atacameno.tongue.0415
kunz1244,tooth,atacameno.tooth.0490
kunz1244,tooth,atacameno.tooth.0491
kunz1244,tree,atacameno.tree.0001
kunz1244,tree,atacameno.tree.0001
kunz1244,two,atacameno.two.0001
kunz1244,water,atacameno.water.0025
kunz1244,water,atacameno.water.0381
