Language_ID,Feature_ID,Value
hume1246,1pl,kwalean.1pl.0001
hume1246,1pl,kwalean.1pl.0001
uare1241,1pl,kwalean.1pl.0002
hume1246,1sg,kwalean.1sg.0003
hume1246,1sg,kwalean.1sg.0003
uare1241,1sg,kwalean.1sg.0004
uare1241,1sg,kwalean.1sg.0004
hume1246,2sg,kwalean.2sg.0005
hume1246,2sg,kwalean.2sg.0005
hume1246,2sg,kwalean.2sg.0006
hume1246,2sg,kwalean.2sg.0006
uare1241,2sg,kwalean.2sg.0005
uare1241,2sg,kwalean.2sg.0007
hume1246,blood,kwalean.blood.0008
hume1246,blood,kwalean.blood.0008
uare1241,blood,kwalean.blood.0008
uare1241,blood,kwalean.blood.0009
hume1246,bone,kwalean.bone.0010
hume1246,bone,kwalean.bone.0010
uare1241,bone,kwalean.bone.0010
uare1241,bone,kwalean.bone.0010
hume1246,breast,kwalean.breast.0011
hume1246,breast,kwalean.breast.0011
uare1241,breast,kwalean.breast.0011
uare1241,breast,kwalean.breast.0011
hume1246,come,kwalean.come.0012
hume1246,come,kwalean.come.0012
uare1241,come,kwalean.come.0012
uare1241,come,kwalean.come.0013
hume1246,die,?
uare1241,die,kwalean.die.0014
hume1246,dog,kwalean.dog.0015
hume1246,dog,kwalean.dog.0015
uare1241,dog,kwalean.dog.0015
uare1241,dog,kwalean.dog.0015
hume1246,drink,kwalean.drink.0016
hume1246,drink,kwalean.drink.0016
uare1241,drink,kwalean.drink.0017
uare1241,drink,kwalean.drink.0017
hume1246,ear,kwalean.ear.0018
hume1246,ear,kwalean.ear.0018
uare1241,ear,kwalean.ear.0019
uare1241,ear,kwalean.ear.0019
hume1246,eye,kwalean.eye.0020
hume1246,eye,kwalean.eye.0020
uare1241,eye,kwalean.eye.0020
uare1241,eye,kwalean.eye.0020
hume1246,fire,kwalean.fire.0021
hume1246,fire,kwalean.fire.0021
uare1241,fire,kwalean.fire.0022
uare1241,fire,kwalean.fire.0022
hume1246,fish,kwalean.fish.0023
hume1246,fish,kwalean.fish.0023
uare1241,fish,kwalean.fish.0024
uare1241,fish,kwalean.fish.0024
hume1246,full,kwalean.full.0025
hume1246,full,kwalean.full.0025
hume1246,full,kwalean.full.0025
uare1241,full,kwalean.full.0025
uare1241,full,kwalean.full.0025
hume1246,hand,?
uare1241,hand,kwalean.hand.0026
hume1246,hear,kwalean.hear.0027
hume1246,hear,kwalean.hear.0027
uare1241,hear,kwalean.hear.0028
uare1241,hear,kwalean.hear.0029
hume1246,knee,kwalean.knee.0030
hume1246,knee,kwalean.knee.0031
uare1241,knee,kwalean.knee.0032
uare1241,knee,kwalean.knee.0032
hume1246,leaf,kwalean.leaf.0033
hume1246,leaf,kwalean.leaf.0033
uare1241,leaf,kwalean.leaf.0034
uare1241,leaf,kwalean.leaf.0034
hume1246,liver,kwalean.liver.0035
hume1246,liver,kwalean.liver.0035
uare1241,liver,kwalean.liver.0035
uare1241,liver,kwalean.liver.0036
hume1246,louse,kwalean.louse.0037
hume1246,louse,kwalean.louse.0037
