Language_ID,Feature_ID,Value
kwaz1243,1sg,kwaza.1sg.0015
kwaz1243,2sg,kwaza.2sg.0374
kwaz1243,blood,kwaza.blood.0398
kwaz1243,bone,kwaza.bone.0003
kwaz1243,bone,kwaza.bone.0003
kwaz1243,breast,kwaza.breast.0120
kwaz1243,come,kwaza.come.0447
kwaz1243,die,kwaza.die.0573
kwaz1243,dog,kwaza.dog.0015
kwaz1243,drink,kwaza.drink.0613
kwaz1243,ear,kwaza.ear.0020
kwaz1243,eye,kwaza.eye.0479
kwaz1243,fire,kwaza.fire.0053
kwaz1243,fish,kwaza.fish.0469
kwaz1243,full,kwaza.full.0613
kwaz1243,hand,kwaza.hand.0385
kwaz1243,hear,kwaza.hear.0646
kwaz1243,horn,kwaza.horn.0382
kwaz1243,knee,kwaza.knee.0425
kwaz1243,leaf,kwaza.leaf.0078
kwaz1243,liver,kwaza.liver.0053
kwaz1243,louse,kwaza.louse.0472
kwaz1243,mountain,kwaza.mountain.0526
kwaz1243,name,kwaza.name.0014
kwaz1243,new,kwaza.new.0011
kwaz1243,night,kwaza.night.0006
kwaz1243,nose,kwaza.nose.0108
kwaz1243,one,kwaza.one.0123
kwaz1243,path,kwaza.path.0027
kwaz1243,path,kwaza.path.0512
kwaz1243,see,kwaza.see.0182
kwaz1243,skin,kwaza.skin.0549
kwaz1243,star,kwaza.star.0051
kwaz1243,stone,kwaza.stone.0018
kwaz1243,stone,kwaza.stone.0711
kwaz1243,sun,kwaza.sun.0049
kwaz1243,tongue,kwaza.tongue.0425
kwaz1243,tooth,kwaza.tooth.0497
kwaz1243,tooth,kwaza.tooth.0498
kwaz1243,tree,kwaza.tree.0447
kwaz1243,two,kwaza.two.0388
kwaz1243,water,kwaza.water.0015
