Language_ID,Feature_ID,Value
naii1241,1pl,kwomtarinai.1pl.0651
naii1241,1sg,kwomtarinai.1sg.0215
naii1241,2sg,kwomtarinai.2sg.0013
naii1241,blood,kwomtarinai.blood.0449
naii1241,bone,kwomtarinai.bone.0207
naii1241,breast,kwomtarinai.breast.0012
naii1241,dog,kwomtarinai.dog.0021
naii1241,ear,kwomtarinai.ear.0147
naii1241,eye,kwomtarinai.eye.0311
naii1241,fire,kwomtarinai.fire.0276
naii1241,fish,kwomtarinai.fish.0538
naii1241,hand,kwomtarinai.hand.0059
naii1241,knee,kwomtarinai.knee.0048
naii1241,leaf,kwomtarinai.leaf.0447
naii1241,liver,kwomtarinai.liver.0665
naii1241,louse,kwomtarinai.louse.0127
naii1241,mountain,kwomtarinai.mountain.0013
naii1241,night,kwomtarinai.night.0002
naii1241,nose,kwomtarinai.nose.0612
naii1241,one,kwomtarinai.one.0004
naii1241,path,kwomtarinai.path.0598
naii1241,person,kwomtarinai.person.0771
naii1241,skin,kwomtarinai.skin.0083
naii1241,star,kwomtarinai.star.0614
naii1241,stone,kwomtarinai.stone.0838
naii1241,sun,kwomtarinai.sun.0131
naii1241,tongue,kwomtarinai.tongue.0017
naii1241,tooth,kwomtarinai.tooth.0568
naii1241,tree,kwomtarinai.tree.0035
naii1241,two,kwomtarinai.two.0466
naii1241,water,kwomtarinai.water.0009
