Language_ID,Feature_ID,Value
amap1240,1pl,?
nakw1240,1pl,leftmay.1pl.0001
owin1240,1pl,leftmay.1pl.0002
amap1240,1sg,leftmay.1sg.0003
nakw1240,1sg,leftmay.1sg.0003
nakw1240,1sg,leftmay.1sg.0003
owin1240,1sg,leftmay.1sg.0004
amap1240,2sg,?
nakw1240,2sg,leftmay.2sg.0005
nakw1240,2sg,leftmay.2sg.0005
owin1240,2sg,leftmay.2sg.0005
amap1240,blood,leftmay.blood.0006
nakw1240,blood,leftmay.blood.0007
nakw1240,blood,leftmay.blood.0007
owin1240,blood,leftmay.blood.0008
amap1240,bone,leftmay.bone.0009
nakw1240,bone,leftmay.bone.0009
nakw1240,bone,leftmay.bone.0009
owin1240,bone,leftmay.bone.0010
amap1240,breast,leftmay.breast.0011
nakw1240,breast,leftmay.breast.0012
nakw1240,breast,leftmay.breast.0012
owin1240,breast,leftmay.breast.0011
amap1240,come,leftmay.come.0013
nakw1240,come,leftmay.come.0014
nakw1240,come,leftmay.come.0014
nakw1240,come,leftmay.come.0016
nakw1240,come,leftmay.come.0016
owin1240,come,leftmay.come.0015
amap1240,die,leftmay.die.0017
nakw1240,die,?
owin1240,die,?
amap1240,dog,leftmay.dog.0018
nakw1240,dog,leftmay.dog.0019
nakw1240,dog,leftmay.dog.0019
owin1240,dog,leftmay.dog.0020
amap1240,drink,leftmay.drink.0021
nakw1240,drink,?
owin1240,drink,leftmay.drink.0022
amap1240,ear,leftmay.ear.0023
nakw1240,ear,leftmay.ear.0024
nakw1240,ear,leftmay.ear.0024
nakw1240,ear,leftmay.ear.0024
nakw1240,ear,leftmay.ear.0024
owin1240,ear,leftmay.ear.0025
amap1240,eye,leftmay.eye.0026
nakw1240,eye,leftmay.eye.0026
nakw1240,eye,leftmay.eye.0026
nakw1240,eye,leftmay.eye.0027
owin1240,eye,leftmay.eye.0028
amap1240,fire,leftmay.fire.0029
nakw1240,fire,leftmay.fire.0029
nakw1240,fire,leftmay.fire.0029
owin1240,fire,leftmay.fire.0029
amap1240,fish,leftmay.fish.0030
nakw1240,fish,leftmay.fish.0031
nakw1240,fish,leftmay.fish.0031
owin1240,fish,leftmay.fish.0032
amap1240,full,leftmay.full.0033
nakw1240,full,?
