Language_ID,Feature_ID,Value
kibe1241,1pl,maban.1pl.0001
maba1277,1pl,maban.1pl.0002
nucl1440,1pl,maban.1pl.0001
rung1258,1pl,maban.1pl.0003
kibe1241,1sg,maban.1sg.0004
maba1277,1sg,maban.1sg.0005
nucl1440,1sg,maban.1sg.0004
nucl1440,1sg,maban.1sg.0006
rung1258,1sg,maban.1sg.0004
kibe1241,2sg,maban.2sg.0007
maba1277,2sg,?
nucl1440,2sg,?
rung1258,2sg,?
kibe1241,blood,maban.blood.0008
maba1277,blood,maban.blood.0008
maba1277,blood,maban.blood.0008
nucl1440,blood,maban.blood.0008
nucl1440,blood,maban.blood.0008
rung1258,blood,maban.blood.0008
rung1258,blood,maban.blood.0008
kibe1241,bone,maban.bone.0009
kibe1241,bone,maban.bone.0009
maba1277,bone,maban.bone.0010
nucl1440,bone,maban.bone.0010
rung1258,bone,maban.bone.0009
rung1258,bone,maban.bone.0011
kibe1241,breast,maban.breast.0012
kibe1241,breast,maban.breast.0012
maba1277,breast,maban.breast.0012
nucl1440,breast,maban.breast.0012
rung1258,breast,maban.breast.0012
rung1258,breast,maban.breast.0012
kibe1241,come,maban.come.0013
kibe1241,come,maban.come.0013
maba1277,come,maban.come.0013
nucl1440,come,maban.come.0013
rung1258,come,maban.come.0013
kibe1241,die,maban.die.0014
maba1277,die,maban.die.0015
nucl1440,die,maban.die.0016
nucl1440,die,maban.die.0016
rung1258,die,maban.die.0017
kibe1241,dog,maban.dog.0018
kibe1241,dog,maban.dog.0020
maba1277,dog,maban.dog.0019
nucl1440,dog,maban.dog.0020
nucl1440,dog,maban.dog.0020
rung1258,dog,maban.dog.0018
kibe1241,drink,maban.drink.0021
kibe1241,drink,maban.drink.0023
maba1277,drink,maban.drink.0021
maba1277,drink,maban.drink.0021
nucl1440,drink,maban.drink.0022
nucl1440,drink,maban.drink.0022
rung1258,drink,maban.drink.0021
kibe1241,ear,maban.ear.0024
kibe1241,ear,maban.ear.0024
maba1277,ear,maban.ear.0024
maba1277,ear,maban.ear.0024
nucl1440,ear,maban.ear.0024
nucl1440,ear,maban.ear.0024
rung1258,ear,maban.ear.0025
kibe1241,eye,maban.eye.0026
kibe1241,eye,maban.eye.0026
maba1277,eye,maban.eye.0026
nucl1440,eye,maban.eye.0026
rung1258,eye,maban.eye.0026
rung1258,eye,maban.eye.0026
kibe1241,fire,?
maba1277,fire,maban.fire.0027
nucl1440,fire,maban.fire.0027
nucl1440,fire,maban.fire.0027
rung1258,fire,maban.fire.0027
rung1258,fire,maban.fire.0027
kibe1241,fish,maban.fish.0028
kibe1241,fish,maban.fish.0028
maba1277,fish,maban.fish.0028
nucl1440,fish,maban.fish.0028
nucl1440,fish,maban.fish.0028
rung1258,fish,maban.fish.0028
rung1258,fish,maban.fish.0028
kibe1241,full,maban.full.0029
maba1277,full,maban.full.0030
maba1277,full,maban.full.0030
nucl1440,full,maban.full.0030
rung1258,full,maban.full.0029
rung1258,full,maban.full.0031
kibe1241,hand,maban.hand.0032
kibe1241,hand,maban.hand.0032
maba1277,hand,maban.hand.0032
maba1277,hand,maban.hand.0032
nucl1440,hand,maban.hand.0032
nucl1440,hand,maban.hand.0032
rung1258,hand,maban.hand.0033
kibe1241,hear,maban.hear.0034
kibe1241,hear,maban.hear.0035
maba1277,hear,?
nucl1440,hear,maban.hear.0035
nucl1440,hear,maban.hear.0035
rung1258,hear,maban.hear.0035
rung1258,hear,maban.hear.0035
kibe1241,horn,maban.horn.0036
kibe1241,horn,maban.horn.0036
maba1277,horn,maban.horn.0036
maba1277,horn,maban.horn.0036
nucl1440,horn,maban.horn.0036
nucl1440,horn,maban.horn.0036
rung1258,horn,maban.horn.0036
rung1258,horn,maban.horn.0036
kibe1241,knee,maban.knee.0037
kibe1241,knee,maban.knee.0037
maba1277,knee,maban.knee.0037
maba1277,knee,maban.knee.0037
nucl1440,knee,maban.knee.0038
nucl1440,knee,maban.knee.0038
rung1258,knee,maban.knee.0037
rung1258,knee,maban.knee.0037
kibe1241,leaf,maban.leaf.0039
maba1277,leaf,maban.leaf.0040
maba1277,leaf,maban.leaf.0042
nucl1440,leaf,maban.leaf.0040
nucl1440,leaf,maban.leaf.0040
rung1258,leaf,maban.leaf.0041
kibe1241,liver,maban.liver.0043
maba1277,liver,maban.liver.0044
nucl1440,liver,maban.liver.0045
nucl1440,liver,maban.liver.0045
rung1258,liver,maban.liver.0043
rung1258,liver,maban.liver.0043
kibe1241,louse,maban.louse.0046
kibe1241,louse,maban.louse.0046
maba1277,louse,maban.louse.0047
maba1277,louse,maban.louse.0047
nucl1440,louse,maban.louse.0048
nucl1440,louse,maban.louse.0048
rung1258,louse,maban.louse.0046
rung1258,louse,maban.louse.0046
kibe1241,mountain,maban.mountain.0049
kibe1241,mountain,maban.mountain.0049
maba1277,mountain,maban.mountain.0050
nucl1440,mountain,maban.mountain.0051
rung1258,mountain,maban.mountain.0052
rung1258,mountain,maban.mountain.0053
kibe1241,name,maban.name.0054
kibe1241,name,maban.name.0054
maba1277,name,maban.name.0054
nucl1440,name,maban.name.0054
rung1258,name,maban.name.0054
rung1258,name,maban.name.0054
kibe1241,new,maban.new.0055
maba1277,new,maban.new.0056
maba1277,new,maban.new.0057
nucl1440,new,maban.new.0056
nucl1440,new,maban.new.0056
rung1258,new,maban.new.0056
rung1258,new,maban.new.0056
kibe1241,night,maban.night.0058
maba1277,night,maban.night.0059
nucl1440,night,maban.night.0060
nucl1440,night,maban.night.0060
rung1258,night,maban.night.0058
kibe1241,nose,maban.nose.0061
maba1277,nose,maban.nose.0062
nucl1440,nose,maban.nose.0063
nucl1440,nose,maban.nose.0063
rung1258,nose,maban.nose.0061
kibe1241,one,maban.one.0064
maba1277,one,maban.one.0065
maba1277,one,maban.one.0068
nucl1440,one,maban.one.0066
nucl1440,one,maban.one.0066
rung1258,one,maban.one.0067
kibe1241,path,maban.path.0069
kibe1241,path,maban.path.0069
maba1277,path,maban.path.0070
nucl1440,path,maban.path.0071
rung1258,path,?
kibe1241,person,maban.person.0072
kibe1241,person,maban.person.0072
maba1277,person,maban.person.0072
nucl1440,person,maban.person.0073
nucl1440,person,maban.person.0074
rung1258,person,maban.person.0072
kibe1241,see,maban.see.0075
kibe1241,see,maban.see.0078
maba1277,see,maban.see.0076
nucl1440,see,maban.see.0077
nucl1440,see,maban.see.0079
rung1258,see,maban.see.0078
kibe1241,skin,maban.skin.0080
kibe1241,skin,maban.skin.0080
maba1277,skin,maban.skin.0081
nucl1440,skin,maban.skin.0082
nucl1440,skin,maban.skin.0082
rung1258,skin,maban.skin.0080
rung1258,skin,maban.skin.0080
kibe1241,star,maban.star.0083
kibe1241,star,maban.star.0083
maba1277,star,maban.star.0084
maba1277,star,maban.star.0087
nucl1440,star,maban.star.0085
rung1258,star,maban.star.0086
kibe1241,stone,maban.stone.0088
kibe1241,stone,maban.stone.0088
maba1277,stone,maban.stone.0089
maba1277,stone,maban.stone.0089
nucl1440,stone,maban.stone.0090
nucl1440,stone,maban.stone.0090
rung1258,stone,maban.stone.0088
rung1258,stone,maban.stone.0088
kibe1241,sun,maban.sun.0091
maba1277,sun,maban.sun.0091
nucl1440,sun,maban.sun.0092
nucl1440,sun,maban.sun.0092
rung1258,sun,maban.sun.0091
kibe1241,tongue,maban.tongue.0093
kibe1241,tongue,maban.tongue.0096
maba1277,tongue,maban.tongue.0094
nucl1440,tongue,maban.tongue.0095
nucl1440,tongue,maban.tongue.0095
rung1258,tongue,maban.tongue.0093
rung1258,tongue,maban.tongue.0096
kibe1241,tooth,maban.tooth.0097
kibe1241,tooth,maban.tooth.0097
maba1277,tooth,maban.tooth.0097
maba1277,tooth,maban.tooth.0097
nucl1440,tooth,maban.tooth.0098
nucl1440,tooth,maban.tooth.0098
rung1258,tooth,maban.tooth.0097
rung1258,tooth,maban.tooth.0097
kibe1241,tree,maban.tree.0099
kibe1241,tree,maban.tree.0101
maba1277,tree,maban.tree.0100
nucl1440,tree,maban.tree.0099
nucl1440,tree,maban.tree.0102
rung1258,tree,maban.tree.0101
kibe1241,two,maban.two.0103
maba1277,two,maban.two.0103
maba1277,two,maban.two.0103
nucl1440,two,maban.two.0103
rung1258,two,maban.two.0103
kibe1241,water,maban.water.0104
maba1277,water,maban.water.0105
maba1277,water,maban.water.0105
nucl1440,water,maban.water.0106
rung1258,water,maban.water.0104
