Language_ID,Feature_ID,Value
merr1239,1pl,mairasic.1pl.0002
nucl1594,1pl,mairasic.1pl.0001
semi1264,1pl,mairasic.1pl.0002
merr1239,1sg,mairasic.1sg.0003
nucl1594,1sg,mairasic.1sg.0003
semi1264,1sg,mairasic.1sg.0003
merr1239,2sg,mairasic.2sg.0005
nucl1594,2sg,mairasic.2sg.0004
semi1264,2sg,mairasic.2sg.0004
merr1239,blood,mairasic.blood.0006
nucl1594,blood,mairasic.blood.0006
semi1264,blood,mairasic.blood.0007
merr1239,bone,mairasic.bone.0009
nucl1594,bone,mairasic.bone.0008
semi1264,bone,mairasic.bone.0008
merr1239,breast,mairasic.breast.0010
nucl1594,breast,mairasic.breast.0010
semi1264,breast,mairasic.breast.0010
merr1239,come,mairasic.come.0012
nucl1594,come,mairasic.come.0011
semi1264,come,mairasic.come.0013
merr1239,die,mairasic.die.0015
nucl1594,die,mairasic.die.0014
semi1264,die,mairasic.die.0016
merr1239,dog,mairasic.dog.0017
nucl1594,dog,mairasic.dog.0017
semi1264,dog,mairasic.dog.0017
merr1239,drink,mairasic.drink.0018
nucl1594,drink,mairasic.drink.0018
semi1264,drink,mairasic.drink.0018
merr1239,ear,mairasic.ear.0019
nucl1594,ear,mairasic.ear.0019
semi1264,ear,mairasic.ear.0019
merr1239,eye,mairasic.eye.0020
nucl1594,eye,mairasic.eye.0020
semi1264,eye,mairasic.eye.0020
merr1239,fire,mairasic.fire.0021
nucl1594,fire,mairasic.fire.0021
semi1264,fire,mairasic.fire.0021
merr1239,fish,mairasic.fish.0023
nucl1594,fish,mairasic.fish.0022
semi1264,fish,mairasic.fish.0022
merr1239,full,mairasic.full.0025
nucl1594,full,mairasic.full.0024
semi1264,full,mairasic.full.0026
merr1239,hand,mairasic.hand.0028
nucl1594,hand,mairasic.hand.0027
semi1264,hand,mairasic.hand.0028
merr1239,hear,mairasic.hear.0029
nucl1594,hear,mairasic.hear.0029
semi1264,hear,mairasic.hear.0029
merr1239,leaf,mairasic.leaf.0030
nucl1594,leaf,mairasic.leaf.0030
semi1264,leaf,mairasic.leaf.0030
merr1239,liver,mairasic.liver.0032
nucl1594,liver,mairasic.liver.0031
semi1264,liver,mairasic.liver.0031
merr1239,louse,mairasic.louse.0033
nucl1594,louse,mairasic.louse.0033
semi1264,louse,mairasic.louse.0033
merr1239,mountain,mairasic.mountain.0035
nucl1594,mountain,mairasic.mountain.0034
semi1264,mountain,mairasic.mountain.0036
merr1239,name,mairasic.name.0038
nucl1594,name,mairasic.name.0037
semi1264,name,mairasic.name.0037
merr1239,new,mairasic.new.0040
nucl1594,new,mairasic.new.0039
semi1264,new,mairasic.new.0041
merr1239,night,mairasic.night.0043
nucl1594,night,mairasic.night.0042
semi1264,night,mairasic.night.0044
merr1239,nose,mairasic.nose.0046
nucl1594,nose,mairasic.nose.0045
semi1264,nose,mairasic.nose.0045
merr1239,one,mairasic.one.0048
nucl1594,one,mairasic.one.0047
semi1264,one,mairasic.one.0049
merr1239,path,mairasic.path.0050
nucl1594,path,mairasic.path.0050
semi1264,path,mairasic.path.0050
merr1239,person,mairasic.person.0052
nucl1594,person,mairasic.person.0051
semi1264,person,mairasic.person.0052
merr1239,see,mairasic.see.0054
nucl1594,see,mairasic.see.0053
semi1264,see,mairasic.see.0055
merr1239,skin,mairasic.skin.0057
nucl1594,skin,mairasic.skin.0056
semi1264,skin,mairasic.skin.0058
merr1239,star,mairasic.star.0059
nucl1594,star,mairasic.star.0059
semi1264,star,mairasic.star.0059
merr1239,stone,mairasic.stone.0061
nucl1594,stone,mairasic.stone.0060
semi1264,stone,mairasic.stone.0060
merr1239,sun,mairasic.sun.0063
nucl1594,sun,mairasic.sun.0062
semi1264,sun,mairasic.sun.0062
merr1239,tongue,mairasic.tongue.0064
nucl1594,tongue,mairasic.tongue.0064
semi1264,tongue,mairasic.tongue.0064
merr1239,tooth,mairasic.tooth.0065
nucl1594,tooth,mairasic.tooth.0065
semi1264,tooth,mairasic.tooth.0065
merr1239,tree,mairasic.tree.0067
nucl1594,tree,mairasic.tree.0066
semi1264,tree,mairasic.tree.0067
merr1239,two,mairasic.two.0068
nucl1594,two,mairasic.two.0068
semi1264,two,mairasic.two.0068
merr1239,water,mairasic.water.0070
nucl1594,water,mairasic.water.0069
semi1264,water,mairasic.water.0069
