Language_ID,Feature_ID,Value
moro1289,1pl,moraori.1pl.0076
moro1289,1sg,moraori.1sg.0068
moro1289,2sg,moraori.2sg.0061
moro1289,blood,moraori.blood.0002
moro1289,bone,moraori.bone.0001
moro1289,breast,moraori.breast.0113
moro1289,dog,moraori.dog.0015
moro1289,ear,moraori.ear.0110
moro1289,eye,moraori.eye.0139
moro1289,fire,moraori.fire.0127
moro1289,fish,moraori.fish.0001
moro1289,full,moraori.full.0001
moro1289,hand,moraori.hand.0436
moro1289,leaf,moraori.leaf.0026
moro1289,louse,moraori.louse.0089
moro1289,name,moraori.name.0002
moro1289,new,moraori.new.0042
moro1289,night,moraori.night.0005
moro1289,nose,moraori.nose.0022
moro1289,one,moraori.one.0361
moro1289,path,moraori.path.0197
moro1289,person,moraori.person.0969
moro1289,skin,moraori.skin.0038
moro1289,star,moraori.star.0036
moro1289,stone,moraori.stone.0002
moro1289,sun,moraori.sun.0011
moro1289,tongue,moraori.tongue.0007
moro1289,tooth,moraori.tooth.0155
moro1289,tree,moraori.tree.0029
moro1289,two,moraori.two.0001
moro1289,water,moraori.water.0224
