Language_ID,Feature_ID,Value
chim1300,1pl,mixezoque.1pl.0008
chim1300,1pl,mixezoque.1pl.0009
coat1238,1pl,mixezoque.1pl.0007
copa1236,1pl,mixezoque.1pl.0004
fran1266,1pl,mixezoque.1pl.0004
high1276,1pl,?
isth1238,1pl,mixezoque.1pl.0006
juqu1238,1pl,?
nort2939,1pl,mixezoque.1pl.0001
nort2939,1pl,mixezoque.1pl.0001
nort2939,1pl,mixezoque.1pl.0001
nort2939,1pl,mixezoque.1pl.0001
nort2939,1pl,mixezoque.1pl.0005
olut1240,1pl,mixezoque.1pl.0005
rayo1235,1pl,mixezoque.1pl.0004
sayu1241,1pl,mixezoque.1pl.0005
taba1264,1pl,mixezoque.1pl.0002
tapa1260,1pl,mixezoque.1pl.0011
tapa1260,1pl,mixezoque.1pl.0012
texi1237,1pl,mixezoque.1pl.0005
tlah1239,1pl,mixezoque.1pl.0003
tlah1239,1pl,mixezoque.1pl.0010
toto1305,1pl,mixezoque.1pl.0010
chim1300,1sg,mixezoque.1sg.0013
chim1300,1sg,mixezoque.1sg.0013
coat1238,1sg,mixezoque.1sg.0013
copa1236,1sg,mixezoque.1sg.0013
fran1266,1sg,mixezoque.1sg.0013
fran1266,1sg,mixezoque.1sg.0013
high1276,1sg,mixezoque.1sg.0013
isth1238,1sg,mixezoque.1sg.0013
juqu1238,1sg,mixezoque.1sg.0013
juqu1238,1sg,mixezoque.1sg.0013
nort2939,1sg,mixezoque.1sg.0013
nort2939,1sg,mixezoque.1sg.0013
nort2939,1sg,mixezoque.1sg.0013
nort2939,1sg,mixezoque.1sg.0013
nort2939,1sg,mixezoque.1sg.0013
olut1240,1sg,mixezoque.1sg.0013
rayo1235,1sg,mixezoque.1sg.0013
rayo1235,1sg,mixezoque.1sg.0013
sayu1241,1sg,mixezoque.1sg.0013
taba1264,1sg,mixezoque.1sg.0013
tapa1260,1sg,mixezoque.1sg.0013
tapa1260,1sg,mixezoque.1sg.0015
texi1237,1sg,mixezoque.1sg.0013
tlah1239,1sg,mixezoque.1sg.0013
tlah1239,1sg,mixezoque.1sg.0014
toto1305,1sg,mixezoque.1sg.0013
chim1300,2sg,mixezoque.2sg.0016
chim1300,2sg,mixezoque.2sg.0016
coat1238,2sg,mixezoque.2sg.0016
copa1236,2sg,mixezoque.2sg.0016
fran1266,2sg,mixezoque.2sg.0016
fran1266,2sg,mixezoque.2sg.0016
high1276,2sg,mixezoque.2sg.0016
isth1238,2sg,mixezoque.2sg.0016
juqu1238,2sg,mixezoque.2sg.0016
nort2939,2sg,mixezoque.2sg.0016
