Language_ID,Feature_ID,Value
molo1262,1pl,molof.1pl.0629
molo1262,1sg,molof.1sg.0356
molo1262,blood,molof.blood.0440
molo1262,bone,molof.bone.0245
molo1262,breast,molof.breast.0206
molo1262,come,molof.come.0515
molo1262,ear,molof.ear.0221
molo1262,eye,molof.eye.0541
molo1262,fire,molof.fire.0036
molo1262,fish,molof.fish.0527
molo1262,hand,molof.hand.0289
molo1262,hear,molof.hear.0753
molo1262,knee,molof.knee.0474
molo1262,leaf,molof.leaf.0034
molo1262,louse,molof.louse.0537
molo1262,mountain,molof.mountain.0253
molo1262,name,molof.name.0097
molo1262,new,molof.new.0532
molo1262,night,molof.night.0499
molo1262,nose,molof.nose.0591
molo1262,one,molof.one.0023
molo1262,path,molof.path.0580
molo1262,person,molof.person.0742
molo1262,see,molof.see.0113
molo1262,skin,molof.skin.0627
molo1262,star,molof.star.0321
molo1262,stone,molof.stone.0814
molo1262,sun,molof.sun.0456
molo1262,tongue,molof.tongue.0481
molo1262,tooth,molof.tooth.0554
molo1262,tree,molof.tree.0390
molo1262,two,molof.two.0448
molo1262,water,molof.water.0432
