Language_ID,Feature_ID,Value
daur1238,1pl,mongolic.1pl.0001
daur1238,1pl,mongolic.1pl.0001
daur1238,1pl,mongolic.1pl.0001
daur1238,1pl,mongolic.1pl.0002
dong1285,1pl,mongolic.1pl.0002
halh1238,1pl,mongolic.1pl.0001
halh1238,1pl,mongolic.1pl.0001
kalm1243,1pl,mongolic.1pl.0002
mogh1245,1pl,mongolic.1pl.0001
mong1330,1pl,mongolic.1pl.0001
peri1253,1pl,mongolic.1pl.0001
peri1253,1pl,mongolic.1pl.0002
russ1264,1pl,mongolic.1pl.0001
daur1238,1sg,mongolic.1sg.0004
daur1238,1sg,mongolic.1sg.0004
dong1285,1sg,mongolic.1sg.0004
halh1238,1sg,mongolic.1sg.0004
halh1238,1sg,mongolic.1sg.0004
kalm1243,1sg,mongolic.1sg.0004
mogh1245,1sg,mongolic.1sg.0004
mong1330,1sg,mongolic.1sg.0004
peri1253,1sg,mongolic.1sg.0004
russ1264,1sg,mongolic.1sg.0004
daur1238,2sg,mongolic.2sg.0005
daur1238,2sg,mongolic.2sg.0005
daur1238,2sg,mongolic.2sg.0006
dong1285,2sg,mongolic.2sg.0005
halh1238,2sg,mongolic.2sg.0005
halh1238,2sg,mongolic.2sg.0005
kalm1243,2sg,mongolic.2sg.0005
mogh1245,2sg,mongolic.2sg.0005
mong1330,2sg,mongolic.2sg.0005
peri1253,2sg,mongolic.2sg.0005
russ1264,2sg,mongolic.2sg.0005
daur1238,blood,mongolic.blood.0007
dong1285,blood,mongolic.blood.0007
halh1238,blood,mongolic.blood.0007
halh1238,blood,mongolic.blood.0007
kalm1243,blood,mongolic.blood.0007
mogh1245,blood,mongolic.blood.0007
mogh1245,blood,mongolic.blood.0007
mong1330,blood,mongolic.blood.0007
peri1253,blood,mongolic.blood.0007
russ1264,blood,mongolic.blood.0007
daur1238,bone,mongolic.bone.0008
dong1285,bone,mongolic.bone.0008
halh1238,bone,mongolic.bone.0008
halh1238,bone,mongolic.bone.0008
halh1238,bone,mongolic.bone.0009
kalm1243,bone,mongolic.bone.0008
mogh1245,bone,mongolic.bone.0008
mong1330,bone,mongolic.bone.0008
peri1253,bone,mongolic.bone.0008
russ1264,bone,mongolic.bone.0008
daur1238,breast,mongolic.breast.0011
dong1285,breast,mongolic.breast.0013
halh1238,breast,mongolic.breast.0011
halh1238,breast,mongolic.breast.0011
halh1238,breast,mongolic.breast.0012
kalm1243,breast,mongolic.breast.0011
mogh1245,breast,mongolic.breast.0011
mogh1245,breast,mongolic.breast.0011
mong1330,breast,mongolic.breast.0010
peri1253,breast,?
russ1264,breast,mongolic.breast.0010
russ1264,breast,mongolic.breast.0014
daur1238,come,mongolic.come.0015
daur1238,come,mongolic.come.0015
dong1285,come,mongolic.come.0015
halh1238,come,mongolic.come.0015
halh1238,come,mongolic.come.0015
halh1238,come,mongolic.come.0015
kalm1243,come,mongolic.come.0015
mogh1245,come,mongolic.come.0015
mong1330,come,mongolic.come.0015
peri1253,come,mongolic.come.0015
russ1264,come,mongolic.come.0015
daur1238,die,mongolic.die.0016
daur1238,die,mongolic.die.0017
dong1285,die,mongolic.die.0020
halh1238,die,mongolic.die.0016
halh1238,die,mongolic.die.0021
kalm1243,die,mongolic.die.0016
kalm1243,die,mongolic.die.0019
mogh1245,die,mongolic.die.0020
mong1330,die,?
peri1253,die,mongolic.die.0018
russ1264,die,mongolic.die.0016
daur1238,dog,mongolic.dog.0022
daur1238,dog,mongolic.dog.0022
dong1285,dog,mongolic.dog.0022
halh1238,dog,mongolic.dog.0022
halh1238,dog,mongolic.dog.0022
halh1238,dog,mongolic.dog.0023
kalm1243,dog,mongolic.dog.0022
mogh1245,dog,mongolic.dog.0022
mong1330,dog,mongolic.dog.0022
peri1253,dog,mongolic.dog.0022
russ1264,dog,mongolic.dog.0022
daur1238,drink,mongolic.drink.0024
daur1238,drink,mongolic.drink.0025
dong1285,drink,mongolic.drink.0029
halh1238,drink,mongolic.drink.0024
halh1238,drink,mongolic.drink.0028
kalm1243,drink,mongolic.drink.0024
mogh1245,drink,mongolic.drink.0027
mogh1245,drink,mongolic.drink.0030
mong1330,drink,mongolic.drink.0024
peri1253,drink,mongolic.drink.0026
russ1264,drink,mongolic.drink.0024
daur1238,ear,mongolic.ear.0031
dong1285,ear,mongolic.ear.0031
halh1238,ear,mongolic.ear.0031
halh1238,ear,mongolic.ear.0031
kalm1243,ear,mongolic.ear.0031
mogh1245,ear,mongolic.ear.0031
mong1330,ear,mongolic.ear.0031
peri1253,ear,mongolic.ear.0031
russ1264,ear,mongolic.ear.0031
daur1238,eye,mongolic.eye.0032
daur1238,eye,mongolic.eye.0032
dong1285,eye,mongolic.eye.0032
halh1238,eye,mongolic.eye.0032
halh1238,eye,mongolic.eye.0032
kalm1243,eye,mongolic.eye.0032
mogh1245,eye,mongolic.eye.0032
mogh1245,eye,mongolic.eye.0033
mong1330,eye,mongolic.eye.0032
peri1253,eye,mongolic.eye.0032
russ1264,eye,mongolic.eye.0032
daur1238,fire,mongolic.fire.0034
daur1238,fire,mongolic.fire.0035
daur1238,fire,mongolic.fire.0038
dong1285,fire,mongolic.fire.0037
halh1238,fire,mongolic.fire.0034
halh1238,fire,mongolic.fire.0034
