Language_ID,Feature_ID,Value
maku1246,1pl,maku.1pl.0012
maku1246,1sg,maku.1sg.0007
maku1246,2sg,maku.2sg.0071
maku1246,blood,maku.blood.0069
maku1246,bone,maku.bone.0001
maku1246,breast,maku.breast.0008
maku1246,die,maku.die.0085
maku1246,drink,maku.drink.0647
maku1246,ear,maku.ear.0307
maku1246,eye,maku.eye.0499
maku1246,fire,maku.fire.0524
maku1246,hand,maku.hand.0080
maku1246,hear,maku.hear.0693
maku1246,leaf,maku.leaf.0420
maku1246,liver,maku.liver.0588
maku1246,name,maku.name.0070
maku1246,new,maku.new.0195
maku1246,night,maku.night.0002
maku1246,nose,maku.nose.0097
maku1246,one,maku.one.0412
maku1246,path,maku.path.0003
maku1246,person,maku.person.0685
maku1246,see,maku.see.0043
maku1246,skin,maku.skin.0580
maku1246,star,maku.star.0564
maku1246,stone,maku.stone.0752
maku1246,tongue,maku.tongue.0449
maku1246,tooth,maku.tooth.0519
maku1246,two,maku.two.0065
maku1246,water,maku.water.0062
