Language_ID,Feature_ID,Value
dagi1241,1pl,narrowtalodi.1pl.0001
dagi1241,1pl,narrowtalodi.1pl.0004
ndin1245,1pl,narrowtalodi.1pl.0003
ngil1242,1pl,narrowtalodi.1pl.0001
talo1250,1pl,narrowtalodi.1pl.0002
toch1257,1pl,?
dagi1241,1sg,narrowtalodi.1sg.0005
ndin1245,1sg,narrowtalodi.1sg.0005
ngil1242,1sg,narrowtalodi.1sg.0005
talo1250,1sg,narrowtalodi.1sg.0006
toch1257,1sg,narrowtalodi.1sg.0007
dagi1241,2sg,narrowtalodi.2sg.0008
ndin1245,2sg,narrowtalodi.2sg.0008
ngil1242,2sg,narrowtalodi.2sg.0008
talo1250,2sg,narrowtalodi.2sg.0008
toch1257,2sg,narrowtalodi.2sg.0008
dagi1241,blood,narrowtalodi.blood.0009
ndin1245,blood,narrowtalodi.blood.0009
ngil1242,blood,narrowtalodi.blood.0009
talo1250,blood,narrowtalodi.blood.0009
toch1257,blood,narrowtalodi.blood.0009
dagi1241,bone,narrowtalodi.bone.0010
ndin1245,bone,narrowtalodi.bone.0012
ngil1242,bone,narrowtalodi.bone.0013
talo1250,bone,narrowtalodi.bone.0011
toch1257,bone,narrowtalodi.bone.0014
dagi1241,breast,narrowtalodi.breast.0015
ndin1245,breast,narrowtalodi.breast.0015
ngil1242,breast,narrowtalodi.breast.0016
talo1250,breast,narrowtalodi.breast.0015
toch1257,breast,narrowtalodi.breast.0015
dagi1241,come,narrowtalodi.come.0017
ndin1245,come,narrowtalodi.come.0018
ngil1242,come,narrowtalodi.come.0018
talo1250,come,narrowtalodi.come.0018
toch1257,come,narrowtalodi.come.0019
dagi1241,die,narrowtalodi.die.0020
ndin1245,die,narrowtalodi.die.0020
ngil1242,die,narrowtalodi.die.0021
talo1250,die,narrowtalodi.die.0020
toch1257,die,narrowtalodi.die.0020
dagi1241,dog,narrowtalodi.dog.0022
ndin1245,dog,narrowtalodi.dog.0024
ngil1242,dog,narrowtalodi.dog.0025
talo1250,dog,narrowtalodi.dog.0023
toch1257,dog,narrowtalodi.dog.0026
dagi1241,drink,narrowtalodi.drink.0027
ndin1245,drink,narrowtalodi.drink.0027
ndin1245,drink,narrowtalodi.drink.0027
ngil1242,drink,narrowtalodi.drink.0027
talo1250,drink,narrowtalodi.drink.0027
toch1257,drink,?
dagi1241,ear,narrowtalodi.ear.0028
ndin1245,ear,narrowtalodi.ear.0028
ngil1242,ear,narrowtalodi.ear.0028
talo1250,ear,narrowtalodi.ear.0028
toch1257,ear,narrowtalodi.ear.0028
dagi1241,eye,narrowtalodi.eye.0029
ndin1245,eye,narrowtalodi.eye.0029
