Language_ID,Feature_ID,Value
ambu1247,1pl,ndu.1pl.0001
ambu1247,1pl,ndu.1pl.0001
ambu1247,1pl,ndu.1pl.0001
ambu1247,1pl,ndu.1pl.0001
ambu1247,1pl,ndu.1pl.0001
boik1241,1pl,ndu.1pl.0001
boik1241,1pl,ndu.1pl.0001
boik1241,1pl,ndu.1pl.0001
gaik1242,1pl,ndu.1pl.0001
hang1263,1pl,ndu.1pl.0001
iatm1242,1pl,ndu.1pl.0001
iatm1242,1pl,ndu.1pl.0001
iatm1242,1pl,ndu.1pl.0001
mana1298,1pl,ndu.1pl.0001
mana1298,1pl,ndu.1pl.0001
ngal1300,1pl,ndu.1pl.0001
ngal1300,1pl,ndu.1pl.0001
yelo1243,1pl,ndu.1pl.0001
yelo1243,1pl,ndu.1pl.0001
ambu1247,1sg,ndu.1sg.0002
ambu1247,1sg,ndu.1sg.0002
ambu1247,1sg,ndu.1sg.0002
boik1241,1sg,ndu.1sg.0002
boik1241,1sg,ndu.1sg.0002
gaik1242,1sg,ndu.1sg.0002
hang1263,1sg,ndu.1sg.0002
iatm1242,1sg,ndu.1sg.0002
iatm1242,1sg,ndu.1sg.0002
mana1298,1sg,ndu.1sg.0002
ngal1300,1sg,ndu.1sg.0002
yelo1243,1sg,ndu.1sg.0002
ambu1247,2sg,ndu.2sg.0003
ambu1247,2sg,ndu.2sg.0004
ambu1247,2sg,ndu.2sg.0004
ambu1247,2sg,ndu.2sg.0004
boik1241,2sg,ndu.2sg.0004
boik1241,2sg,ndu.2sg.0004
gaik1242,2sg,ndu.2sg.0003
gaik1242,2sg,ndu.2sg.0004
hang1263,2sg,ndu.2sg.0003
hang1263,2sg,ndu.2sg.0004
iatm1242,2sg,ndu.2sg.0003
iatm1242,2sg,ndu.2sg.0004
iatm1242,2sg,ndu.2sg.0004
mana1298,2sg,ndu.2sg.0004
ngal1300,2sg,ndu.2sg.0004
yelo1243,2sg,ndu.2sg.0004
ambu1247,blood,ndu.blood.0005
ambu1247,blood,ndu.blood.0005
ambu1247,blood,ndu.blood.0006
boik1241,blood,ndu.blood.0005
boik1241,blood,ndu.blood.0005
gaik1242,blood,ndu.blood.0006
gaik1242,blood,ndu.blood.0008
hang1263,blood,?
iatm1242,blood,ndu.blood.0007
iatm1242,blood,ndu.blood.0007
mana1298,blood,ndu.blood.0006
ngal1300,blood,ndu.blood.0005
yelo1243,blood,ndu.blood.0006
ambu1247,bone,ndu.bone.0009
ambu1247,bone,ndu.bone.0009
ambu1247,bone,ndu.bone.0009
boik1241,bone,ndu.bone.0009
boik1241,bone,ndu.bone.0010
gaik1242,bone,ndu.bone.0009
hang1263,bone,ndu.bone.0009
iatm1242,bone,ndu.bone.0010
iatm1242,bone,ndu.bone.0010
mana1298,bone,ndu.bone.0009
