Language_ID,Feature_ID,Value
acol1236,1pl,nilotic.1pl.0001
adho1243,1pl,nilotic.1pl.0001
alur1250,1pl,nilotic.1pl.0001
anua1242,1pl,nilotic.1pl.0001
bari1284,1pl,nilotic.1pl.0002
bari1284,1pl,nilotic.1pl.0002
bari1284,1pl,nilotic.1pl.0002
bari1284,1pl,nilotic.1pl.0002
buru1301,1pl,nilotic.1pl.0003
dato1239,1pl,?
dong1294,1pl,nilotic.1pl.0007
jumj1238,1pl,nilotic.1pl.0008
kakw1240,1pl,nilotic.1pl.0002
kara1483,1pl,nilotic.1pl.0001
keiy1238,1pl,nilotic.1pl.0003
keiy1238,1pl,nilotic.1pl.0015
kips1239,1pl,nilotic.1pl.0003
kuma1275,1pl,nilotic.1pl.0001
kups1238,1pl,nilotic.1pl.0003
lang1324,1pl,nilotic.1pl.0001
loko1254,1pl,nilotic.1pl.0007
luok1236,1pl,nilotic.1pl.0001
luwo1239,1pl,nilotic.1pl.0001
luwo1239,1pl,nilotic.1pl.0014
maba1273,1pl,nilotic.1pl.0008
mand1425,1pl,nilotic.1pl.0002
masa1300,1pl,nilotic.1pl.0004
mosi1247,1pl,nilotic.1pl.0003
nand1266,1pl,nilotic.1pl.0003
ngas1238,1pl,nilotic.1pl.0004
nuer1246,1pl,nilotic.1pl.0009
nyan1315,1pl,nilotic.1pl.0010
okie1245,1pl,?
omot1239,1pl,?
pari1256,1pl,nilotic.1pl.0001
poko1263,1pl,nilotic.1pl.0011
saba1262,1pl,nilotic.1pl.0003
samb1315,1pl,nilotic.1pl.0004
samb1315,1pl,nilotic.1pl.0004
shil1265,1pl,nilotic.1pl.0001
sout2832,1pl,nilotic.1pl.0012
sout2833,1pl,nilotic.1pl.0005
sout2834,1pl,nilotic.1pl.0006
teri1244,1pl,nilotic.1pl.0003
teso1249,1pl,nilotic.1pl.0013
tuge1241,1pl,nilotic.1pl.0003
turk1308,1pl,nilotic.1pl.0010
turk1308,1pl,nilotic.1pl.0016
acol1236,1sg,nilotic.1sg.0017
adho1243,1sg,nilotic.1sg.0017
alur1250,1sg,nilotic.1sg.0017
anua1242,1sg,nilotic.1sg.0017
bari1284,1sg,nilotic.1sg.0017
bari1284,1sg,nilotic.1sg.0017
bari1284,1sg,nilotic.1sg.0017
bari1284,1sg,nilotic.1sg.0017
buru1301,1sg,nilotic.1sg.0017
dato1239,1sg,?
dong1294,1sg,nilotic.1sg.0017
jumj1238,1sg,nilotic.1sg.0017
kakw1240,1sg,nilotic.1sg.0017
kara1483,1sg,nilotic.1sg.0017
keiy1238,1sg,nilotic.1sg.0017
kips1239,1sg,nilotic.1sg.0017
kuma1275,1sg,nilotic.1sg.0017
kups1238,1sg,nilotic.1sg.0017
lang1324,1sg,nilotic.1sg.0017
loko1254,1sg,nilotic.1sg.0017
luok1236,1sg,nilotic.1sg.0017
luwo1239,1sg,nilotic.1sg.0017
luwo1239,1sg,nilotic.1sg.0019
maba1273,1sg,nilotic.1sg.0019
mand1425,1sg,nilotic.1sg.0017
masa1300,1sg,nilotic.1sg.0017
mosi1247,1sg,nilotic.1sg.0017
nand1266,1sg,nilotic.1sg.0017
ngas1238,1sg,nilotic.1sg.0017
nuer1246,1sg,nilotic.1sg.0017
nyan1315,1sg,nilotic.1sg.0017
okie1245,1sg,?
omot1239,1sg,?
pari1256,1sg,nilotic.1sg.0017
poko1263,1sg,nilotic.1sg.0017
saba1262,1sg,nilotic.1sg.0017
samb1315,1sg,nilotic.1sg.0017
samb1315,1sg,nilotic.1sg.0017
shil1265,1sg,nilotic.1sg.0017
sout2832,1sg,nilotic.1sg.0017
sout2833,1sg,nilotic.1sg.0018
sout2834,1sg,nilotic.1sg.0018
teri1244,1sg,nilotic.1sg.0017
teso1249,1sg,nilotic.1sg.0017
tuge1241,1sg,nilotic.1sg.0017
turk1308,1sg,nilotic.1sg.0017
acol1236,2sg,nilotic.2sg.0020
adho1243,2sg,nilotic.2sg.0020
alur1250,2sg,nilotic.2sg.0020
anua1242,2sg,nilotic.2sg.0020
bari1284,2sg,nilotic.2sg.0021
bari1284,2sg,nilotic.2sg.0021
bari1284,2sg,nilotic.2sg.0021
bari1284,2sg,nilotic.2sg.0021
buru1301,2sg,nilotic.2sg.0022
dato1239,2sg,?
dong1294,2sg,nilotic.2sg.0023
jumj1238,2sg,nilotic.2sg.0022
kakw1240,2sg,nilotic.2sg.0021
kara1483,2sg,nilotic.2sg.0020
keiy1238,2sg,nilotic.2sg.0022
kips1239,2sg,nilotic.2sg.0022
kuma1275,2sg,nilotic.2sg.0020
kups1238,2sg,nilotic.2sg.0022
lang1324,2sg,nilotic.2sg.0020
loko1254,2sg,nilotic.2sg.0023
luok1236,2sg,nilotic.2sg.0020
luwo1239,2sg,nilotic.2sg.0020
luwo1239,2sg,nilotic.2sg.0020
luwo1239,2sg,nilotic.2sg.0020
luwo1239,2sg,nilotic.2sg.0024
maba1273,2sg,nilotic.2sg.0025
mand1425,2sg,nilotic.2sg.0021
masa1300,2sg,nilotic.2sg.0023
mosi1247,2sg,nilotic.2sg.0022
nand1266,2sg,nilotic.2sg.0022
ngas1238,2sg,nilotic.2sg.0023
nuer1246,2sg,nilotic.2sg.0020
nyan1315,2sg,nilotic.2sg.0022
okie1245,2sg,?
omot1239,2sg,?
pari1256,2sg,nilotic.2sg.0022
poko1263,2sg,nilotic.2sg.0022
poko1263,2sg,nilotic.2sg.0022
saba1262,2sg,nilotic.2sg.0022
samb1315,2sg,nilotic.2sg.0023
samb1315,2sg,nilotic.2sg.0023
shil1265,2sg,nilotic.2sg.0020
sout2832,2sg,nilotic.2sg.0020
sout2833,2sg,?
sout2834,2sg,nilotic.2sg.0020
teri1244,2sg,?
teso1249,2sg,nilotic.2sg.0026
tuge1241,2sg,nilotic.2sg.0022
turk1308,2sg,nilotic.2sg.0020
turk1308,2sg,nilotic.2sg.0027
acol1236,blood,nilotic.blood.0028
adho1243,blood,nilotic.blood.0028
alur1250,blood,nilotic.blood.0028
anua1242,blood,nilotic.blood.0028
bari1284,blood,nilotic.blood.0028
bari1284,blood,nilotic.blood.0028
bari1284,blood,nilotic.blood.0028
bari1284,blood,nilotic.blood.0032
buru1301,blood,nilotic.blood.0028
dato1239,blood,nilotic.blood.0030
dong1294,blood,nilotic.blood.0029
jumj1238,blood,nilotic.blood.0028
kakw1240,blood,nilotic.blood.0028
kara1483,blood,nilotic.blood.0029
keiy1238,blood,nilotic.blood.0031
kips1239,blood,nilotic.blood.0031
kuma1275,blood,nilotic.blood.0028
kups1238,blood,nilotic.blood.0031
lang1324,blood,nilotic.blood.0028
loko1254,blood,nilotic.blood.0029
luok1236,blood,nilotic.blood.0028
luwo1239,blood,nilotic.blood.0028
maba1273,blood,nilotic.blood.0028
mand1425,blood,nilotic.blood.0028
masa1300,blood,nilotic.blood.0033
mosi1247,blood,nilotic.blood.0034
nand1266,blood,nilotic.blood.0031
ngas1238,blood,?
nuer1246,blood,nilotic.blood.0028
nyan1315,blood,nilotic.blood.0029
okie1245,blood,nilotic.blood.0031
omot1239,blood,nilotic.blood.0035
pari1256,blood,nilotic.blood.0028
poko1263,blood,nilotic.blood.0036
saba1262,blood,nilotic.blood.0031
samb1315,blood,nilotic.blood.0029
samb1315,blood,nilotic.blood.0029
shil1265,blood,nilotic.blood.0028
sout2832,blood,nilotic.blood.0037
sout2833,blood,nilotic.blood.0028
sout2834,blood,nilotic.blood.0028
teri1244,blood,nilotic.blood.0031
teso1249,blood,nilotic.blood.0029
tuge1241,blood,nilotic.blood.0031
turk1308,blood,nilotic.blood.0029
acol1236,bone,nilotic.bone.0038
adho1243,bone,nilotic.bone.0038
alur1250,bone,nilotic.bone.0038
anua1242,bone,nilotic.bone.0038
anua1242,bone,nilotic.bone.0038
bari1284,bone,nilotic.bone.0039
bari1284,bone,nilotic.bone.0039
bari1284,bone,nilotic.bone.0039
bari1284,bone,nilotic.bone.0039
bari1284,bone,nilotic.bone.0039
buru1301,bone,nilotic.bone.0040
dato1239,bone,nilotic.bone.0042
dong1294,bone,nilotic.bone.0041
jumj1238,bone,nilotic.bone.0044
kakw1240,bone,nilotic.bone.0039
kara1483,bone,nilotic.bone.0045
keiy1238,bone,nilotic.bone.0045
keiy1238,bone,nilotic.bone.0046
kips1239,bone,?
kuma1275,bone,nilotic.bone.0038
kups1238,bone,nilotic.bone.0046
lang1324,bone,nilotic.bone.0038
loko1254,bone,nilotic.bone.0041
luok1236,bone,nilotic.bone.0038
luwo1239,bone,nilotic.bone.0038
maba1273,bone,nilotic.bone.0044
mand1425,bone,nilotic.bone.0045
masa1300,bone,nilotic.bone.0041
