Language_ID,Feature_ID,Value
abua1245,1pl,?
agii1245,1pl,nucleartorricelli.1pl.0001
agii1245,1pl,nucleartorricelli.1pl.0001
amol1235,1pl,nucleartorricelli.1pl.0003
arue1240,1pl,nucleartorricelli.1pl.0006
aruo1240,1pl,nucleartorricelli.1pl.0019
buki1249,1pl,nucleartorricelli.1pl.0004
buki1249,1pl,nucleartorricelli.1pl.0004
buna1277,1pl,nucleartorricelli.1pl.0007
buna1277,1pl,nucleartorricelli.1pl.0027
bung1270,1pl,nucleartorricelli.1pl.0007
bung1270,1pl,nucleartorricelli.1pl.0008
eiti1240,1pl,nucleartorricelli.1pl.0006
elep1240,1pl,nucleartorricelli.1pl.0017
heyo1240,1pl,nucleartorricelli.1pl.0010
juwa1238,1pl,nucleartorricelli.1pl.0007
juwa1238,1pl,nucleartorricelli.1pl.0014
kama1367,1pl,nucleartorricelli.1pl.0011
kama1367,1pl,nucleartorricelli.1pl.0011
kama1367,1pl,nucleartorricelli.1pl.0011
kama1367,1pl,nucleartorricelli.1pl.0011
kama1367,1pl,nucleartorricelli.1pl.0011
kama1367,1pl,nucleartorricelli.1pl.0011
komb1272,1pl,nucleartorricelli.1pl.0012
molm1235,1pl,nucleartorricelli.1pl.0015
molm1235,1pl,nucleartorricelli.1pl.0028
mufi1238,1pl,nucleartorricelli.1pl.0004
nabi1239,1pl,nucleartorricelli.1pl.0016
oloo1241,1pl,nucleartorricelli.1pl.0009
oloo1241,1pl,nucleartorricelli.1pl.0009
oloo1241,1pl,nucleartorricelli.1pl.0009
sili1247,1pl,nucleartorricelli.1pl.0018
sina1269,1pl,nucleartorricelli.1pl.0009
torr1259,1pl,nucleartorricelli.1pl.0005
torr1259,1pl,nucleartorricelli.1pl.0020
urat1244,1pl,nucleartorricelli.1pl.0006
urim1251,1pl,nucleartorricelli.1pl.0021
urim1252,1pl,nucleartorricelli.1pl.0013
valm1241,1pl,nucleartorricelli.1pl.0022
valm1241,1pl,nucleartorricelli.1pl.0022
wana1268,1pl,nucleartorricelli.1pl.0023
wiar1238,1pl,nucleartorricelli.1pl.0014
womp1235,1pl,?
yaha1247,1pl,?
yamb1254,1pl,nucleartorricelli.1pl.0024
yang1296,1pl,nucleartorricelli.1pl.0002
yang1297,1pl,nucleartorricelli.1pl.0002
yapu1240,1pl,nucleartorricelli.1pl.0025
yill1241,1pl,nucleartorricelli.1pl.0026
abua1245,1sg,nucleartorricelli.1sg.0029
agii1245,1sg,nucleartorricelli.1sg.0030
agii1245,1sg,nucleartorricelli.1sg.0031
agii1245,1sg,nucleartorricelli.1sg.0043
amol1235,1sg,nucleartorricelli.1sg.0032
arue1240,1sg,nucleartorricelli.1sg.0030
aruo1240,1sg,nucleartorricelli.1sg.0031
buki1249,1sg,nucleartorricelli.1sg.0030
buki1249,1sg,nucleartorricelli.1sg.0030
buna1277,1sg,nucleartorricelli.1sg.0030
buna1277,1sg,nucleartorricelli.1sg.0030
buna1277,1sg,nucleartorricelli.1sg.0034
bung1270,1sg,nucleartorricelli.1sg.0030
bung1270,1sg,nucleartorricelli.1sg.0034
eiti1240,1sg,nucleartorricelli.1sg.0030
elep1240,1sg,nucleartorricelli.1sg.0030
heyo1240,1sg,nucleartorricelli.1sg.0035
juwa1238,1sg,nucleartorricelli.1sg.0030
