Language_ID,Feature_ID,Value
afit1238,blood,nyimang.blood.0001
amas1236,blood,nyimang.blood.0001
amas1236,blood,nyimang.blood.0001
afit1238,bone,nyimang.bone.0002
amas1236,bone,nyimang.bone.0002
afit1238,breast,nyimang.breast.0003
amas1236,breast,nyimang.breast.0003
amas1236,breast,nyimang.breast.0004
afit1238,come,nyimang.come.0005
amas1236,come,nyimang.come.0005
amas1236,come,nyimang.come.0006
afit1238,die,nyimang.die.0007
amas1236,die,nyimang.die.0007
amas1236,die,nyimang.die.0008
afit1238,dog,nyimang.dog.0009
afit1238,dog,nyimang.dog.0009
amas1236,dog,nyimang.dog.0009
afit1238,drink,nyimang.drink.0010
amas1236,drink,nyimang.drink.0011
amas1236,drink,nyimang.drink.0012
afit1238,ear,nyimang.ear.0013
amas1236,ear,nyimang.ear.0014
amas1236,ear,nyimang.ear.0014
afit1238,eye,nyimang.eye.0015
amas1236,eye,nyimang.eye.0016
afit1238,fire,nyimang.fire.0017
amas1236,fire,nyimang.fire.0018
afit1238,fish,nyimang.fish.0019
amas1236,fish,nyimang.fish.0019
afit1238,full,?
amas1236,full,nyimang.full.0020
afit1238,hand,nyimang.hand.0021
amas1236,hand,nyimang.hand.0021
amas1236,hand,nyimang.hand.0022
afit1238,hear,nyimang.hear.0023
amas1236,hear,nyimang.hear.0024
amas1236,hear,nyimang.hear.0025
afit1238,horn,nyimang.horn.0026
amas1236,horn,nyimang.horn.0027
afit1238,knee,nyimang.knee.0028
amas1236,knee,nyimang.knee.0028
amas1236,knee,nyimang.knee.0028
afit1238,leaf,nyimang.leaf.0029
amas1236,leaf,nyimang.leaf.0030
afit1238,liver,nyimang.liver.0031
amas1236,liver,nyimang.liver.0031
afit1238,louse,nyimang.louse.0032
amas1236,louse,nyimang.louse.0032
afit1238,mountain,nyimang.mountain.0033
amas1236,mountain,nyimang.mountain.0033
afit1238,name,nyimang.name.0034
amas1236,name,nyimang.name.0035
afit1238,new,nyimang.new.0036
amas1236,new,nyimang.new.0037
afit1238,night,nyimang.night.0038
amas1236,night,nyimang.night.0039
amas1236,night,nyimang.night.0040
afit1238,nose,nyimang.nose.0041
amas1236,nose,nyimang.nose.0042
afit1238,one,nyimang.one.0043
amas1236,one,nyimang.one.0044
afit1238,path,nyimang.path.0045
amas1236,path,nyimang.path.0045
afit1238,person,nyimang.person.0046
afit1238,person,nyimang.person.0048
amas1236,person,nyimang.person.0047
amas1236,person,nyimang.person.0047
afit1238,see,nyimang.see.0049
afit1238,see,nyimang.see.0050
amas1236,see,nyimang.see.0050
amas1236,see,nyimang.see.0050
afit1238,skin,nyimang.skin.0051
amas1236,skin,nyimang.skin.0052
afit1238,star,nyimang.star.0053
amas1236,star,nyimang.star.0054
afit1238,stone,?
amas1236,stone,nyimang.stone.0055
amas1236,stone,nyimang.stone.0056
afit1238,sun,nyimang.sun.0057
amas1236,sun,nyimang.sun.0058
afit1238,tongue,nyimang.tongue.0059
amas1236,tongue,nyimang.tongue.0060
afit1238,tooth,nyimang.tooth.0061
amas1236,tooth,nyimang.tooth.0062
amas1236,tooth,nyimang.tooth.0062
afit1238,tree,nyimang.tree.0063
amas1236,tree,nyimang.tree.0064
amas1236,tree,nyimang.tree.0064
afit1238,two,nyimang.two.0065
amas1236,two,nyimang.two.0066
afit1238,water,nyimang.water.0067
amas1236,water,nyimang.water.0067
