Language_ID,Feature_ID,Value
dubu1240,1pl,pauwasi.1pl.0001
emum1240,1pl,pauwasi.1pl.0001
emum1240,1pl,pauwasi.1pl.0002
kark1258,1pl,?
towe1240,1pl,pauwasi.1pl.0001
yafi1240,1pl,pauwasi.1pl.0003
dubu1240,1sg,pauwasi.1sg.0004
emum1240,1sg,pauwasi.1sg.0005
emum1240,1sg,pauwasi.1sg.0005
kark1258,1sg,pauwasi.1sg.0005
kark1258,1sg,pauwasi.1sg.0008
towe1240,1sg,pauwasi.1sg.0007
yafi1240,1sg,pauwasi.1sg.0006
dubu1240,2sg,pauwasi.2sg.0009
emum1240,2sg,pauwasi.2sg.0010
emum1240,2sg,pauwasi.2sg.0011
kark1258,2sg,pauwasi.2sg.0013
kark1258,2sg,pauwasi.2sg.0014
towe1240,2sg,pauwasi.2sg.0012
yafi1240,2sg,?
dubu1240,blood,pauwasi.blood.0015
emum1240,blood,pauwasi.blood.0016
emum1240,blood,pauwasi.blood.0017
kark1258,blood,pauwasi.blood.0017
kark1258,blood,pauwasi.blood.0017
kark1258,blood,pauwasi.blood.0017
towe1240,blood,pauwasi.blood.0019
yafi1240,blood,pauwasi.blood.0018
dubu1240,bone,pauwasi.bone.0020
emum1240,bone,pauwasi.bone.0021
emum1240,bone,pauwasi.bone.0022
kark1258,bone,pauwasi.bone.0022
kark1258,bone,pauwasi.bone.0022
kark1258,bone,pauwasi.bone.0022
towe1240,bone,pauwasi.bone.0024
yafi1240,bone,pauwasi.bone.0023
dubu1240,breast,pauwasi.breast.0025
emum1240,breast,pauwasi.breast.0025
emum1240,breast,pauwasi.breast.0025
kark1258,breast,pauwasi.breast.0025
kark1258,breast,pauwasi.breast.0025
kark1258,breast,pauwasi.breast.0025
towe1240,breast,pauwasi.breast.0025
yafi1240,breast,pauwasi.breast.0025
dubu1240,come,pauwasi.come.0026
emum1240,come,pauwasi.come.0027
emum1240,come,pauwasi.come.0027
kark1258,come,pauwasi.come.0029
kark1258,come,pauwasi.come.0029
kark1258,come,pauwasi.come.0031
towe1240,come,pauwasi.come.0030
yafi1240,come,pauwasi.come.0028
dubu1240,die,pauwasi.die.0032
emum1240,die,pauwasi.die.0033
emum1240,die,pauwasi.die.0034
kark1258,die,pauwasi.die.0036
kark1258,die,pauwasi.die.0037
kark1258,die,pauwasi.die.0038
towe1240,die,pauwasi.die.0032
yafi1240,die,pauwasi.die.0035
dubu1240,dog,pauwasi.dog.0039
emum1240,dog,pauwasi.dog.0040
