Language_ID,Feature_ID,Value
yagu1244,1pl,pebayagua.1pl.0836
yagu1244,1pl,pebayagua.1pl.0837
yagu1244,1sg,pebayagua.1sg.0455
yagu1244,2sg,pebayagua.2sg.0561
yagu1244,blood,pebayagua.blood.0060
yagu1244,blood,pebayagua.blood.0547
yagu1244,breast,pebayagua.breast.0012
yagu1244,come,pebayagua.come.0705
yagu1244,die,pebayagua.die.0901
yagu1244,die,pebayagua.die.0902
yagu1244,die,pebayagua.die.0903
yagu1244,dog,pebayagua.dog.0490
yagu1244,drink,pebayagua.drink.0928
yagu1244,ear,pebayagua.ear.0002
yagu1244,ear,pebayagua.ear.0171
yagu1244,ear,pebayagua.ear.0411
yagu1244,eye,pebayagua.eye.0114
yagu1244,eye,pebayagua.eye.0712
yagu1244,fire,pebayagua.fire.0103
yagu1244,fire,pebayagua.fire.0713
yagu1244,fish,pebayagua.fish.0323
yagu1244,hand,pebayagua.hand.0543
yagu1244,hear,pebayagua.hear.1014
yagu1244,leaf,pebayagua.leaf.0039
yagu1244,leaf,pebayagua.leaf.0534
yagu1244,liver,pebayagua.liver.0322
yagu1244,liver,pebayagua.liver.0322
yagu1244,louse,pebayagua.louse.0706
yagu1244,name,pebayagua.name.0052
yagu1244,new,pebayagua.new.0676
yagu1244,night,pebayagua.night.0005
yagu1244,nose,pebayagua.nose.0786
yagu1244,one,pebayagua.one.0110
yagu1244,path,pebayagua.path.0114
yagu1244,path,pebayagua.path.0756
yagu1244,person,pebayagua.person.0990
yagu1244,see,pebayagua.see.0410
yagu1244,see,pebayagua.see.0600
yagu1244,skin,pebayagua.skin.0836
yagu1244,skin,pebayagua.skin.0836
yagu1244,star,pebayagua.star.0791
yagu1244,star,pebayagua.star.0791
yagu1244,star,pebayagua.star.0791
yagu1244,stone,pebayagua.stone.1071
yagu1244,stone,pebayagua.stone.1072
yagu1244,tongue,pebayagua.tongue.0609
yagu1244,tooth,pebayagua.tooth.0024
yagu1244,tooth,pebayagua.tooth.0735
yagu1244,two,pebayagua.two.0572
yagu1244,two,pebayagua.two.0572
yagu1244,water,pebayagua.water.0551
