Language_ID,Feature_ID,Value
puel1244,1pl,puelche.1pl.0394
puel1244,1sg,puelche.1sg.0223
puel1244,2sg,puelche.2sg.0284
puel1244,blood,puelche.blood.0327
puel1244,bone,puelche.bone.0074
puel1244,breast,puelche.breast.0012
puel1244,breast,puelche.breast.0371
puel1244,come,puelche.come.0138
puel1244,come,puelche.come.0138
puel1244,die,puelche.die.0422
puel1244,dog,puelche.dog.0021
puel1244,dog,puelche.dog.0283
puel1244,drink,puelche.drink.0458
puel1244,drink,puelche.drink.0458
puel1244,ear,puelche.ear.0103
puel1244,eye,puelche.eye.0368
puel1244,fire,puelche.fire.0399
puel1244,fish,puelche.fish.0008
puel1244,fish,puelche.fish.0380
puel1244,full,puelche.full.0455
puel1244,hand,puelche.hand.0310
puel1244,hear,puelche.hear.0492
puel1244,horn,puelche.horn.0078
puel1244,knee,puelche.knee.0335
puel1244,leaf,puelche.leaf.0328
puel1244,liver,puelche.liver.0422
puel1244,louse,puelche.louse.0258
puel1244,mountain,puelche.mountain.0014
puel1244,name,puelche.name.0014
puel1244,new,puelche.new.0358
puel1244,night,puelche.night.0142
puel1244,nose,puelche.nose.0407
puel1244,one,puelche.one.0312
puel1244,path,puelche.path.0399
puel1244,person,puelche.person.0051
puel1244,see,puelche.see.0044
puel1244,skin,puelche.skin.0127
puel1244,star,puelche.star.0416
puel1244,star,puelche.star.0416
puel1244,stone,puelche.stone.0515
puel1244,sun,puelche.sun.0027
puel1244,sun,puelche.sun.0336
puel1244,tongue,puelche.tongue.0243
puel1244,tooth,puelche.tooth.0390
puel1244,tree,puelche.tree.0022
puel1244,two,puelche.two.0292
puel1244,water,puelche.water.0116
