Language_ID,Feature_ID,Value
pume1238,1pl,yaruro.1pl.0842
pume1238,1sg,yaruro.1sg.0007
pume1238,2sg,yaruro.2sg.0566
pume1238,blood,yaruro.blood.0549
pume1238,bone,yaruro.bone.0001
pume1238,breast,yaruro.breast.0012
pume1238,come,yaruro.come.0013
pume1238,die,yaruro.die.0918
pume1238,dog,yaruro.dog.0161
pume1238,drink,yaruro.drink.0942
pume1238,ear,yaruro.ear.0020
pume1238,eye,yaruro.eye.0001
pume1238,fire,yaruro.fire.0016
pume1238,fish,yaruro.fish.0643
pume1238,full,yaruro.full.1003
pume1238,hand,yaruro.hand.0267
pume1238,hear,yaruro.hear.1022
pume1238,horn,yaruro.horn.0571
pume1238,knee,yaruro.knee.0007
pume1238,leaf,yaruro.leaf.0133
pume1238,liver,yaruro.liver.0041
pume1238,louse,yaruro.louse.0053
pume1238,mountain,yaruro.mountain.0279
pume1238,name,yaruro.name.0052
pume1238,new,yaruro.new.0679
pume1238,night,yaruro.night.0655
pume1238,nose,yaruro.nose.0793
pume1238,one,yaruro.one.0545
pume1238,path,yaruro.path.0092
pume1238,person,yaruro.person.0998
pume1238,see,yaruro.see.0016
pume1238,star,yaruro.star.0799
pume1238,stone,yaruro.stone.1086
pume1238,sun,yaruro.sun.0049
pume1238,tongue,yaruro.tongue.0088
pume1238,tooth,yaruro.tooth.0741
pume1238,tree,yaruro.tree.0035
pume1238,two,yaruro.two.0004
pume1238,water,yaruro.water.0002
