Language_ID,Feature_ID,Value
nezp1238,1pl,sahaptian.1pl.0001
nezp1238,1pl,sahaptian.1pl.0001
umat1237,1pl,sahaptian.1pl.0002
yaki1237,1pl,sahaptian.1pl.0002
nezp1238,1sg,sahaptian.1sg.0003
nezp1238,1sg,sahaptian.1sg.0004
umat1237,1sg,sahaptian.1sg.0003
yaki1237,1sg,sahaptian.1sg.0003
nezp1238,2sg,sahaptian.2sg.0005
umat1237,2sg,sahaptian.2sg.0006
yaki1237,2sg,sahaptian.2sg.0007
nezp1238,blood,sahaptian.blood.0008
umat1237,blood,sahaptian.blood.0009
yaki1237,blood,sahaptian.blood.0009
nezp1238,bone,sahaptian.bone.0010
umat1237,bone,sahaptian.bone.0010
yaki1237,bone,sahaptian.bone.0010
nezp1238,breast,sahaptian.breast.0011
nezp1238,breast,sahaptian.breast.0013
umat1237,breast,sahaptian.breast.0012
yaki1237,breast,?
nezp1238,come,sahaptian.come.0014
nezp1238,come,sahaptian.come.0017
umat1237,come,sahaptian.come.0015
yaki1237,come,sahaptian.come.0016
yaki1237,come,sahaptian.come.0016
nezp1238,die,sahaptian.die.0018
umat1237,die,sahaptian.die.0019
yaki1237,die,sahaptian.die.0019
nezp1238,dog,sahaptian.dog.0020
umat1237,dog,sahaptian.dog.0021
yaki1237,dog,sahaptian.dog.0021
nezp1238,drink,sahaptian.drink.0022
nezp1238,drink,sahaptian.drink.0023
umat1237,drink,sahaptian.drink.0022
yaki1237,drink,sahaptian.drink.0022
nezp1238,ear,sahaptian.ear.0024
nezp1238,ear,sahaptian.ear.0024
umat1237,ear,sahaptian.ear.0025
yaki1237,ear,sahaptian.ear.0025
nezp1238,eye,sahaptian.eye.0026
umat1237,eye,sahaptian.eye.0027
yaki1237,eye,sahaptian.eye.0028
nezp1238,fire,sahaptian.fire.0029
umat1237,fire,sahaptian.fire.0030
yaki1237,fire,sahaptian.fire.0030
nezp1238,fish,sahaptian.fish.0031
umat1237,fish,sahaptian.fish.0032
yaki1237,fish,?
nezp1238,full,sahaptian.full.0033
umat1237,full,sahaptian.full.0034
yaki1237,full,sahaptian.full.0035
nezp1238,hand,sahaptian.hand.0036
nezp1238,hand,sahaptian.hand.0038
umat1237,hand,sahaptian.hand.0037
yaki1237,hand,sahaptian.hand.0037
nezp1238,hear,sahaptian.hear.0039
umat1237,hear,sahaptian.hear.0040
yaki1237,hear,sahaptian.hear.0041
nezp1238,horn,sahaptian.horn.0042
umat1237,horn,sahaptian.horn.0043
yaki1237,horn,?
nezp1238,knee,sahaptian.knee.0044
umat1237,knee,sahaptian.knee.0045
yaki1237,knee,?
nezp1238,leaf,sahaptian.leaf.0046
umat1237,leaf,sahaptian.leaf.0047
yaki1237,leaf,sahaptian.leaf.0048
nezp1238,liver,sahaptian.liver.0049
umat1237,liver,sahaptian.liver.0050
yaki1237,liver,?
nezp1238,louse,sahaptian.louse.0051
nezp1238,louse,sahaptian.louse.0053
umat1237,louse,sahaptian.louse.0052
yaki1237,louse,?
nezp1238,mountain,sahaptian.mountain.0054
umat1237,mountain,sahaptian.mountain.0055
umat1237,mountain,sahaptian.mountain.0056
yaki1237,mountain,sahaptian.mountain.0055
nezp1238,name,?
umat1237,name,sahaptian.name.0057
yaki1237,name,sahaptian.name.0057
nezp1238,new,sahaptian.new.0058
nezp1238,new,sahaptian.new.0059
umat1237,new,sahaptian.new.0058
yaki1237,new,sahaptian.new.0058
nezp1238,night,sahaptian.night.0060
umat1237,night,sahaptian.night.0061
yaki1237,night,sahaptian.night.0061
nezp1238,nose,sahaptian.nose.0062
umat1237,nose,sahaptian.nose.0062
yaki1237,nose,sahaptian.nose.0062
nezp1238,one,sahaptian.one.0063
umat1237,one,sahaptian.one.0064
yaki1237,one,sahaptian.one.0064
nezp1238,path,sahaptian.path.0065
umat1237,path,sahaptian.path.0065
yaki1237,path,sahaptian.path.0065
nezp1238,person,sahaptian.person.0066
umat1237,person,sahaptian.person.0067
yaki1237,person,sahaptian.person.0068
nezp1238,see,sahaptian.see.0069
umat1237,see,sahaptian.see.0070
yaki1237,see,sahaptian.see.0070
nezp1238,skin,?
umat1237,skin,sahaptian.skin.0071
yaki1237,skin,?
nezp1238,star,sahaptian.star.0072
umat1237,star,sahaptian.star.0073
yaki1237,star,?
nezp1238,stone,sahaptian.stone.0074
umat1237,stone,sahaptian.stone.0074
yaki1237,stone,sahaptian.stone.0074
nezp1238,sun,sahaptian.sun.0075
nezp1238,sun,sahaptian.sun.0078
umat1237,sun,sahaptian.sun.0076
umat1237,sun,sahaptian.sun.0077
yaki1237,sun,sahaptian.sun.0077
nezp1238,tongue,sahaptian.tongue.0079
umat1237,tongue,sahaptian.tongue.0080
yaki1237,tongue,?
nezp1238,tooth,sahaptian.tooth.0081
umat1237,tooth,sahaptian.tooth.0082
yaki1237,tooth,sahaptian.tooth.0081
nezp1238,tree,sahaptian.tree.0083
umat1237,tree,sahaptian.tree.0084
yaki1237,tree,sahaptian.tree.0084
nezp1238,two,sahaptian.two.0085
umat1237,two,sahaptian.two.0086
yaki1237,two,sahaptian.two.0086
nezp1238,water,sahaptian.water.0087
umat1237,water,sahaptian.water.0087
yaki1237,water,sahaptian.water.0087
