Language_ID,Feature_ID,Value
sand1273,1pl,sandawe.1pl.0730
sand1273,1sg,sandawe.1sg.0413
sand1273,2sg,sandawe.2sg.0490
sand1273,blood,sandawe.blood.0496
sand1273,bone,sandawe.bone.0327
sand1273,breast,sandawe.breast.0611
sand1273,die,sandawe.die.0772
sand1273,die,sandawe.die.0773
sand1273,dog,sandawe.dog.0004
sand1273,drink,sandawe.drink.0816
sand1273,ear,sandawe.ear.0133
sand1273,eye,sandawe.eye.0630
sand1273,fire,sandawe.fire.0640
sand1273,fire,sandawe.fire.0641
sand1273,fish,sandawe.fish.0002
sand1273,hand,sandawe.hand.0305
sand1273,knee,sandawe.knee.0540
sand1273,leaf,sandawe.leaf.0093
sand1273,liver,sandawe.liver.0740
sand1273,louse,sandawe.louse.0627
sand1273,mountain,sandawe.mountain.0226
sand1273,name,sandawe.name.0484
sand1273,new,sandawe.new.0610
sand1273,night,sandawe.night.0002
sand1273,nose,sandawe.nose.0682
sand1273,one,sandawe.one.0493
sand1273,path,sandawe.path.0666
sand1273,person,sandawe.person.0859
sand1273,sun,sandawe.sun.0535
sand1273,tongue,sandawe.tongue.0545
sand1273,tooth,sandawe.tooth.0638
sand1273,tooth,sandawe.tooth.0639
sand1273,tree,sandawe.tree.0573
sand1273,two,sandawe.two.0511
sand1273,water,sandawe.water.0002
