Language_ID,Feature_ID,Value
sape1238,1pl,sape.1pl.0735
sape1238,1sg,sape.1sg.0008
sape1238,2sg,sape.2sg.0493
sape1238,blood,sape.blood.0060
sape1238,bone,sape.bone.0075
sape1238,breast,sape.breast.0615
sape1238,die,sape.die.0396
sape1238,drink,sape.drink.0820
sape1238,ear,sape.ear.0019
sape1238,eye,sape.eye.0631
sape1238,fire,sape.fire.0645
sape1238,hand,sape.hand.0485
sape1238,hear,sape.hear.0889
sape1238,leaf,sape.leaf.0001
sape1238,liver,sape.liver.0743
sape1238,name,sape.name.0486
sape1238,new,sape.new.0613
sape1238,night,sape.night.0575
sape1238,nose,sape.nose.0685
sape1238,one,sape.one.0090
sape1238,path,sape.path.0668
sape1238,person,sape.person.0170
sape1238,see,sape.see.0365
sape1238,skin,sape.skin.0742
sape1238,star,sape.star.0703
sape1238,stone,sape.stone.0248
sape1238,tongue,sape.tongue.0548
sape1238,tooth,sape.tooth.0643
sape1238,two,sape.two.0513
sape1238,water,sape.water.0001
