Language_ID,Feature_ID,Value
siam1242,1pl,siamou.1pl.0740
siam1242,1sg,siamou.1sg.0041
siam1242,2sg,siamou.2sg.0109
siam1242,blood,siamou.blood.0071
siam1242,bone,siamou.bone.0001
siam1242,breast,siamou.breast.0173
siam1242,come,siamou.come.0003
siam1242,die,siamou.die.0001
siam1242,dog,siamou.dog.0001
siam1242,drink,siamou.drink.0394
siam1242,ear,siamou.ear.0002
siam1242,eye,siamou.eye.0142
siam1242,fire,siamou.fire.0199
siam1242,fish,siamou.fish.0001
siam1242,horn,siamou.horn.0126
siam1242,knee,siamou.knee.0003
siam1242,liver,siamou.liver.0050
siam1242,mountain,siamou.mountain.0068
siam1242,name,siamou.name.0001
siam1242,night,siamou.night.0002
siam1242,nose,siamou.nose.0002
siam1242,one,siamou.one.0135
siam1242,path,siamou.path.0003
siam1242,person,siamou.person.0001
siam1242,star,siamou.star.0041
siam1242,stone,siamou.stone.0847
siam1242,sun,siamou.sun.0492
siam1242,tongue,siamou.tongue.0001
siam1242,tooth,siamou.tooth.0002
siam1242,tree,siamou.tree.0001
siam1242,two,siamou.two.0024
siam1242,water,siamou.water.0001
