Language_ID,Feature_ID,Value
sius1254,1pl,siuslaw.1pl.0097
sius1254,1sg,siuslaw.1sg.0007
sius1254,1sg,siuslaw.1sg.0215
sius1254,2sg,siuslaw.2sg.0049
sius1254,blood,siuslaw.blood.0020
sius1254,bone,siuslaw.bone.0001
sius1254,bone,siuslaw.bone.0025
sius1254,breast,siuslaw.breast.0012
sius1254,come,siuslaw.come.0631
sius1254,die,siuslaw.die.0788
sius1254,dog,siuslaw.dog.0067
sius1254,dog,siuslaw.dog.0287
sius1254,drink,siuslaw.drink.0834
sius1254,ear,siuslaw.ear.0374
sius1254,eye,siuslaw.eye.0642
sius1254,fire,siuslaw.fire.0654
sius1254,fish,siuslaw.fish.0605
sius1254,full,siuslaw.full.0865
sius1254,hand,siuslaw.hand.0028
sius1254,hear,siuslaw.hear.0048
sius1254,hear,siuslaw.hear.0048
sius1254,horn,siuslaw.horn.0508
sius1254,knee,siuslaw.knee.0026
sius1254,leaf,siuslaw.leaf.0298
sius1254,liver,siuslaw.liver.0069
sius1254,liver,siuslaw.liver.0071
sius1254,louse,siuslaw.louse.0014
sius1254,louse,siuslaw.louse.0642
sius1254,mountain,siuslaw.mountain.0063
sius1254,name,siuslaw.name.0001
sius1254,new,siuslaw.new.0218
sius1254,new,siuslaw.new.0621
sius1254,night,siuslaw.night.0587
sius1254,nose,siuslaw.nose.0157
sius1254,one,siuslaw.one.0498
sius1254,path,siuslaw.path.0683
sius1254,person,siuslaw.person.0049
sius1254,person,siuslaw.person.0877
sius1254,see,siuslaw.see.0118
sius1254,skin,siuslaw.skin.0759
sius1254,skin,siuslaw.skin.0760
sius1254,star,siuslaw.star.0072
sius1254,stone,siuslaw.stone.0965
sius1254,sun,siuslaw.sun.0071
sius1254,tongue,siuslaw.tongue.0039
sius1254,tooth,siuslaw.tooth.0652
sius1254,tree,siuslaw.tree.0035
sius1254,two,siuslaw.two.0523
sius1254,water,siuslaw.water.0033
