Language_ID,Feature_ID,Value
murr1258,1pl,southerndaly.1pl.0012
murr1258,1sg,southerndaly.1sg.0070
murr1258,2sg,southerndaly.2sg.0029
murr1258,blood,southerndaly.blood.0326
murr1258,bone,southerndaly.bone.0021
murr1258,breast,southerndaly.breast.0317
murr1258,breast,southerndaly.breast.0536
murr1258,die,southerndaly.die.0568
murr1258,dog,southerndaly.dog.0075
murr1258,drink,southerndaly.drink.0380
murr1258,drink,southerndaly.drink.0380
murr1258,ear,southerndaly.ear.0022
murr1258,eye,southerndaly.eye.0550
murr1258,fire,southerndaly.fire.0572
murr1258,full,southerndaly.full.0259
murr1258,hand,southerndaly.hand.0210
murr1258,hear,southerndaly.hear.0772
murr1258,knee,southerndaly.knee.0051
murr1258,leaf,southerndaly.leaf.0015
murr1258,liver,southerndaly.liver.0655
murr1258,mountain,southerndaly.mountain.0614
murr1258,name,southerndaly.name.0426
murr1258,new,southerndaly.new.0011
murr1258,night,southerndaly.night.0230
murr1258,night,southerndaly.night.0507
murr1258,nose,southerndaly.nose.0608
murr1258,one,southerndaly.one.0006
murr1258,path,southerndaly.path.0591
murr1258,see,southerndaly.see.0476
murr1258,skin,southerndaly.skin.0228
murr1258,star,southerndaly.star.0153
murr1258,star,southerndaly.star.0607
murr1258,stone,southerndaly.stone.0830
murr1258,sun,southerndaly.sun.0095
murr1258,sun,southerndaly.sun.0464
murr1258,tongue,southerndaly.tongue.0057
murr1258,tooth,southerndaly.tooth.0565
murr1258,tree,southerndaly.tree.0516
murr1258,two,southerndaly.two.0463
murr1258,water,southerndaly.water.0308
