Language_ID,Feature_ID,Value
arii1243,1pl,sukigogodala.1pl.0001
gogo1265,1pl,sukigogodala.1pl.0001
gogo1265,1pl,sukigogodala.1pl.0001
waru1267,1pl,sukigogodala.1pl.0001
arii1243,1sg,sukigogodala.1sg.0002
arii1243,1sg,sukigogodala.1sg.0002
gogo1265,1sg,sukigogodala.1sg.0002
waru1267,1sg,sukigogodala.1sg.0002
arii1243,2sg,sukigogodala.2sg.0003
gogo1265,2sg,sukigogodala.2sg.0003
waru1267,2sg,sukigogodala.2sg.0003
arii1243,blood,sukigogodala.blood.0004
gogo1265,blood,sukigogodala.blood.0004
gogo1265,blood,sukigogodala.blood.0004
waru1267,blood,sukigogodala.blood.0005
arii1243,bone,sukigogodala.bone.0007
gogo1265,bone,sukigogodala.bone.0006
gogo1265,bone,sukigogodala.bone.0006
waru1267,bone,sukigogodala.bone.0006
arii1243,breast,sukigogodala.breast.0009
gogo1265,breast,sukigogodala.breast.0008
gogo1265,breast,sukigogodala.breast.0009
waru1267,breast,sukigogodala.breast.0010
arii1243,come,sukigogodala.come.0011
gogo1265,come,sukigogodala.come.0011
waru1267,come,sukigogodala.come.0011
arii1243,die,sukigogodala.die.0013
gogo1265,die,sukigogodala.die.0012
waru1267,die,?
arii1243,dog,sukigogodala.dog.0014
gogo1265,dog,sukigogodala.dog.0014
gogo1265,dog,sukigogodala.dog.0014
waru1267,dog,sukigogodala.dog.0014
arii1243,drink,sukigogodala.drink.0015
gogo1265,drink,sukigogodala.drink.0015
gogo1265,drink,sukigogodala.drink.0015
waru1267,drink,sukigogodala.drink.0016
arii1243,ear,sukigogodala.ear.0018
arii1243,ear,sukigogodala.ear.0019
gogo1265,ear,sukigogodala.ear.0017
waru1267,ear,sukigogodala.ear.0017
arii1243,eye,sukigogodala.eye.0021
gogo1265,eye,sukigogodala.eye.0020
gogo1265,eye,sukigogodala.eye.0020
waru1267,eye,sukigogodala.eye.0020
arii1243,fire,sukigogodala.fire.0023
gogo1265,fire,sukigogodala.fire.0022
gogo1265,fire,sukigogodala.fire.0022
waru1267,fire,sukigogodala.fire.0023
arii1243,fish,sukigogodala.fish.0025
gogo1265,fish,sukigogodala.fish.0024
waru1267,fish,sukigogodala.fish.0026
arii1243,full,sukigogodala.full.0027
gogo1265,full,sukigogodala.full.0028
waru1267,full,sukigogodala.full.0029
arii1243,hand,?
gogo1265,hand,sukigogodala.hand.0030
waru1267,hand,?
arii1243,hear,sukigogodala.hear.0031
arii1243,hear,sukigogodala.hear.0031
gogo1265,hear,sukigogodala.hear.0031
waru1267,hear,?
arii1243,knee,sukigogodala.knee.0033
gogo1265,knee,sukigogodala.knee.0032
gogo1265,knee,sukigogodala.knee.0032
gogo1265,knee,sukigogodala.knee.0033
waru1267,knee,sukigogodala.knee.0033
arii1243,leaf,sukigogodala.leaf.0034
gogo1265,leaf,sukigogodala.leaf.0034
gogo1265,leaf,sukigogodala.leaf.0034
waru1267,leaf,sukigogodala.leaf.0034
arii1243,liver,?
gogo1265,liver,sukigogodala.liver.0035
gogo1265,liver,sukigogodala.liver.0035
gogo1265,liver,sukigogodala.liver.0035
waru1267,liver,sukigogodala.liver.0035
arii1243,louse,sukigogodala.louse.0036
gogo1265,louse,sukigogodala.louse.0036
gogo1265,louse,sukigogodala.louse.0036
waru1267,louse,sukigogodala.louse.0036
arii1243,mountain,sukigogodala.mountain.0037
gogo1265,mountain,sukigogodala.mountain.0038
waru1267,mountain,sukigogodala.mountain.0037
arii1243,name,sukigogodala.name.0040
gogo1265,name,sukigogodala.name.0039
gogo1265,name,sukigogodala.name.0039
waru1267,name,sukigogodala.name.0039
arii1243,new,sukigogodala.new.0041
gogo1265,new,sukigogodala.new.0041
gogo1265,new,sukigogodala.new.0041
waru1267,new,sukigogodala.new.0041
arii1243,night,sukigogodala.night.0042
gogo1265,night,sukigogodala.night.0043
waru1267,night,sukigogodala.night.0043
arii1243,nose,sukigogodala.nose.0044
gogo1265,nose,sukigogodala.nose.0045
waru1267,nose,sukigogodala.nose.0046
arii1243,one,sukigogodala.one.0048
