Language_ID,Feature_ID,Value
sume1241,1pl,sumerian.1pl.0752
sume1241,1pl,sumerian.1pl.0753
sume1241,1sg,sumerian.1sg.0001
sume1241,2sg,sumerian.2sg.0288
sume1241,blood,sumerian.blood.0478
sume1241,blood,sumerian.blood.0505
sume1241,bone,sumerian.bone.0340
sume1241,breast,sumerian.breast.0144
sume1241,come,sumerian.come.0001
sume1241,come,sumerian.come.0637
sume1241,die,sumerian.die.0794
sume1241,die,sumerian.die.0795
sume1241,dog,sumerian.dog.0450
sume1241,drink,sumerian.drink.0842
sume1241,ear,sumerian.ear.0378
sume1241,eye,sumerian.eye.0646
sume1241,fire,sumerian.fire.0660
sume1241,fish,sumerian.fish.0611
sume1241,full,sumerian.full.0001
sume1241,full,sumerian.full.0873
sume1241,hand,sumerian.hand.0499
sume1241,hear,sumerian.hear.0914
sume1241,horn,sumerian.horn.0515
sume1241,knee,sumerian.knee.0558
sume1241,liver,sumerian.liver.0766
sume1241,louse,sumerian.louse.0263
sume1241,louse,sumerian.louse.0646
sume1241,mountain,sumerian.mountain.0002
sume1241,name,sumerian.name.0019
sume1241,new,sumerian.new.0630
sume1241,night,sumerian.night.0591
sume1241,nose,sumerian.nose.0705
sume1241,one,sumerian.one.0023
sume1241,one,sumerian.one.0044
sume1241,path,sumerian.path.0003
sume1241,path,sumerian.path.0693
sume1241,person,sumerian.person.0888
sume1241,see,sumerian.see.0075
sume1241,skin,sumerian.skin.0772
sume1241,star,sumerian.star.0723
sume1241,stone,sumerian.stone.0974
sume1241,sun,sumerian.sun.0047
sume1241,tongue,sumerian.tongue.0001
sume1241,tooth,sumerian.tooth.0658
sume1241,tree,sumerian.tree.0594
sume1241,two,sumerian.two.0103
sume1241,water,sumerian.water.0498
