Language_ID,Feature_ID,Value
tama1331,1sg,tamaic.1sg.0348
tama1331,2sg,tamaic.2sg.0124
tama1331,blood,tamaic.blood.0032
tama1331,blood,tamaic.blood.0133
tama1331,bone,tamaic.bone.0013
tama1331,bone,tamaic.bone.0013
tama1331,bone,tamaic.bone.0013
tama1331,breast,tamaic.breast.0012
tama1331,come,tamaic.come.0143
tama1331,die,tamaic.die.0561
tama1331,dog,tamaic.dog.0128
tama1331,drink,tamaic.drink.0687
tama1331,drink,tamaic.drink.0688
tama1331,ear,tamaic.ear.0002
tama1331,eye,tamaic.eye.0006
tama1331,eye,tamaic.eye.0006
tama1331,fire,tamaic.fire.0057
tama1331,full,tamaic.full.0363
tama1331,full,tamaic.full.0363
tama1331,full,tamaic.full.0705
tama1331,full,tamaic.full.0706
tama1331,hand,tamaic.hand.0036
tama1331,hear,tamaic.hear.0740
tama1331,hear,tamaic.hear.0741
tama1331,horn,tamaic.horn.0214
tama1331,knee,tamaic.knee.0211
tama1331,knee,tamaic.knee.0372
tama1331,knee,tamaic.knee.0466
tama1331,leaf,tamaic.leaf.0015
tama1331,louse,tamaic.louse.0294
tama1331,louse,tamaic.louse.0294
tama1331,name,tamaic.name.0014
tama1331,name,tamaic.name.0014
tama1331,new,tamaic.new.0032
tama1331,new,tamaic.new.0032
tama1331,night,tamaic.night.0029
tama1331,nose,tamaic.nose.0045
tama1331,nose,tamaic.nose.0045
tama1331,one,tamaic.one.0143
tama1331,one,tamaic.one.0385
tama1331,path,tamaic.path.0017
tama1331,person,tamaic.person.0216
tama1331,see,tamaic.see.0001
tama1331,see,tamaic.see.0016
tama1331,skin,tamaic.skin.0006
tama1331,skin,tamaic.skin.0129
tama1331,star,tamaic.star.0037
tama1331,stone,tamaic.stone.0003
tama1331,stone,tamaic.stone.0018
tama1331,stone,tamaic.stone.0018
tama1331,stone,tamaic.stone.0369
tama1331,stone,tamaic.stone.0796
tama1331,sun,tamaic.sun.0037
tama1331,tongue,tamaic.tongue.0040
tama1331,tooth,tamaic.tooth.0002
tama1331,tooth,tamaic.tooth.0021
tama1331,tree,tamaic.tree.0063
tama1331,two,tamaic.two.0010
tama1331,water,tamaic.water.0009
