Language_ID,Feature_ID,Value
ticu1245,1pl,ticunayuri.1pl.0781
ticu1245,1sg,ticunayuri.1sg.0434
ticu1245,2sg,ticunayuri.2sg.0519
ticu1245,blood,ticunayuri.blood.0514
ticu1245,bone,ticunayuri.bone.0353
ticu1245,breast,ticunayuri.breast.0657
ticu1245,come,ticunayuri.come.0654
ticu1245,die,ticunayuri.die.0826
ticu1245,dog,ticunayuri.dog.0461
ticu1245,drink,ticunayuri.drink.0871
ticu1245,ear,ticunayuri.ear.0020
ticu1245,eye,ticunayuri.eye.0659
ticu1245,fish,ticunayuri.fish.0624
ticu1245,hand,ticunayuri.hand.0113
ticu1245,knee,ticunayuri.knee.0570
ticu1245,liver,ticunayuri.liver.0787
ticu1245,louse,ticunayuri.louse.0050
ticu1245,name,ticunayuri.name.0508
ticu1245,new,ticunayuri.new.0639
ticu1245,night,ticunayuri.night.0604
ticu1245,nose,ticunayuri.nose.0732
ticu1245,one,ticunayuri.one.0509
ticu1245,path,ticunayuri.path.0710
ticu1245,see,ticunayuri.see.0017
ticu1245,skin,ticunayuri.skin.0502
ticu1245,star,ticunayuri.star.0738
ticu1245,stone,ticunayuri.stone.0989
ticu1245,sun,ticunayuri.sun.0565
ticu1245,tongue,ticunayuri.tongue.0574
ticu1245,tooth,ticunayuri.tooth.0680
ticu1245,tree,ticunayuri.tree.0606
ticu1245,two,ticunayuri.two.0498
ticu1245,water,ticunayuri.water.0513
