Language_ID,Feature_ID,Value
nisg1240,1pl,tsimshian.1pl.0002
nucl1649,1pl,tsimshian.1pl.0001
nisg1240,1sg,tsimshian.1sg.0004
nucl1649,1sg,tsimshian.1sg.0003
nisg1240,2sg,tsimshian.2sg.0006
nucl1649,2sg,tsimshian.2sg.0005
nucl1649,2sg,tsimshian.2sg.0006
nisg1240,blood,tsimshian.blood.0007
nucl1649,blood,tsimshian.blood.0007
nisg1240,bone,tsimshian.bone.0009
nucl1649,bone,tsimshian.bone.0008
nucl1649,bone,tsimshian.bone.0010
nisg1240,breast,tsimshian.breast.0012
nucl1649,breast,tsimshian.breast.0011
nisg1240,come,tsimshian.come.0014
nucl1649,come,tsimshian.come.0013
nisg1240,die,tsimshian.die.0016
nucl1649,die,tsimshian.die.0015
nucl1649,die,tsimshian.die.0017
nisg1240,dog,tsimshian.dog.0018
nucl1649,dog,tsimshian.dog.0018
nisg1240,drink,tsimshian.drink.0020
nucl1649,drink,tsimshian.drink.0019
nucl1649,drink,tsimshian.drink.0019
nisg1240,ear,tsimshian.ear.0022
nucl1649,ear,tsimshian.ear.0021
nucl1649,ear,tsimshian.ear.0023
nisg1240,eye,tsimshian.eye.0024
nucl1649,eye,tsimshian.eye.0024
nisg1240,fire,tsimshian.fire.0026
nucl1649,fire,tsimshian.fire.0025
nucl1649,fire,tsimshian.fire.0025
nisg1240,fish,tsimshian.fish.0027
nucl1649,fish,tsimshian.fish.0027
nisg1240,full,tsimshian.full.0029
nucl1649,full,tsimshian.full.0028
nisg1240,hand,tsimshian.hand.0031
nucl1649,hand,tsimshian.hand.0030
nisg1240,hear,tsimshian.hear.0033
nucl1649,hear,tsimshian.hear.0032
nucl1649,hear,tsimshian.hear.0032
nisg1240,horn,?
nucl1649,horn,tsimshian.horn.0034
nisg1240,knee,tsimshian.knee.0036
nucl1649,knee,tsimshian.knee.0035
nisg1240,leaf,tsimshian.leaf.0037
nucl1649,leaf,tsimshian.leaf.0037
nisg1240,liver,tsimshian.liver.0038
nucl1649,liver,tsimshian.liver.0038
nucl1649,liver,tsimshian.liver.0038
nisg1240,louse,tsimshian.louse.0039
nucl1649,louse,tsimshian.louse.0039
nisg1240,mountain,tsimshian.mountain.0040
nucl1649,mountain,tsimshian.mountain.0040
nucl1649,mountain,tsimshian.mountain.0040
nisg1240,name,tsimshian.name.0041
nucl1649,name,tsimshian.name.0041
nucl1649,name,tsimshian.name.0041
nisg1240,new,tsimshian.new.0042
nucl1649,new,tsimshian.new.0042
nisg1240,night,tsimshian.night.0044
nucl1649,night,tsimshian.night.0043
nisg1240,nose,tsimshian.nose.0046
nucl1649,nose,tsimshian.nose.0045
nisg1240,one,tsimshian.one.0047
nisg1240,one,tsimshian.one.0047
nucl1649,one,tsimshian.one.0047
nisg1240,path,tsimshian.path.0049
nucl1649,path,tsimshian.path.0048
nisg1240,person,tsimshian.person.0050
nucl1649,person,tsimshian.person.0050
nucl1649,person,tsimshian.person.0050
nisg1240,see,tsimshian.see.0052
nucl1649,see,tsimshian.see.0051
nucl1649,see,tsimshian.see.0053
nisg1240,skin,tsimshian.skin.0054
nucl1649,skin,tsimshian.skin.0054
nisg1240,star,tsimshian.star.0056
nucl1649,star,tsimshian.star.0055
nisg1240,stone,tsimshian.stone.0057
nucl1649,stone,tsimshian.stone.0057
nucl1649,stone,tsimshian.stone.0057
nisg1240,sun,tsimshian.sun.0059
nucl1649,sun,tsimshian.sun.0058
nisg1240,tongue,tsimshian.tongue.0060
nucl1649,tongue,tsimshian.tongue.0060
nisg1240,tooth,tsimshian.tooth.0061
nucl1649,tooth,tsimshian.tooth.0061
nucl1649,tooth,tsimshian.tooth.0061
nisg1240,tree,tsimshian.tree.0062
nucl1649,tree,tsimshian.tree.0062
nisg1240,two,tsimshian.two.0063
nisg1240,two,tsimshian.two.0064
nucl1649,two,tsimshian.two.0063
nisg1240,water,tsimshian.water.0065
nucl1649,water,tsimshian.water.0065
