Language_ID,Feature_ID,Value
tuni1252,1pl,tunica.1pl.0793
tuni1252,1sg,tunica.1sg.0027
tuni1252,2sg,tunica.2sg.0512
tuni1252,blood,tunica.blood.0526
tuni1252,bone,tunica.bone.0018
tuni1252,breast,tunica.breast.0012
tuni1252,come,tunica.come.0114
tuni1252,die,tunica.die.0847
tuni1252,dog,tunica.dog.0312
tuni1252,drink,tunica.drink.0884
tuni1252,ear,tunica.ear.0391
tuni1252,eye,tunica.eye.0267
tuni1252,fire,tunica.fire.0682
tuni1252,fish,tunica.fish.0633
tuni1252,full,tunica.full.0018
tuni1252,hand,tunica.hand.0523
tuni1252,hear,tunica.hear.0955
tuni1252,horn,tunica.horn.0540
tuni1252,knee,tunica.knee.0583
tuni1252,leaf,tunica.leaf.0513
tuni1252,liver,tunica.liver.0804
tuni1252,louse,tunica.louse.0675
tuni1252,mountain,tunica.mountain.0054
tuni1252,name,tunica.name.0504
tuni1252,new,tunica.new.0339
tuni1252,night,tunica.night.0616
tuni1252,nose,tunica.nose.0741
tuni1252,one,tunica.one.0026
tuni1252,path,tunica.path.0720
tuni1252,person,tunica.person.0937
tuni1252,see,tunica.see.0573
tuni1252,skin,tunica.skin.0799
tuni1252,star,tunica.star.0012
tuni1252,stone,tunica.stone.1006
tuni1252,sun,tunica.sun.0044
tuni1252,tongue,tunica.tongue.0588
tuni1252,tooth,tunica.tooth.0185
tuni1252,tooth,tunica.tooth.0697
tuni1252,tree,tunica.tree.0217
tuni1252,two,tunica.two.0001
tuni1252,water,tunica.water.0002
