Language_ID,Feature_ID,Value
bari1298,1pl,turamakikori.1pl.0002
bari1298,1pl,turamakikori.1pl.0003
ikob1240,1pl,turamakikori.1pl.0001
ikob1240,1pl,turamakikori.1pl.0003
rumu1243,1pl,turamakikori.1pl.0003
bari1298,1sg,turamakikori.1sg.0004
ikob1240,1sg,turamakikori.1sg.0004
ikob1240,1sg,turamakikori.1sg.0004
rumu1243,1sg,turamakikori.1sg.0004
rumu1243,1sg,turamakikori.1sg.0005
bari1298,2sg,turamakikori.2sg.0006
ikob1240,2sg,turamakikori.2sg.0006
ikob1240,2sg,turamakikori.2sg.0006
rumu1243,2sg,turamakikori.2sg.0007
rumu1243,2sg,turamakikori.2sg.0008
bari1298,blood,turamakikori.blood.0009
ikob1240,blood,turamakikori.blood.0009
rumu1243,blood,turamakikori.blood.0010
bari1298,bone,turamakikori.bone.0011
ikob1240,bone,turamakikori.bone.0011
rumu1243,bone,turamakikori.bone.0012
bari1298,breast,turamakikori.breast.0013
ikob1240,breast,turamakikori.breast.0013
ikob1240,breast,turamakikori.breast.0013
rumu1243,breast,turamakikori.breast.0013
rumu1243,breast,turamakikori.breast.0014
bari1298,come,turamakikori.come.0016
ikob1240,come,turamakikori.come.0015
rumu1243,come,turamakikori.come.0017
bari1298,die,turamakikori.die.0019
ikob1240,die,turamakikori.die.0018
rumu1243,die,turamakikori.die.0020
bari1298,dog,turamakikori.dog.0021
ikob1240,dog,turamakikori.dog.0021
rumu1243,dog,turamakikori.dog.0021
rumu1243,dog,turamakikori.dog.0021
bari1298,drink,turamakikori.drink.0023
ikob1240,drink,turamakikori.drink.0022
rumu1243,drink,turamakikori.drink.0024
bari1298,ear,turamakikori.ear.0025
ikob1240,ear,turamakikori.ear.0025
rumu1243,ear,turamakikori.ear.0026
bari1298,eye,turamakikori.eye.0028
ikob1240,eye,turamakikori.eye.0027
rumu1243,eye,turamakikori.eye.0028
bari1298,fire,turamakikori.fire.0029
ikob1240,fire,turamakikori.fire.0029
rumu1243,fire,turamakikori.fire.0030
bari1298,fish,turamakikori.fish.0031
ikob1240,fish,turamakikori.fish.0031
rumu1243,fish,turamakikori.fish.0032
bari1298,full,turamakikori.full.0034
ikob1240,full,turamakikori.full.0033
rumu1243,full,?
bari1298,hand,turamakikori.hand.0036
ikob1240,hand,turamakikori.hand.0035
rumu1243,hand,turamakikori.hand.0037
bari1298,hear,turamakikori.hear.0039
ikob1240,hear,turamakikori.hear.0038
rumu1243,hear,turamakikori.hear.0040
bari1298,horn,turamakikori.horn.0041
ikob1240,horn,turamakikori.horn.0041
rumu1243,horn,turamakikori.horn.0042
bari1298,knee,turamakikori.knee.0044
ikob1240,knee,turamakikori.knee.0043
rumu1243,knee,turamakikori.knee.0045
bari1298,leaf,turamakikori.leaf.0046
ikob1240,leaf,turamakikori.leaf.0046
rumu1243,leaf,turamakikori.leaf.0047
bari1298,liver,turamakikori.liver.0049
ikob1240,liver,turamakikori.liver.0048
rumu1243,liver,turamakikori.liver.0050
bari1298,louse,turamakikori.louse.0051
ikob1240,louse,turamakikori.louse.0051
rumu1243,louse,turamakikori.louse.0052
rumu1243,louse,turamakikori.louse.0053
bari1298,mountain,turamakikori.mountain.0055
ikob1240,mountain,turamakikori.mountain.0054
rumu1243,mountain,turamakikori.mountain.0056
bari1298,name,turamakikori.name.0057
ikob1240,name,turamakikori.name.0057
rumu1243,name,turamakikori.name.0057
rumu1243,name,turamakikori.name.0058
bari1298,new,turamakikori.new.0060
ikob1240,new,turamakikori.new.0059
rumu1243,new,turamakikori.new.0061
rumu1243,new,turamakikori.new.0062
bari1298,night,turamakikori.night.0064
ikob1240,night,turamakikori.night.0063
rumu1243,night,turamakikori.night.0065
bari1298,nose,turamakikori.nose.0067
ikob1240,nose,turamakikori.nose.0066
rumu1243,nose,turamakikori.nose.0068
bari1298,one,turamakikori.one.0069
ikob1240,one,turamakikori.one.0069
rumu1243,one,turamakikori.one.0070
bari1298,path,turamakikori.path.0071
ikob1240,path,turamakikori.path.0071
rumu1243,path,?
bari1298,person,?
ikob1240,person,turamakikori.person.0072
rumu1243,person,turamakikori.person.0073
bari1298,see,turamakikori.see.0075
ikob1240,see,turamakikori.see.0074
rumu1243,see,turamakikori.see.0076
bari1298,skin,turamakikori.skin.0078
ikob1240,skin,turamakikori.skin.0077
rumu1243,skin,turamakikori.skin.0079
bari1298,star,turamakikori.star.0081
ikob1240,star,turamakikori.star.0080
rumu1243,star,turamakikori.star.0082
rumu1243,star,turamakikori.star.0083
bari1298,stone,turamakikori.stone.0084
ikob1240,stone,turamakikori.stone.0084
rumu1243,stone,turamakikori.stone.0085
bari1298,sun,turamakikori.sun.0087
ikob1240,sun,turamakikori.sun.0086
ikob1240,sun,turamakikori.sun.0086
rumu1243,sun,?
bari1298,tongue,turamakikori.tongue.0088
ikob1240,tongue,turamakikori.tongue.0088
rumu1243,tongue,turamakikori.tongue.0089
bari1298,tooth,turamakikori.tooth.0091
ikob1240,tooth,turamakikori.tooth.0090
rumu1243,tooth,turamakikori.tooth.0092
bari1298,tree,?
ikob1240,tree,?
rumu1243,tree,turamakikori.tree.0093
bari1298,two,turamakikori.two.0095
ikob1240,two,turamakikori.two.0094
rumu1243,two,turamakikori.two.0096
bari1298,water,turamakikori.water.0098
ikob1240,water,turamakikori.water.0097
rumu1243,water,turamakikori.water.0099
