Language_ID,Feature_ID,Value
vile1241,1pl,vilela.1pl.0800
vile1241,1sg,vilela.1sg.0007
vile1241,2sg,vilela.2sg.0055
vile1241,blood,vilela.blood.0012
vile1241,bone,vilela.bone.0038
vile1241,breast,vilela.breast.0677
vile1241,come,vilela.come.0671
vile1241,die,vilela.die.0858
vile1241,die,vilela.die.0859
vile1241,dog,vilela.dog.0116
vile1241,drink,vilela.drink.0132
vile1241,ear,vilela.ear.0398
vile1241,eye,vilela.eye.0680
vile1241,fire,vilela.fire.0247
vile1241,fire,vilela.fire.0695
vile1241,fish,vilela.fish.0642
vile1241,hand,vilela.hand.0015
vile1241,hear,vilela.hear.0979
vile1241,horn,vilela.horn.0549
vile1241,knee,vilela.knee.0003
vile1241,leaf,vilela.leaf.0519
vile1241,liver,vilela.liver.0817
vile1241,louse,vilela.louse.0686
vile1241,mountain,vilela.mountain.0099
vile1241,name,vilela.name.0092
vile1241,night,vilela.night.0067
vile1241,night,vilela.night.0067
vile1241,nose,vilela.nose.0072
vile1241,one,vilela.one.0067
vile1241,path,vilela.path.0026
vile1241,person,vilela.person.0038
vile1241,person,vilela.person.0051
vile1241,person,vilela.person.0051
vile1241,person,vilela.person.0329
vile1241,see,vilela.see.0579
vile1241,skin,vilela.skin.0006
vile1241,star,vilela.star.0243
vile1241,stone,vilela.stone.1029
vile1241,sun,vilela.sun.0147
vile1241,tongue,vilela.tongue.0221
vile1241,tooth,vilela.tooth.0708
vile1241,tooth,vilela.tooth.0709
vile1241,tree,vilela.tree.0534
vile1241,two,vilela.two.0553
vile1241,water,vilela.water.0054
