Language_ID,Feature_ID,Value
wage1238,1pl,wagiman.1pl.0084
wage1238,1sg,wagiman.1sg.0070
wage1238,2sg,wagiman.2sg.0285
wage1238,2sg,wagiman.2sg.0538
wage1238,blood,wagiman.blood.0036
wage1238,bone,wagiman.bone.0002
wage1238,breast,wagiman.breast.0205
wage1238,come,wagiman.come.0005
wage1238,die,wagiman.die.0009
wage1238,dog,wagiman.dog.0474
wage1238,drink,wagiman.drink.0894
wage1238,drink,wagiman.drink.0895
wage1238,ear,wagiman.ear.0399
wage1238,ear,wagiman.ear.0400
wage1238,eye,wagiman.eye.0231
wage1238,fire,wagiman.fire.0290
wage1238,fish,wagiman.fish.0046
wage1238,full,wagiman.full.0949
wage1238,full,wagiman.full.0950
wage1238,hand,wagiman.hand.0220
wage1238,hear,wagiman.hear.0980
wage1238,hear,wagiman.hear.0981
wage1238,knee,wagiman.knee.0208
wage1238,leaf,wagiman.leaf.0085
wage1238,leaf,wagiman.leaf.0521
wage1238,liver,wagiman.liver.0821
wage1238,louse,wagiman.louse.0008
wage1238,mountain,wagiman.mountain.0049
wage1238,mountain,wagiman.mountain.0636
wage1238,name,wagiman.name.0520
wage1238,new,wagiman.new.0434
wage1238,new,wagiman.new.0656
wage1238,night,wagiman.night.0047
wage1238,night,wagiman.night.0628
wage1238,nose,wagiman.nose.0753
wage1238,one,wagiman.one.0520
wage1238,path,wagiman.path.0401
wage1238,person,wagiman.person.0336
wage1238,see,wagiman.see.0003
wage1238,see,wagiman.see.0582
wage1238,skin,wagiman.skin.0100
wage1238,star,wagiman.star.0764
wage1238,stone,wagiman.stone.1035
wage1238,sun,wagiman.sun.0576
wage1238,tongue,wagiman.tongue.0039
wage1238,tooth,wagiman.tooth.0712
wage1238,tree,wagiman.tree.0001
wage1238,tree,wagiman.tree.0625
wage1238,two,wagiman.two.0002
wage1238,water,wagiman.water.0193
wage1238,water,wagiman.water.0530
