Language_ID,Feature_ID,Value
badi1247,1pl,moreheadwasur.1pl.0002
kunj1246,1pl,?
namb1293,1pl,moreheadwasur.1pl.0003
namo1246,1pl,?
ngka1235,1pl,moreheadwasur.1pl.0002
smar1235,1pl,moreheadwasur.1pl.0002
sota1242,1pl,moreheadwasur.1pl.0002
wara1294,1pl,moreheadwasur.1pl.0002
yeii1239,1pl,moreheadwasur.1pl.0001
yeii1239,1pl,moreheadwasur.1pl.0001
yeii1239,1pl,moreheadwasur.1pl.0004
badi1247,1sg,moreheadwasur.1sg.0010
kunj1246,1sg,moreheadwasur.1sg.0009
namb1293,1sg,moreheadwasur.1sg.0007
namo1246,1sg,moreheadwasur.1sg.0008
ngka1235,1sg,moreheadwasur.1sg.0010
smar1235,1sg,moreheadwasur.1sg.0010
sota1242,1sg,moreheadwasur.1sg.0010
wara1294,1sg,moreheadwasur.1sg.0006
yeii1239,1sg,moreheadwasur.1sg.0005
yeii1239,1sg,moreheadwasur.1sg.0005
yeii1239,1sg,moreheadwasur.1sg.0011
badi1247,2sg,moreheadwasur.2sg.0013
kunj1246,2sg,?
namb1293,2sg,moreheadwasur.2sg.0014
namo1246,2sg,moreheadwasur.2sg.0014
ngka1235,2sg,moreheadwasur.2sg.0013
smar1235,2sg,moreheadwasur.2sg.0013
sota1242,2sg,moreheadwasur.2sg.0013
wara1294,2sg,moreheadwasur.2sg.0013
yeii1239,2sg,moreheadwasur.2sg.0012
yeii1239,2sg,moreheadwasur.2sg.0012
yeii1239,2sg,moreheadwasur.2sg.0014
badi1247,blood,moreheadwasur.blood.0021
kunj1246,blood,moreheadwasur.blood.0019
namb1293,blood,moreheadwasur.blood.0017
namo1246,blood,moreheadwasur.blood.0018
ngka1235,blood,moreheadwasur.blood.0021
smar1235,blood,moreheadwasur.blood.0020
sota1242,blood,moreheadwasur.blood.0020
wara1294,blood,moreheadwasur.blood.0016
yeii1239,blood,moreheadwasur.blood.0015
yeii1239,blood,moreheadwasur.blood.0015
badi1247,bone,moreheadwasur.bone.0026
kunj1246,bone,moreheadwasur.bone.0023
namb1293,bone,moreheadwasur.bone.0024
namo1246,bone,moreheadwasur.bone.0024
namo1246,bone,moreheadwasur.bone.0024
ngka1235,bone,moreheadwasur.bone.0026
smar1235,bone,moreheadwasur.bone.0025
sota1242,bone,moreheadwasur.bone.0026
wara1294,bone,moreheadwasur.bone.0023
yeii1239,bone,moreheadwasur.bone.0022
yeii1239,bone,moreheadwasur.bone.0025
yeii1239,bone,moreheadwasur.bone.0025
badi1247,breast,moreheadwasur.breast.0031
kunj1246,breast,moreheadwasur.breast.0030
namb1293,breast,moreheadwasur.breast.0029
namo1246,breast,moreheadwasur.breast.0029
ngka1235,breast,moreheadwasur.breast.0031
smar1235,breast,moreheadwasur.breast.0031
sota1242,breast,moreheadwasur.breast.0031
wara1294,breast,moreheadwasur.breast.0028
yeii1239,breast,moreheadwasur.breast.0027
yeii1239,breast,moreheadwasur.breast.0032
yeii1239,breast,moreheadwasur.breast.0032
badi1247,come,?
kunj1246,come,moreheadwasur.come.0036
namb1293,come,moreheadwasur.come.0035
namo1246,come,moreheadwasur.come.0036
ngka1235,come,?
smar1235,come,?
sota1242,come,?
wara1294,come,moreheadwasur.come.0034
yeii1239,come,moreheadwasur.come.0033
yeii1239,come,moreheadwasur.come.0033
yeii1239,come,moreheadwasur.come.0037
badi1247,die,?
kunj1246,die,moreheadwasur.die.0042
namb1293,die,moreheadwasur.die.0040
namo1246,die,moreheadwasur.die.0041
ngka1235,die,?
smar1235,die,?
sota1242,die,?
wara1294,die,moreheadwasur.die.0039
yeii1239,die,moreheadwasur.die.0038
yeii1239,die,moreheadwasur.die.0038
yeii1239,die,moreheadwasur.die.0043
badi1247,dog,moreheadwasur.dog.0050
kunj1246,dog,moreheadwasur.dog.0048
namb1293,dog,moreheadwasur.dog.0046
namo1246,dog,moreheadwasur.dog.0047
ngka1235,dog,moreheadwasur.dog.0050
smar1235,dog,moreheadwasur.dog.0049
sota1242,dog,moreheadwasur.dog.0049
wara1294,dog,moreheadwasur.dog.0045
yeii1239,dog,moreheadwasur.dog.0044
yeii1239,dog,moreheadwasur.dog.0051
yeii1239,dog,moreheadwasur.dog.0052
badi1247,drink,?
kunj1246,drink,moreheadwasur.drink.0056
namb1293,drink,moreheadwasur.drink.0055
namo1246,drink,moreheadwasur.drink.0055
ngka1235,drink,?
smar1235,drink,?
sota1242,drink,?
wara1294,drink,moreheadwasur.drink.0054
yeii1239,drink,moreheadwasur.drink.0053
yeii1239,drink,moreheadwasur.drink.0053
badi1247,ear,moreheadwasur.ear.0063
kunj1246,ear,moreheadwasur.ear.0061
namb1293,ear,moreheadwasur.ear.0059
namo1246,ear,moreheadwasur.ear.0060
ngka1235,ear,moreheadwasur.ear.0063
smar1235,ear,moreheadwasur.ear.0062
sota1242,ear,moreheadwasur.ear.0062
wara1294,ear,moreheadwasur.ear.0058
yeii1239,ear,moreheadwasur.ear.0057
yeii1239,ear,moreheadwasur.ear.0057
badi1247,eye,moreheadwasur.eye.0067
kunj1246,eye,moreheadwasur.eye.0066
namb1293,eye,moreheadwasur.eye.0064
namo1246,eye,moreheadwasur.eye.0064
namo1246,eye,moreheadwasur.eye.0064
ngka1235,eye,moreheadwasur.eye.0067
smar1235,eye,moreheadwasur.eye.0064
sota1242,eye,moreheadwasur.eye.0067
wara1294,eye,moreheadwasur.eye.0065
yeii1239,eye,moreheadwasur.eye.0064
yeii1239,eye,moreheadwasur.eye.0064
yeii1239,eye,moreheadwasur.eye.0068
badi1247,fire,moreheadwasur.fire.0072
kunj1246,fire,moreheadwasur.fire.0070
namb1293,fire,moreheadwasur.fire.0069
namo1246,fire,moreheadwasur.fire.0069
ngka1235,fire,moreheadwasur.fire.0073
smar1235,fire,moreheadwasur.fire.0071
sota1242,fire,moreheadwasur.fire.0072
wara1294,fire,moreheadwasur.fire.0070
yeii1239,fire,moreheadwasur.fire.0069
yeii1239,fire,moreheadwasur.fire.0069
yeii1239,fire,moreheadwasur.fire.0069
badi1247,fish,moreheadwasur.fish.0079
kunj1246,fish,moreheadwasur.fish.0078
namb1293,fish,moreheadwasur.fish.0076
namo1246,fish,moreheadwasur.fish.0077
ngka1235,fish,moreheadwasur.fish.0079
smar1235,fish,moreheadwasur.fish.0079
sota1242,fish,moreheadwasur.fish.0079
wara1294,fish,moreheadwasur.fish.0075
yeii1239,fish,moreheadwasur.fish.0074
yeii1239,fish,moreheadwasur.fish.0074
badi1247,full,moreheadwasur.full.0083
kunj1246,full,moreheadwasur.full.0081
namb1293,full,?
namo1246,full,moreheadwasur.full.0080
ngka1235,full,moreheadwasur.full.0083
smar1235,full,moreheadwasur.full.0082
sota1242,full,moreheadwasur.full.0083
wara1294,full,?
yeii1239,full,?
badi1247,hand,moreheadwasur.hand.0089
kunj1246,hand,?
namb1293,hand,moreheadwasur.hand.0086
namo1246,hand,?
ngka1235,hand,moreheadwasur.hand.0089
smar1235,hand,moreheadwasur.hand.0087
sota1242,hand,moreheadwasur.hand.0088
wara1294,hand,moreheadwasur.hand.0085
yeii1239,hand,moreheadwasur.hand.0084
yeii1239,hand,moreheadwasur.hand.0084
yeii1239,hand,moreheadwasur.hand.0090
badi1247,hear,?
kunj1246,hear,?
namb1293,hear,moreheadwasur.hear.0093
namo1246,hear,?
ngka1235,hear,?
smar1235,hear,?
sota1242,hear,?
wara1294,hear,moreheadwasur.hear.0092
yeii1239,hear,moreheadwasur.hear.0091
yeii1239,hear,moreheadwasur.hear.0091
yeii1239,hear,moreheadwasur.hear.0094
badi1247,knee,?
kunj1246,knee,moreheadwasur.knee.0099
namb1293,knee,moreheadwasur.knee.0097
namo1246,knee,moreheadwasur.knee.0098
ngka1235,knee,?
smar1235,knee,?
sota1242,knee,?
wara1294,knee,moreheadwasur.knee.0096
yeii1239,knee,moreheadwasur.knee.0095
yeii1239,knee,moreheadwasur.knee.0095
yeii1239,knee,moreheadwasur.knee.0100
badi1247,leaf,moreheadwasur.leaf.0107
kunj1246,leaf,moreheadwasur.leaf.0104
namb1293,leaf,?
namo1246,leaf,moreheadwasur.leaf.0103
ngka1235,leaf,moreheadwasur.leaf.0107
smar1235,leaf,moreheadwasur.leaf.0105
sota1242,leaf,moreheadwasur.leaf.0106
wara1294,leaf,moreheadwasur.leaf.0102
yeii1239,leaf,moreheadwasur.leaf.0101
yeii1239,leaf,moreheadwasur.leaf.0102
badi1247,liver,?
kunj1246,liver,moreheadwasur.liver.0108
namb1293,liver,moreheadwasur.liver.0109
namo1246,liver,moreheadwasur.liver.0110
ngka1235,liver,?
smar1235,liver,?
sota1242,liver,?
wara1294,liver,moreheadwasur.liver.0108
yeii1239,liver,moreheadwasur.liver.0111
badi1247,louse,moreheadwasur.louse.0116
kunj1246,louse,moreheadwasur.louse.0113
namb1293,louse,moreheadwasur.louse.0114
namo1246,louse,moreheadwasur.louse.0115
ngka1235,louse,moreheadwasur.louse.0116
smar1235,louse,moreheadwasur.louse.0116
sota1242,louse,moreheadwasur.louse.0116
wara1294,louse,moreheadwasur.louse.0113
yeii1239,louse,moreheadwasur.louse.0112
yeii1239,louse,moreheadwasur.louse.0112
badi1247,mountain,?
kunj1246,mountain,moreheadwasur.mountain.0119
namb1293,mountain,?
namo1246,mountain,moreheadwasur.mountain.0118
ngka1235,mountain,?
smar1235,mountain,?
sota1242,mountain,?
wara1294,mountain,moreheadwasur.mountain.0117
wara1294,mountain,moreheadwasur.mountain.0121
yeii1239,mountain,moreheadwasur.mountain.0120
badi1247,name,moreheadwasur.name.0126
kunj1246,name,moreheadwasur.name.0126
namb1293,name,moreheadwasur.name.0124
namo1246,name,moreheadwasur.name.0125
ngka1235,name,moreheadwasur.name.0126
smar1235,name,moreheadwasur.name.0126
sota1242,name,moreheadwasur.name.0126
wara1294,name,moreheadwasur.name.0123
yeii1239,name,moreheadwasur.name.0122
yeii1239,name,moreheadwasur.name.0122
yeii1239,name,moreheadwasur.name.0127
badi1247,new,moreheadwasur.new.0132
kunj1246,new,?
namb1293,new,?
namo1246,new,?
ngka1235,new,moreheadwasur.new.0133
smar1235,new,moreheadwasur.new.0130
sota1242,new,moreheadwasur.new.0131
wara1294,new,moreheadwasur.new.0129
yeii1239,new,moreheadwasur.new.0128
yeii1239,new,moreheadwasur.new.0128
yeii1239,new,moreheadwasur.new.0134
badi1247,night,moreheadwasur.night.0141
kunj1246,night,moreheadwasur.night.0136
namb1293,night,moreheadwasur.night.0137
namo1246,night,moreheadwasur.night.0138
ngka1235,night,moreheadwasur.night.0141
smar1235,night,moreheadwasur.night.0139
sota1242,night,moreheadwasur.night.0140
wara1294,night,moreheadwasur.night.0136
yeii1239,night,moreheadwasur.night.0135
yeii1239,night,moreheadwasur.night.0135
yeii1239,night,moreheadwasur.night.0142
badi1247,nose,moreheadwasur.nose.0149
kunj1246,nose,moreheadwasur.nose.0147
namb1293,nose,moreheadwasur.nose.0145
namo1246,nose,moreheadwasur.nose.0146
ngka1235,nose,moreheadwasur.nose.0149
smar1235,nose,moreheadwasur.nose.0148
sota1242,nose,moreheadwasur.nose.0149
wara1294,nose,moreheadwasur.nose.0144
yeii1239,nose,moreheadwasur.nose.0143
yeii1239,nose,moreheadwasur.nose.0143
badi1247,one,moreheadwasur.one.0150
kunj1246,one,moreheadwasur.one.0150
namb1293,one,moreheadwasur.one.0151
namo1246,one,moreheadwasur.one.0150
ngka1235,one,moreheadwasur.one.0150
smar1235,one,moreheadwasur.one.0150
sota1242,one,moreheadwasur.one.0150
