Language_ID,Feature_ID,Value
ward1246,1pl,yangmanic.1pl.0001
yang1288,1pl,?
ward1246,1sg,yangmanic.1sg.0002
yang1288,1sg,yangmanic.1sg.0002
ward1246,2sg,yangmanic.2sg.0003
ward1246,2sg,yangmanic.2sg.0004
yang1288,2sg,?
ward1246,blood,yangmanic.blood.0005
ward1246,blood,yangmanic.blood.0007
yang1288,blood,yangmanic.blood.0006
ward1246,bone,yangmanic.bone.0008
ward1246,bone,yangmanic.bone.0008
yang1288,bone,yangmanic.bone.0008
ward1246,breast,yangmanic.breast.0009
yang1288,breast,?
ward1246,come,yangmanic.come.0010
yang1288,come,yangmanic.come.0010
ward1246,die,yangmanic.die.0011
ward1246,die,yangmanic.die.0013
yang1288,die,yangmanic.die.0012
ward1246,dog,yangmanic.dog.0014
ward1246,dog,yangmanic.dog.0016
yang1288,dog,yangmanic.dog.0015
ward1246,drink,yangmanic.drink.0017
yang1288,drink,yangmanic.drink.0018
ward1246,ear,yangmanic.ear.0019
ward1246,ear,yangmanic.ear.0020
yang1288,ear,yangmanic.ear.0020
ward1246,eye,yangmanic.eye.0021
ward1246,eye,yangmanic.eye.0021
yang1288,eye,yangmanic.eye.0021
ward1246,fire,yangmanic.fire.0022
ward1246,fire,yangmanic.fire.0023
yang1288,fire,yangmanic.fire.0022
ward1246,fish,yangmanic.fish.0024
yang1288,fish,yangmanic.fish.0024
ward1246,full,yangmanic.full.0025
yang1288,full,yangmanic.full.0026
ward1246,hand,yangmanic.hand.0027
yang1288,hand,yangmanic.hand.0028
ward1246,hear,yangmanic.hear.0029
yang1288,hear,yangmanic.hear.0030
ward1246,horn,yangmanic.horn.0031
yang1288,horn,?
ward1246,knee,yangmanic.knee.0032
yang1288,knee,yangmanic.knee.0032
ward1246,leaf,yangmanic.leaf.0033
yang1288,leaf,yangmanic.leaf.0034
ward1246,liver,yangmanic.liver.0035
yang1288,liver,yangmanic.liver.0036
ward1246,louse,yangmanic.louse.0037
yang1288,louse,yangmanic.louse.0037
ward1246,mountain,yangmanic.mountain.0038
ward1246,mountain,yangmanic.mountain.0040
yang1288,mountain,yangmanic.mountain.0039
ward1246,name,yangmanic.name.0041
yang1288,name,yangmanic.name.0041
ward1246,new,yangmanic.new.0042
yang1288,new,yangmanic.new.0043
ward1246,night,yangmanic.night.0044
ward1246,night,yangmanic.night.0046
yang1288,night,yangmanic.night.0045
ward1246,one,yangmanic.one.0047
yang1288,one,yangmanic.one.0047
ward1246,path,yangmanic.path.0048
yang1288,path,yangmanic.path.0049
ward1246,person,yangmanic.person.0050
ward1246,person,yangmanic.person.0050
yang1288,person,yangmanic.person.0051
ward1246,see,yangmanic.see.0052
ward1246,see,yangmanic.see.0054
yang1288,see,yangmanic.see.0053
ward1246,skin,yangmanic.skin.0055
yang1288,skin,yangmanic.skin.0055
ward1246,star,yangmanic.star.0056
yang1288,star,yangmanic.star.0057
ward1246,stone,yangmanic.stone.0058
ward1246,stone,yangmanic.stone.0058
yang1288,stone,yangmanic.stone.0059
ward1246,sun,yangmanic.sun.0060
ward1246,sun,yangmanic.sun.0061
yang1288,sun,yangmanic.sun.0061
ward1246,tongue,yangmanic.tongue.0062
ward1246,tongue,yangmanic.tongue.0063
yang1288,tongue,yangmanic.tongue.0062
ward1246,tooth,yangmanic.tooth.0064
yang1288,tooth,yangmanic.tooth.0065
ward1246,tree,yangmanic.tree.0066
yang1288,tree,yangmanic.tree.0067
ward1246,two,yangmanic.two.0068
yang1288,two,?
ward1246,water,yangmanic.water.0069
ward1246,water,yangmanic.water.0069
yang1288,water,yangmanic.water.0069
