Language_ID,Feature_ID,Value
nina1238,1pl,yanomamic.1pl.0001
nina1238,1pl,yanomamic.1pl.0001
nina1238,1pl,yanomamic.1pl.0001
nina1238,1pl,yanomamic.1pl.0001
nina1238,1pl,yanomamic.1pl.0001
nina1238,1pl,yanomamic.1pl.0001
sanu1240,1pl,yanomamic.1pl.0001
sanu1240,1pl,yanomamic.1pl.0001
sanu1240,1pl,yanomamic.1pl.0001
yano1261,1pl,yanomamic.1pl.0001
yano1261,1pl,yanomamic.1pl.0001
yano1261,1pl,yanomamic.1pl.0001
yano1262,1pl,yanomamic.1pl.0001
yano1262,1pl,yanomamic.1pl.0001
nina1238,1sg,yanomamic.1sg.0002
nina1238,1sg,yanomamic.1sg.0002
nina1238,1sg,yanomamic.1sg.0002
nina1238,1sg,yanomamic.1sg.0003
nina1238,1sg,yanomamic.1sg.0003
nina1238,1sg,yanomamic.1sg.0004
sanu1240,1sg,yanomamic.1sg.0002
sanu1240,1sg,yanomamic.1sg.0003
sanu1240,1sg,yanomamic.1sg.0003
yano1261,1sg,yanomamic.1sg.0002
yano1261,1sg,yanomamic.1sg.0003
yano1262,1sg,yanomamic.1sg.0002
yano1262,1sg,yanomamic.1sg.0003
yano1262,1sg,yanomamic.1sg.0003
nina1238,2sg,yanomamic.2sg.0005
nina1238,2sg,yanomamic.2sg.0005
nina1238,2sg,yanomamic.2sg.0005
nina1238,2sg,yanomamic.2sg.0005
nina1238,2sg,yanomamic.2sg.0006
nina1238,2sg,yanomamic.2sg.0006
sanu1240,2sg,yanomamic.2sg.0005
sanu1240,2sg,yanomamic.2sg.0005
sanu1240,2sg,yanomamic.2sg.0006
yano1261,2sg,yanomamic.2sg.0005
yano1261,2sg,yanomamic.2sg.0005
yano1262,2sg,yanomamic.2sg.0005
yano1262,2sg,yanomamic.2sg.0005
yano1262,2sg,yanomamic.2sg.0006
nina1238,blood,yanomamic.blood.0007
nina1238,blood,yanomamic.blood.0007
nina1238,blood,yanomamic.blood.0008
nina1238,blood,yanomamic.blood.0008
nina1238,blood,yanomamic.blood.0008
sanu1240,blood,yanomamic.blood.0008
sanu1240,blood,yanomamic.blood.0008
yano1261,blood,yanomamic.blood.0008
yano1262,blood,yanomamic.blood.0008
yano1262,blood,yanomamic.blood.0008
yano1262,blood,yanomamic.blood.0009
nina1238,bone,yanomamic.bone.0010
nina1238,bone,yanomamic.bone.0010
nina1238,bone,yanomamic.bone.0012
nina1238,bone,yanomamic.bone.0012
sanu1240,bone,yanomamic.bone.0011
yano1261,bone,yanomamic.bone.0012
yano1262,bone,yanomamic.bone.0012
nina1238,breast,yanomamic.breast.0013
nina1238,breast,yanomamic.breast.0013
nina1238,breast,yanomamic.breast.0013
nina1238,breast,yanomamic.breast.0013
nina1238,breast,yanomamic.breast.0013
sanu1240,breast,yanomamic.breast.0014
yano1261,breast,yanomamic.breast.0015
yano1262,breast,yanomamic.breast.0015
yano1262,breast,yanomamic.breast.0016
nina1238,come,yanomamic.come.0017
nina1238,come,yanomamic.come.0017
sanu1240,come,yanomamic.come.0018
sanu1240,come,yanomamic.come.0019
yano1261,come,yanomamic.come.0018
yano1262,come,yanomamic.come.0017
yano1262,come,yanomamic.come.0018
nina1238,die,yanomamic.die.0020
nina1238,die,yanomamic.die.0020
nina1238,die,yanomamic.die.0022
nina1238,die,yanomamic.die.0023
sanu1240,die,yanomamic.die.0021
sanu1240,die,yanomamic.die.0021
yano1261,die,yanomamic.die.0021
yano1262,die,yanomamic.die.0021
yano1262,die,yanomamic.die.0021
nina1238,dog,yanomamic.dog.0024
nina1238,dog,yanomamic.dog.0024
nina1238,dog,yanomamic.dog.0024
sanu1240,dog,yanomamic.dog.0025
sanu1240,dog,yanomamic.dog.0025
yano1261,dog,yanomamic.dog.0026
yano1262,dog,yanomamic.dog.0026
yano1262,dog,yanomamic.dog.0026
nina1238,drink,yanomamic.drink.0027
nina1238,drink,yanomamic.drink.0027
nina1238,drink,yanomamic.drink.0027
sanu1240,drink,yanomamic.drink.0027
sanu1240,drink,yanomamic.drink.0027
yano1261,drink,yanomamic.drink.0027
yano1262,drink,yanomamic.drink.0027
yano1262,drink,yanomamic.drink.0027
nina1238,ear,yanomamic.ear.0028
nina1238,ear,yanomamic.ear.0028
nina1238,ear,yanomamic.ear.0028
nina1238,ear,yanomamic.ear.0028
sanu1240,ear,yanomamic.ear.0028
sanu1240,ear,yanomamic.ear.0028
yano1261,ear,yanomamic.ear.0028
yano1262,ear,yanomamic.ear.0028
yano1262,ear,yanomamic.ear.0028
yano1262,ear,yanomamic.ear.0028
nina1238,eye,yanomamic.eye.0029
nina1238,eye,yanomamic.eye.0029
nina1238,eye,yanomamic.eye.0029
nina1238,eye,yanomamic.eye.0029
