Language_ID,Feature_ID,Value
yele1255,1pl,yelidnye.1pl.0843
yele1255,1pl,yelidnye.1pl.0844
yele1255,1sg,yelidnye.1sg.0007
yele1255,1sg,yelidnye.1sg.0055
yele1255,2sg,yelidnye.2sg.0049
yele1255,blood,yelidnye.blood.0101
yele1255,bone,yelidnye.bone.0154
yele1255,breast,yelidnye.breast.0704
yele1255,come,yelidnye.come.0709
yele1255,die,yelidnye.die.0919
yele1255,dog,yelidnye.dog.0497
yele1255,dog,yelidnye.dog.0498
yele1255,drink,yelidnye.drink.0944
yele1255,ear,yelidnye.ear.0414
yele1255,ear,yelidnye.ear.0415
yele1255,eye,yelidnye.eye.0716
yele1255,eye,yelidnye.eye.0717
yele1255,fire,yelidnye.fire.0073
yele1255,fire,yelidnye.fire.0216
yele1255,fish,yelidnye.fish.0678
yele1255,fish,yelidnye.fish.0679
yele1255,full,yelidnye.full.1007
yele1255,hand,yelidnye.hand.0224
yele1255,hand,yelidnye.hand.0551
yele1255,hear,yelidnye.hear.1026
yele1255,hear,yelidnye.hear.1027
yele1255,horn,yelidnye.horn.0573
yele1255,knee,yelidnye.knee.0610
yele1255,leaf,yelidnye.leaf.0535
yele1255,liver,yelidnye.liver.0853
yele1255,louse,yelidnye.louse.0183
yele1255,mountain,yelidnye.mountain.0014
yele1255,name,yelidnye.name.0545
yele1255,new,yelidnye.new.0648
yele1255,night,yelidnye.night.0101
yele1255,nose,yelidnye.nose.0795
yele1255,nose,yelidnye.nose.0796
yele1255,one,yelidnye.one.0023
yele1255,one,yelidnye.one.0547
yele1255,path,yelidnye.path.0365
yele1255,person,yelidnye.person.1001
yele1255,see,yelidnye.see.0606
yele1255,skin,yelidnye.skin.0006
yele1255,star,yelidnye.star.0012
yele1255,stone,yelidnye.stone.1090
yele1255,stone,yelidnye.stone.1091
yele1255,sun,yelidnye.sun.0030
yele1255,sun,yelidnye.sun.0030
yele1255,tongue,yelidnye.tongue.0615
yele1255,tooth,yelidnye.tooth.0021
yele1255,tooth,yelidnye.tooth.0415
yele1255,tree,yelidnye.tree.0655
yele1255,two,yelidnye.two.0013
yele1255,two,yelidnye.two.0581
yele1255,water,yelidnye.water.0001
yele1255,water,yelidnye.water.0001
