Language_ID,Feature_ID,Value
yera1243,1sg,yerakai.1sg.0055
yera1243,1sg,yerakai.1sg.0055
yera1243,blood,yerakai.blood.0063
yera1243,bone,yerakai.bone.0070
yera1243,bone,yerakai.bone.0070
yera1243,breast,yerakai.breast.0053
yera1243,breast,yerakai.breast.0300
yera1243,come,yerakai.come.0013
yera1243,dog,yerakai.dog.0011
yera1243,drink,yerakai.drink.0946
yera1243,ear,yerakai.ear.0071
yera1243,eye,yerakai.eye.0718
yera1243,fire,yerakai.fire.0156
yera1243,fish,yerakai.fish.0030
yera1243,full,yerakai.full.1011
yera1243,hand,yerakai.hand.0034
yera1243,hand,yerakai.hand.0034
yera1243,hear,yerakai.hear.0099
yera1243,knee,yerakai.knee.0075
yera1243,leaf,yerakai.leaf.0077
yera1243,liver,yerakai.liver.0323
yera1243,louse,yerakai.louse.0434
yera1243,mountain,yerakai.mountain.0080
yera1243,name,yerakai.name.0279
yera1243,new,yerakai.new.0085
yera1243,night,yerakai.night.0083
yera1243,nose,yerakai.nose.0797
yera1243,one,yerakai.one.0126
yera1243,path,yerakai.path.0051
yera1243,person,yerakai.person.0035
yera1243,see,yerakai.see.0011
yera1243,skin,yerakai.skin.0849
yera1243,stone,yerakai.stone.0180
yera1243,sun,yerakai.sun.0088
yera1243,tongue,yerakai.tongue.0126
yera1243,tooth,yerakai.tooth.0039
yera1243,tree,yerakai.tree.0059
yera1243,two,yerakai.two.0094
yera1243,water,yerakai.water.0075
