Language_ID,Feature_ID,Value
yoku1256,1pl,yokutsan.1pl.0001
yoku1256,1pl,yokutsan.1pl.0001
yoku1256,1sg,yokutsan.1sg.0002
yoku1256,1sg,yokutsan.1sg.0002
yoku1256,2sg,yokutsan.2sg.0003
yoku1256,2sg,yokutsan.2sg.0003
yoku1256,blood,yokutsan.blood.0004
yoku1256,blood,yokutsan.blood.0005
yoku1256,bone,yokutsan.bone.0006
yoku1256,bone,yokutsan.bone.0007
yoku1256,breast,yokutsan.breast.0008
yoku1256,breast,yokutsan.breast.0008
yoku1256,come,yokutsan.come.0009
yoku1256,come,yokutsan.come.0010
yoku1256,dog,yokutsan.dog.0012
yoku1256,dog,yokutsan.dog.0013
yoku1256,drink,yokutsan.drink.0014
yoku1256,drink,yokutsan.drink.0014
yoku1256,ear,yokutsan.ear.0015
yoku1256,ear,yokutsan.ear.0015
yoku1256,eye,yokutsan.eye.0017
yoku1256,eye,yokutsan.eye.0017
yoku1256,fire,yokutsan.fire.0018
yoku1256,fire,yokutsan.fire.0018
yoku1256,fish,yokutsan.fish.0019
yoku1256,fish,yokutsan.fish.0019
yoku1256,hand,yokutsan.hand.0022
yoku1256,hand,yokutsan.hand.0022
yoku1256,leaf,yokutsan.leaf.0026
yoku1256,leaf,yokutsan.leaf.0026
yoku1256,mountain,yokutsan.mountain.0030
yoku1256,mountain,yokutsan.mountain.0030
yoku1256,name,yokutsan.name.0035
yoku1256,name,yokutsan.name.0035
yoku1256,night,yokutsan.night.0037
yoku1256,night,yokutsan.night.0037
yoku1256,nose,yokutsan.nose.0038
yoku1256,nose,yokutsan.nose.0038
yoku1256,one,yokutsan.one.0039
yoku1256,one,yokutsan.one.0039
yoku1256,person,yokutsan.person.0045
yoku1256,person,yokutsan.person.0046
yoku1256,see,yokutsan.see.0050
yoku1256,see,yokutsan.see.0051
yoku1256,star,yokutsan.star.0055
yoku1256,star,yokutsan.star.0057
yoku1256,stone,yokutsan.stone.0060
yoku1256,stone,yokutsan.stone.0061
yoku1256,sun,yokutsan.sun.0064
yoku1256,sun,yokutsan.sun.0065
yoku1256,tongue,yokutsan.tongue.0068
yoku1256,tongue,yokutsan.tongue.0069
yoku1256,tooth,yokutsan.tooth.0070
yoku1256,tooth,yokutsan.tooth.0071
yoku1256,tree,yokutsan.tree.0072
yoku1256,tree,yokutsan.tree.0074
yoku1256,two,yokutsan.two.0075
yoku1256,two,yokutsan.two.0075
yoku1256,water,yokutsan.water.0076
yoku1256,water,yokutsan.water.0076
