Language_ID,Feature_ID,Value
yuch1247,1pl,yuchi.1pl.0163
yuch1247,1sg,yuchi.1sg.0157
yuch1247,2sg,yuchi.2sg.0569
yuch1247,blood,yuchi.blood.0552
yuch1247,bone,yuchi.bone.0002
yuch1247,breast,yuchi.breast.0147
yuch1247,come,yuchi.come.0203
yuch1247,dog,yuchi.dog.0020
yuch1247,dog,yuchi.dog.0135
yuch1247,drink,yuchi.drink.0950
yuch1247,ear,yuchi.ear.0317
yuch1247,eye,yuchi.eye.0103
yuch1247,eye,yuchi.eye.0719
yuch1247,fire,yuchi.fire.0726
yuch1247,fish,yuchi.fish.0001
yuch1247,full,yuchi.full.1013
yuch1247,hear,yuchi.hear.0002
yuch1247,horn,yuchi.horn.0576
yuch1247,leaf,yuchi.leaf.0001
yuch1247,liver,yuchi.liver.0856
yuch1247,mountain,yuchi.mountain.0245
yuch1247,mountain,yuchi.mountain.0789
yuch1247,name,yuchi.name.0549
yuch1247,name,yuchi.name.0550
yuch1247,night,yuchi.night.0021
yuch1247,nose,yuchi.nose.0801
yuch1247,one,yuchi.one.0123
yuch1247,path,yuchi.path.0765
yuch1247,person,yuchi.person.0001
yuch1247,see,yuchi.see.0185
yuch1247,star,yuchi.star.0184
yuch1247,stone,yuchi.stone.0003
yuch1247,sun,yuchi.sun.0051
yuch1247,sun,yuchi.sun.0599
yuch1247,tongue,yuchi.tongue.0132
yuch1247,tooth,yuchi.tooth.0744
yuch1247,tooth,yuchi.tooth.0745
yuch1247,tree,yuchi.tree.0201
yuch1247,two,yuchi.two.0583
yuch1247,water,yuchi.water.0560
