Language_ID,Feature_ID,Value
wapp1239,1pl,yukiwappo.1pl.0001
yuki1243,1pl,yukiwappo.1pl.0002
yuki1243,1pl,yukiwappo.1pl.0003
wapp1239,1sg,yukiwappo.1sg.0004
yuki1243,1sg,yukiwappo.1sg.0005
yuki1243,1sg,yukiwappo.1sg.0005
wapp1239,2sg,yukiwappo.2sg.0006
wapp1239,2sg,yukiwappo.2sg.0006
yuki1243,2sg,yukiwappo.2sg.0006
yuki1243,2sg,yukiwappo.2sg.0006
wapp1239,blood,yukiwappo.blood.0007
yuki1243,blood,yukiwappo.blood.0008
yuki1243,blood,yukiwappo.blood.0008
wapp1239,bone,yukiwappo.bone.0009
yuki1243,bone,yukiwappo.bone.0010
wapp1239,breast,yukiwappo.breast.0011
yuki1243,breast,yukiwappo.breast.0012
wapp1239,come,yukiwappo.come.0013
wapp1239,come,yukiwappo.come.0013
yuki1243,come,yukiwappo.come.0014
wapp1239,die,yukiwappo.die.0015
wapp1239,die,yukiwappo.die.0017
yuki1243,die,yukiwappo.die.0016
wapp1239,dog,yukiwappo.dog.0018
yuki1243,dog,yukiwappo.dog.0019
wapp1239,drink,yukiwappo.drink.0020
yuki1243,drink,yukiwappo.drink.0021
yuki1243,drink,yukiwappo.drink.0021
wapp1239,ear,yukiwappo.ear.0022
yuki1243,ear,yukiwappo.ear.0022
yuki1243,ear,yukiwappo.ear.0022
wapp1239,eye,yukiwappo.eye.0023
yuki1243,eye,yukiwappo.eye.0024
wapp1239,fire,yukiwappo.fire.0025
yuki1243,fire,yukiwappo.fire.0026
wapp1239,fish,yukiwappo.fish.0027
yuki1243,fish,yukiwappo.fish.0027
wapp1239,full,yukiwappo.full.0028
yuki1243,full,?
wapp1239,hand,yukiwappo.hand.0029
yuki1243,hand,yukiwappo.hand.0030
wapp1239,hear,yukiwappo.hear.0031
yuki1243,hear,yukiwappo.hear.0032
yuki1243,hear,yukiwappo.hear.0032
wapp1239,horn,yukiwappo.horn.0033
yuki1243,horn,yukiwappo.horn.0033
yuki1243,horn,yukiwappo.horn.0033
wapp1239,knee,yukiwappo.knee.0034
yuki1243,knee,yukiwappo.knee.0035
wapp1239,leaf,yukiwappo.leaf.0036
yuki1243,leaf,yukiwappo.leaf.0037
wapp1239,liver,yukiwappo.liver.0038
yuki1243,liver,yukiwappo.liver.0039
yuki1243,liver,yukiwappo.liver.0040
wapp1239,louse,yukiwappo.louse.0041
yuki1243,louse,yukiwappo.louse.0042
wapp1239,mountain,yukiwappo.mountain.0043
yuki1243,mountain,yukiwappo.mountain.0044
yuki1243,mountain,yukiwappo.mountain.0044
wapp1239,name,yukiwappo.name.0045
yuki1243,name,yukiwappo.name.0046
wapp1239,new,yukiwappo.new.0047
yuki1243,new,yukiwappo.new.0048
wapp1239,night,yukiwappo.night.0049
yuki1243,night,yukiwappo.night.0050
wapp1239,nose,yukiwappo.nose.0051
yuki1243,nose,yukiwappo.nose.0052
wapp1239,one,yukiwappo.one.0053
wapp1239,one,yukiwappo.one.0053
yuki1243,one,yukiwappo.one.0053
yuki1243,one,yukiwappo.one.0054
wapp1239,path,yukiwappo.path.0055
yuki1243,path,yukiwappo.path.0056
yuki1243,path,yukiwappo.path.0056
wapp1239,person,yukiwappo.person.0057
yuki1243,person,?
wapp1239,see,yukiwappo.see.0058
yuki1243,see,yukiwappo.see.0059
wapp1239,skin,yukiwappo.skin.0060
yuki1243,skin,yukiwappo.skin.0061
wapp1239,star,yukiwappo.star.0062
yuki1243,star,yukiwappo.star.0063
wapp1239,stone,yukiwappo.stone.0064
yuki1243,stone,yukiwappo.stone.0065
wapp1239,sun,yukiwappo.sun.0066
yuki1243,sun,yukiwappo.sun.0067
yuki1243,sun,yukiwappo.sun.0067
wapp1239,tongue,yukiwappo.tongue.0068
yuki1243,tongue,yukiwappo.tongue.0069
yuki1243,tongue,yukiwappo.tongue.0069
wapp1239,tooth,yukiwappo.tooth.0070
yuki1243,tooth,yukiwappo.tooth.0071
wapp1239,tree,yukiwappo.tree.0072
yuki1243,tree,yukiwappo.tree.0072
yuki1243,tree,yukiwappo.tree.0073
wapp1239,two,yukiwappo.two.0074
yuki1243,two,yukiwappo.two.0074
wapp1239,water,yukiwappo.water.0075
yuki1243,water,yukiwappo.water.0076
yuki1243,water,yukiwappo.water.0076
