Language_ID,Feature_ID,Value
Arikara_arik1262,1pl,?
Caddo_cadd1256,1pl,caddoan.1pl.0001
Kitsai_kits1249,1pl,caddoan.1pl.0002
Pawnee_pawn1254,1pl,?
Wichita_wich1260,1pl,caddoan.1pl.0003
Wichita_wich1260,1pl,caddoan.1pl.0003
Arikara_arik1262,1sg,?
Caddo_cadd1256,1sg,caddoan.1sg.0004
Kitsai_kits1249,1sg,caddoan.1sg.0005
Pawnee_pawn1254,1sg,?
Wichita_wich1260,1sg,caddoan.1sg.0006
Arikara_arik1262,2sg,?
Caddo_cadd1256,2sg,caddoan.2sg.0007
Kitsai_kits1249,2sg,caddoan.2sg.0008
Pawnee_pawn1254,2sg,?
Wichita_wich1260,2sg,?
Arikara_arik1262,blood,caddoan.blood.0009
Caddo_cadd1256,blood,caddoan.blood.0010
Kitsai_kits1249,blood,caddoan.blood.0009
Pawnee_pawn1254,blood,caddoan.blood.0009
Wichita_wich1260,blood,caddoan.blood.0011
Arikara_arik1262,bone,caddoan.bone.0012
Caddo_cadd1256,bone,caddoan.bone.0013
Kitsai_kits1249,bone,caddoan.bone.0012
Pawnee_pawn1254,bone,caddoan.bone.0012
Wichita_wich1260,bone,caddoan.bone.0012
Arikara_arik1262,breast,caddoan.breast.0014
Arikara_arik1262,breast,caddoan.breast.0018
Caddo_cadd1256,breast,caddoan.breast.0015
Kitsai_kits1249,breast,caddoan.breast.0016
Kitsai_kits1249,breast,caddoan.breast.0019
Pawnee_pawn1254,breast,caddoan.breast.0017
Wichita_wich1260,breast,caddoan.breast.0014
Arikara_arik1262,come,caddoan.come.0020
Caddo_cadd1256,come,caddoan.come.0021
Kitsai_kits1249,come,caddoan.come.0022
Pawnee_pawn1254,come,caddoan.come.0020
Wichita_wich1260,come,caddoan.come.0020
Arikara_arik1262,die,caddoan.die.0023
Arikara_arik1262,die,caddoan.die.0026
Caddo_cadd1256,die,caddoan.die.0024
Kitsai_kits1249,die,caddoan.die.0025
Pawnee_pawn1254,die,caddoan.die.0026
Wichita_wich1260,die,caddoan.die.0027
Arikara_arik1262,dog,caddoan.dog.0028
Caddo_cadd1256,dog,caddoan.dog.0029
Kitsai_kits1249,dog,caddoan.dog.0030
Pawnee_pawn1254,dog,caddoan.dog.0031
Pawnee_pawn1254,dog,caddoan.dog.0031
Wichita_wich1260,dog,caddoan.dog.0032
Wichita_wich1260,dog,caddoan.dog.0033
Arikara_arik1262,drink,caddoan.drink.0034
Caddo_cadd1256,drink,caddoan.drink.0035
Kitsai_kits1249,drink,caddoan.drink.0034
Pawnee_pawn1254,drink,caddoan.drink.0034
Wichita_wich1260,drink,caddoan.drink.0034
Arikara_arik1262,ear,caddoan.ear.0036
Caddo_cadd1256,ear,caddoan.ear.0037
Kitsai_kits1249,ear,?
Pawnee_pawn1254,ear,caddoan.ear.0036
Wichita_wich1260,ear,caddoan.ear.0038
Arikara_arik1262,eye,caddoan.eye.0039
Caddo_cadd1256,eye,caddoan.eye.0040
Kitsai_kits1249,eye,caddoan.eye.0039
Pawnee_pawn1254,eye,caddoan.eye.0039
Wichita_wich1260,eye,caddoan.eye.0039
Arikara_arik1262,fire,caddoan.fire.0041
Caddo_cadd1256,fire,caddoan.fire.0042
Kitsai_kits1249,fire,caddoan.fire.0043
Pawnee_pawn1254,fire,caddoan.fire.0044
Wichita_wich1260,fire,caddoan.fire.0045
Arikara_arik1262,fish,caddoan.fish.0046
Caddo_cadd1256,fish,caddoan.fish.0047
Kitsai_kits1249,fish,caddoan.fish.0048
Pawnee_pawn1254,fish,caddoan.fish.0049
Wichita_wich1260,fish,caddoan.fish.0050
Arikara_arik1262,full,caddoan.full.0051
Caddo_cadd1256,full,caddoan.full.0052
Kitsai_kits1249,full,?
Pawnee_pawn1254,full,?
Wichita_wich1260,full,caddoan.full.0053
Arikara_arik1262,hand,caddoan.hand.0054
Caddo_cadd1256,hand,caddoan.hand.0055
Kitsai_kits1249,hand,caddoan.hand.0056
Pawnee_pawn1254,hand,caddoan.hand.0056
Wichita_wich1260,hand,caddoan.hand.0054
Arikara_arik1262,hear,caddoan.hear.0057
Arikara_arik1262,hear,caddoan.hear.0057
Caddo_cadd1256,hear,caddoan.hear.0058
Kitsai_kits1249,hear,caddoan.hear.0059
Pawnee_pawn1254,hear,caddoan.hear.0057
Wichita_wich1260,hear,caddoan.hear.0057
Wichita_wich1260,hear,caddoan.hear.0057
Arikara_arik1262,horn,caddoan.horn.0060
Caddo_cadd1256,horn,caddoan.horn.0061
Kitsai_kits1249,horn,caddoan.horn.0060
Pawnee_pawn1254,horn,caddoan.horn.0060
Wichita_wich1260,horn,caddoan.horn.0060
Arikara_arik1262,knee,caddoan.knee.0062
Arikara_arik1262,knee,caddoan.knee.0066
Caddo_cadd1256,knee,caddoan.knee.0063
Kitsai_kits1249,knee,caddoan.knee.0064
Pawnee_pawn1254,knee,caddoan.knee.0062
Wichita_wich1260,knee,caddoan.knee.0065
Arikara_arik1262,leaf,caddoan.leaf.0067
