Language_ID,Feature_ID,Value
Kakua_cacu1241,1pl,kakuanukak.1pl.0001
Kakua_cacu1241,1pl,kakuanukak.1pl.0001
NukakMaku_nuka1242,1pl,kakuanukak.1pl.0001
NukakMaku_nuka1242,1pl,kakuanukak.1pl.0001
Kakua_cacu1241,1sg,kakuanukak.1sg.0002
Kakua_cacu1241,1sg,kakuanukak.1sg.0003
NukakMaku_nuka1242,1sg,kakuanukak.1sg.0002
NukakMaku_nuka1242,1sg,kakuanukak.1sg.0002
Kakua_cacu1241,2sg,kakuanukak.2sg.0004
Kakua_cacu1241,2sg,kakuanukak.2sg.0005
Kakua_cacu1241,2sg,kakuanukak.2sg.0006
NukakMaku_nuka1242,2sg,kakuanukak.2sg.0004
NukakMaku_nuka1242,2sg,kakuanukak.2sg.0004
NukakMaku_nuka1242,2sg,kakuanukak.2sg.0007
Kakua_cacu1241,blood,kakuanukak.blood.0008
Kakua_cacu1241,blood,kakuanukak.blood.0009
NukakMaku_nuka1242,blood,kakuanukak.blood.0008
NukakMaku_nuka1242,blood,kakuanukak.blood.0008
Kakua_cacu1241,bone,kakuanukak.bone.0010
Kakua_cacu1241,bone,kakuanukak.bone.0011
NukakMaku_nuka1242,bone,kakuanukak.bone.0012
NukakMaku_nuka1242,bone,kakuanukak.bone.0012
Kakua_cacu1241,breast,kakuanukak.breast.0013
Kakua_cacu1241,breast,kakuanukak.breast.0014
NukakMaku_nuka1242,breast,kakuanukak.breast.0015
NukakMaku_nuka1242,breast,kakuanukak.breast.0015
Kakua_cacu1241,come,kakuanukak.come.0016
Kakua_cacu1241,come,kakuanukak.come.0016
NukakMaku_nuka1242,come,kakuanukak.come.0016
NukakMaku_nuka1242,come,kakuanukak.come.0016
Kakua_cacu1241,die,kakuanukak.die.0017
Kakua_cacu1241,die,kakuanukak.die.0017
NukakMaku_nuka1242,die,kakuanukak.die.0018
NukakMaku_nuka1242,die,kakuanukak.die.0018
Kakua_cacu1241,dog,kakuanukak.dog.0019
Kakua_cacu1241,dog,kakuanukak.dog.0019
NukakMaku_nuka1242,dog,kakuanukak.dog.0020
NukakMaku_nuka1242,dog,kakuanukak.dog.0020
Kakua_cacu1241,drink,kakuanukak.drink.0021
Kakua_cacu1241,drink,kakuanukak.drink.0021
NukakMaku_nuka1242,drink,kakuanukak.drink.0022
NukakMaku_nuka1242,drink,kakuanukak.drink.0022
Kakua_cacu1241,ear,kakuanukak.ear.0023
Kakua_cacu1241,ear,kakuanukak.ear.0024
NukakMaku_nuka1242,ear,kakuanukak.ear.0023
NukakMaku_nuka1242,ear,kakuanukak.ear.0025
Kakua_cacu1241,eye,kakuanukak.eye.0026
Kakua_cacu1241,eye,kakuanukak.eye.0026
NukakMaku_nuka1242,eye,kakuanukak.eye.0026
NukakMaku_nuka1242,eye,kakuanukak.eye.0027
Kakua_cacu1241,fire,kakuanukak.fire.0028
Kakua_cacu1241,fire,kakuanukak.fire.0028
NukakMaku_nuka1242,fire,kakuanukak.fire.0029
NukakMaku_nuka1242,fire,kakuanukak.fire.0029
Kakua_cacu1241,fish,kakuanukak.fish.0030
Kakua_cacu1241,fish,kakuanukak.fish.0030
NukakMaku_nuka1242,fish,kakuanukak.fish.0031
NukakMaku_nuka1242,fish,kakuanukak.fish.0031
Kakua_cacu1241,full,kakuanukak.full.0032
Kakua_cacu1241,full,kakuanukak.full.0033
NukakMaku_nuka1242,full,kakuanukak.full.0034
NukakMaku_nuka1242,full,kakuanukak.full.0034
Kakua_cacu1241,hand,kakuanukak.hand.0035
Kakua_cacu1241,hand,kakuanukak.hand.0036
NukakMaku_nuka1242,hand,kakuanukak.hand.0035
NukakMaku_nuka1242,hand,kakuanukak.hand.0035
Kakua_cacu1241,hear,kakuanukak.hear.0037
Kakua_cacu1241,hear,kakuanukak.hear.0037
NukakMaku_nuka1242,hear,kakuanukak.hear.0037
NukakMaku_nuka1242,hear,kakuanukak.hear.0037
Kakua_cacu1241,horn,kakuanukak.horn.0038
Kakua_cacu1241,horn,kakuanukak.horn.0038
NukakMaku_nuka1242,horn,kakuanukak.horn.0039
NukakMaku_nuka1242,horn,kakuanukak.horn.0039
Kakua_cacu1241,knee,kakuanukak.knee.0040
Kakua_cacu1241,knee,kakuanukak.knee.0040
NukakMaku_nuka1242,knee,kakuanukak.knee.0041
NukakMaku_nuka1242,knee,kakuanukak.knee.0041
Kakua_cacu1241,leaf,kakuanukak.leaf.0042
Kakua_cacu1241,leaf,kakuanukak.leaf.0043
NukakMaku_nuka1242,leaf,kakuanukak.leaf.0042
NukakMaku_nuka1242,leaf,kakuanukak.leaf.0042
NukakMaku_nuka1242,leaf,kakuanukak.leaf.0044
Kakua_cacu1241,liver,kakuanukak.liver.0045
Kakua_cacu1241,liver,kakuanukak.liver.0045
NukakMaku_nuka1242,liver,kakuanukak.liver.0046
NukakMaku_nuka1242,liver,kakuanukak.liver.0046
Kakua_cacu1241,louse,kakuanukak.louse.0047
Kakua_cacu1241,louse,kakuanukak.louse.0047
NukakMaku_nuka1242,louse,?
Kakua_cacu1241,mountain,kakuanukak.mountain.0048
Kakua_cacu1241,mountain,kakuanukak.mountain.0048
NukakMaku_nuka1242,mountain,kakuanukak.mountain.0048
NukakMaku_nuka1242,mountain,kakuanukak.mountain.0049
Kakua_cacu1241,name,kakuanukak.name.0050
Kakua_cacu1241,name,kakuanukak.name.0050
NukakMaku_nuka1242,name,kakuanukak.name.0051
NukakMaku_nuka1242,name,kakuanukak.name.0051
Kakua_cacu1241,new,kakuanukak.new.0052
Kakua_cacu1241,new,kakuanukak.new.0052
NukakMaku_nuka1242,new,kakuanukak.new.0053
NukakMaku_nuka1242,new,kakuanukak.new.0053
Kakua_cacu1241,night,kakuanukak.night.0054
Kakua_cacu1241,night,kakuanukak.night.0054
NukakMaku_nuka1242,night,kakuanukak.night.0054
NukakMaku_nuka1242,night,kakuanukak.night.0054
Kakua_cacu1241,nose,kakuanukak.nose.0055
Kakua_cacu1241,nose,kakuanukak.nose.0055
NukakMaku_nuka1242,nose,kakuanukak.nose.0055
NukakMaku_nuka1242,nose,kakuanukak.nose.0055
Kakua_cacu1241,one,kakuanukak.one.0056
Kakua_cacu1241,one,kakuanukak.one.0056
NukakMaku_nuka1242,one,kakuanukak.one.0056
NukakMaku_nuka1242,one,kakuanukak.one.0056
Kakua_cacu1241,path,kakuanukak.path.0057
Kakua_cacu1241,path,kakuanukak.path.0057
NukakMaku_nuka1242,path,kakuanukak.path.0057
NukakMaku_nuka1242,path,kakuanukak.path.0057
Kakua_cacu1241,person,kakuanukak.person.0058
Kakua_cacu1241,person,kakuanukak.person.0059
NukakMaku_nuka1242,person,kakuanukak.person.0058
NukakMaku_nuka1242,person,kakuanukak.person.0058
NukakMaku_nuka1242,person,kakuanukak.person.0060
Kakua_cacu1241,see,kakuanukak.see.0061
Kakua_cacu1241,see,kakuanukak.see.0062
NukakMaku_nuka1242,see,kakuanukak.see.0063
NukakMaku_nuka1242,see,kakuanukak.see.0063
Kakua_cacu1241,skin,kakuanukak.skin.0064
Kakua_cacu1241,skin,kakuanukak.skin.0065
NukakMaku_nuka1242,skin,kakuanukak.skin.0066
NukakMaku_nuka1242,skin,kakuanukak.skin.0066
Kakua_cacu1241,star,kakuanukak.star.0067
Kakua_cacu1241,star,kakuanukak.star.0067
NukakMaku_nuka1242,star,kakuanukak.star.0067
NukakMaku_nuka1242,star,kakuanukak.star.0068
Kakua_cacu1241,stone,kakuanukak.stone.0069
Kakua_cacu1241,stone,kakuanukak.stone.0069
NukakMaku_nuka1242,stone,kakuanukak.stone.0069
NukakMaku_nuka1242,stone,kakuanukak.stone.0069
Kakua_cacu1241,sun,kakuanukak.sun.0070
Kakua_cacu1241,sun,kakuanukak.sun.0071
NukakMaku_nuka1242,sun,kakuanukak.sun.0072
