Language_ID,Feature_ID,Value
BellaCoola_bell1243,1pl,salishan.1pl.0001
BellaCoola_bell1243,1pl,salishan.1pl.0005
Clallam_clal1241,1pl,salishan.1pl.0001
CoeurdAlene_coeu1236,1pl,salishan.1pl.0003
Columbia-Wenatchi_colu1241,1pl,salishan.1pl.0001
Comox_como1259,1pl,salishan.1pl.0001
Cowlitz_cowl1242,1pl,salishan.1pl.0002
Halkomelem_halk1245,1pl,salishan.1pl.0001
Halkomelem_halk1245,1pl,salishan.1pl.0001
Halkomelem_halk1245,1pl,salishan.1pl.0001
Kalispel-PenddOreille_kali1308,1pl,salishan.1pl.0004
Kalispel-PenddOreille_kali1308,1pl,salishan.1pl.0004
Lillooet_lill1248,1pl,salishan.1pl.0001
Nooksack_nook1247,1pl,salishan.1pl.0001
NorthernLushootseed_lush1252,1pl,salishan.1pl.0005
NorthernStraitsSalish_stra1244,1pl,salishan.1pl.0001
NorthernStraitsSalish_stra1244,1pl,salishan.1pl.0001
NorthernStraitsSalish_stra1244,1pl,salishan.1pl.0001
NorthernStraitsSalish_stra1244,1pl,salishan.1pl.0001
Okanagan_okan1243,1pl,salishan.1pl.0006
Quinault_quin1251,1pl,salishan.1pl.0002
Sechelt_sech1246,1pl,salishan.1pl.0001
Shuswap_shus1248,1pl,salishan.1pl.0007
SouthernPugetSoundSalish_sout2965,1pl,salishan.1pl.0001
SouthernPugetSoundSalish_sout2965,1pl,salishan.1pl.0005
SouthernPugetSoundSalish_sout2965,1pl,salishan.1pl.0009
Spokane_spok1245,1pl,salishan.1pl.0004
Squamish_squa1248,1pl,salishan.1pl.0001
Thompson_thom1243,1pl,salishan.1pl.0008
Tillamook_till1254,1pl,salishan.1pl.0001
Twana_twan1247,1pl,salishan.1pl.0001
UpperChehalis_uppe1439,1pl,salishan.1pl.0002
BellaCoola_bell1243,1sg,salishan.1sg.0010
Clallam_clal1241,1sg,salishan.1sg.0011
CoeurdAlene_coeu1236,1sg,salishan.1sg.0012
Columbia-Wenatchi_colu1241,1sg,salishan.1sg.0010
Comox_como1259,1sg,salishan.1sg.0018
Cowlitz_cowl1242,1sg,salishan.1sg.0010
Halkomelem_halk1245,1sg,salishan.1sg.0010
